player_id,player_name,nationality,position,preferred_foot,date_of_birth,birth_year,height_cm,height_category,market_value_eur,market_value_million
20953,Aaron Brown,England,Centre-Back,right,1983-06-23,1983.0,196.0,Very Tall,200000.0,0.2
434207,Aaron Connolly,Ireland,Centre-Forward,right,2000-01-28,2000.0,174.0,Average,4000000.0,4.0
92571,Aaron Cresswell,England,Left-Back,left,1989-12-15,1989.0,170.0,Average,900000.0,0.9
624243,Aaron Donnelly,Northern Ireland; Ireland,Centre-Back,left,2003-06-08,2003.0,185.0,Tall,400000.0,0.4
96148,Aaron Doran,Ireland,Right Midfield,both,1991-05-13,1991.0,170.0,Average,75000.0,0.075
591949,Aaron Hickey,Scotland,Right-Back,both,2002-06-10,2002.0,185.0,Tall,25000000.0,25.0
3580,Aaron Hughes,Northern Ireland,Centre-Back,right,1979-11-08,1979.0,183.0,Tall,700000.0,0.7
797679,Aaron Keto-Diyawa,England; DR Congo,Left-Back,,2003-09-11,2003.0,,Unknown,200000.0,0.2
14221,Aaron Lennon,England; Ireland,Right Winger,right,1987-04-16,1987.0,165.0,Short,1000000.0,1.0
22743,Aaron Lescott,England,Left-Back,right,1978-12-02,1978.0,168.0,Short,,
45631,Aaron McLean,England; Jamaica,Centre-Forward,right,1983-05-25,1983.0,171.0,Average,500000.0,0.5
369085,Aaron Mitchell,England,Central Midfield,,1996-04-14,1996.0,,Unknown,,
4756,Aaron Mokoena,South Africa,Centre-Back,right,1980-11-25,1980.0,185.0,Tall,2000000.0,2.0
123951,Aaron Mooy,Australia; Netherlands,Central Midfield,right,1990-09-15,1990.0,174.0,Average,9500000.0,9.5
427568,Aaron Ramsdale,England,Goalkeeper,right,1998-05-14,1998.0,190.0,Tall,22000000.0,22.0
646658,Aaron Ramsey,England,Attacking Midfield,right,2003-01-21,2003.0,181.0,Tall,15000000.0,15.0
50057,Aaron Ramsey,Wales,Central Midfield,right,1990-12-26,1990.0,178.0,Average,40000000.0,40.0
657994,Aaron Rowe,England; Jamaica,Right Midfield,right,2000-09-07,2000.0,168.0,Short,,
243633,Aaron Tshibola,DR Congo; England,Central Midfield,right,1995-01-02,1995.0,190.0,Tall,800000.0,0.8
477758,Aaron Wan-Bissaka,England; DR Congo,Right-Back,right,1997-11-26,1997.0,183.0,Tall,20000000.0,20.0
67202,Aaron Wilbraham,England,Centre-Forward,right,1979-10-21,1979.0,191.0,Very Tall,250000.0,0.25
776798,Abdallah Sima,Senegal,Right Winger,right,2001-06-17,2001.0,188.0,Tall,7500000.0,7.5
340394,Abdelhamid Sabiri,Morocco; Germany,Attacking Midfield,right,1996-11-28,1996.0,186.0,Tall,1500000.0,1.5
4002,Abdeslam Ouaddou,France; Morocco,Centre-Back,right,1978-11-01,1978.0,191.0,Very Tall,,
121406,Abdisalam Ibrahim,Norway,Central Midfield,,1991-05-01,1991.0,,Unknown,500000.0,0.5
127187,Abdoulaye Doucouré,Mali; France,Central Midfield,right,1993-01-01,1993.0,183.0,Tall,10000000.0,10.0
6107,Abdoulaye Faye,Senegal; France,Centre-Back,right,1978-02-26,1978.0,187.0,Tall,250000.0,0.25
5315,Abdoulaye Méïté,Cote d'Ivoire; France,Centre-Back,right,1980-10-06,1980.0,185.0,Tall,2000000.0,2.0
224884,Abdul Rahman Baba,Ghana,Left-Back,left,1994-07-02,1994.0,179.0,Average,1200000.0,1.2
177321,Abdul Razak,Cote d'Ivoire,Central Midfield,right,1992-11-11,1992.0,179.0,Average,700000.0,0.7
76608,Abel Hernández,Uruguay,Centre-Forward,left,1990-08-08,1990.0,185.0,Tall,8000000.0,8.0
3211,Abel Xavier,Portugal; Mozambique,Right-Back,,1972-11-30,1972.0,,Unknown,1700000.0,1.7
26763,Abou Diaby,France; Cote d'Ivoire,Central Midfield,right,1986-05-11,1986.0,191.0,Very Tall,750000.0,0.75
290951,Aboubakar Kamara,Mauritania; France,Centre-Forward,right,1995-03-07,1995.0,177.0,Average,2000000.0,2.0
696764,Abu Kamara,England; Sierra Leone,Right Winger,left,2003-07-21,2003.0,183.0,Tall,,
44796,Abu Ogogo,England; Ghana,Central Midfield,right,1989-11-03,1989.0,177.0,Average,100000.0,0.1
139173,Achraf Lazaar,Morocco; Italy,Left Midfield,left,1992-01-22,1992.0,184.0,Tall,1000000.0,1.0
308801,Adalberto Peñaranda,Venezuela; Spain,Left Winger,right,1997-05-31,1997.0,186.0,Tall,1000000.0,1.0
250426,Adam Armstrong,England,Centre-Forward,right,1997-02-10,1997.0,173.0,Average,16000000.0,16.0
128228,Adam Blakeman,England,Left-Back,left,1991-12-03,1991.0,175.0,Average,,
13441,Adam Bolder,England,Midfielder,right,1980-10-25,1980.0,175.0,Average,,
126249,Adam Buxton,England,Right-Back,right,1992-05-12,1992.0,185.0,Tall,,
66920,Adam Bygrave,England,Right-Back,right,1989-02-24,1989.0,188.0,Tall,,
204354,Adam Campbell,England,Left Winger,right,1995-01-01,1995.0,169.0,Short,250000.0,0.25
3675,Adam Chambers,England,Defensive Midfield,right,1980-11-20,1980.0,178.0,Average,,
73067,Adam Clayton,England,Central Midfield,right,1989-01-14,1989.0,175.0,Average,3000000.0,3.0
3564,Adam Collin,England,Goalkeeper,right,1984-12-09,1984.0,195.0,Very Tall,,
121254,Adam Davies,Wales; Germany,Goalkeeper,right,1992-07-17,1992.0,185.0,Tall,500000.0,0.5
160851,Adam Dodd,England,Left-Back,left,1993-05-14,1993.0,187.0,Tall,,
11663,Adam Drury,England,Left-Back,left,1978-08-29,1978.0,180.0,Average,500000.0,0.5
37138,Adam Eckersley,England,Left-Back,left,1985-09-07,1985.0,180.0,Average,75000.0,0.075
107733,Adam Farley,England,Centre-Back,right,1980-01-12,1980.0,,Unknown,,
4233,Adam Federici,Australia; Italy,Goalkeeper,right,1985-01-31,1985.0,188.0,Tall,750000.0,0.75
121257,Adam Forshaw,England,Central Midfield,right,1991-10-08,1991.0,175.0,Average,1200000.0,1.2
4766,Adam Green,England,Left-Back,left,1984-01-12,1984.0,176.0,Average,350000.0,0.35
38091,Adam Hammill,England; Ireland,Right Winger,left,1988-01-25,1988.0,180.0,Average,1000000.0,1.0
322711,Adam Hardy,South Africa,Midfielder,,1983-02-22,1983.0,,Unknown,,
1019169,Adam Harrison,England,Goalkeeper,,2006-10-20,2006.0,,Unknown,100000.0,0.1
173585,Adam Henley,Wales; United States,Right-Back,right,1994-06-14,1994.0,178.0,Average,750000.0,0.75
434223,Adam Idah,Ireland; Nigeria,Centre-Forward,right,2001-02-11,2001.0,190.0,Tall,3000000.0,3.0
31579,Adam Johnson,England,Right Winger,left,1987-07-14,1987.0,182.0,Tall,,
169566,Adam King,Scotland,Central Midfield,right,1995-10-11,1995.0,180.0,Average,150000.0,0.15
43530,Adam Lallana,England,Attacking Midfield,both,1988-05-10,1988.0,172.0,Average,1000000.0,1.0
46106,Adam Le Fondre,England; France,Centre-Forward,right,1986-12-02,1986.0,180.0,Average,2500000.0,2.5
43858,Adam Legzdins,England; Latvia,Goalkeeper,,1986-11-28,1986.0,190.0,Tall,250000.0,0.25
347481,Adam Lewis,England,Left-Back,left,1999-11-08,1999.0,175.0,Average,,
286949,Adam Masina,Morocco; Italy,Centre-Back,left,1994-01-02,1994.0,191.0,Very Tall,3000000.0,3.0
108878,Adam Matthews,Wales,Right-Back,right,1992-01-13,1992.0,178.0,Average,1500000.0,1.5
196316,Adam Mitchell,England,Right Winger,right,1994-12-02,1994.0,174.0,Average,,
175737,Adam Morgan,England,Centre-Forward,left,1994-04-21,1994.0,179.0,Average,,
