season_id,season,season_name
1,1992,1992/93
2,1993,1993/94
3,1994,1994/95
4,1995,1995/96
5,1996,1996/97
6,1997,1997/98
7,1998,1998/99
8,1999,1999/00
9,2000,2000/01
10,2001,2001/02
11,2002,2002/03
12,2003,2003/04
13,2004,2004/05
14,2005,2005/06
15,2006,2006/07
16,2007,2007/08
17,2008,2008/09
18,2009,2009/10
19,2010,2010/11
20,2011,2011/12
21,2012,2012/13
22,2013,2013/14
23,2014,2014/15
24,2015,2015/16
25,2016,2016/17
26,2017,2017/18
27,2018,2018/19
28,2019,2019/20
29,2020,2020/21
30,2021,2021/22
31,2022,2022/23
32,2023,2023/24
33,2024,2024/25
