season,player,club,nationality,aerial_battles_lost,aerial_battles_won,appearances,blocks,clearances,goals_from_header,interceptions,penalties_conceded,tackles,yellow_cards,crosses,goals_from_penalty,goals,hit_woodwork,minutes_played,offsides,shots_on_target,shots,substituted_off,substituted_on,own_goals,assists,red_cards,passes,corners_taken,touches,last_man_tackles,goals_from_freekick,headed_clearances,errors_leading_to_goal,through_balls,clean_sheets,goal_kicks,goals_conceded,high_claims,punches,saves,sweeper_clearances,throw_outs,penalties_saved
2006,Abdoulaye Diagne-Faye,,Senegal,31.0,47.0,32.0,17.0,159.0,2.0,27.0,3.0,72.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Andrew Johnson,,England,41.0,,,,,2.0,,,,,73.0,1.0,11.0,1.0,2717.0,27.0,30.0,70.0,7.0,,,,,,,,,,,,,,,,,,,,,
2006,Antoine Sibierski,,France,91.0,34.0,,,,1.0,,,,,,,,,,9.0,16.0,40.0,,12.0,,,,,,,,,,,,,,,,,,,,
2006,Anton Ferdinand,,England,37.0,37.0,,24.0,236.0,,19.0,1.0,,5.0,,,,,2654.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2006,Arjan De Zeeuw,,Netherlands,25.0,45.0,,19.0,145.0,,,,,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2006,Benjani,,Zimbabwe,42.0,,,,,2.0,,,,,,,6.0,,,40.0,17.0,43.0,17.0,,,3.0,,,,,,,,,,,,,,,,,,
2006,Benni McCarthy,,South Africa,67.0,26.0,36.0,,,5.0,,,,8.0,,4.0,18.0,1.0,3067.0,64.0,37.0,79.0,15.0,,,,,,,,,,,,,,,,,,,,,
2006,Bernardo Corradi,,Italy,46.0,55.0,,,,1.0,,,,,,,3.0,,,37.0,20.0,53.0,8.0,,,2.0,2.0,,,,,,,,,,,,,,,,,
2006,Bobby Zamora,,England,47.0,37.0,,,,,,,,,,,11.0,,,22.0,20.0,54.0,19.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
2006,Brian McBride,,United States,138.0,117.0,38.0,,,2.0,,,,,,,9.0,1.0,2908.0,13.0,38.0,86.0,15.0,,,,,903.0,,,,,,,,,,,,,,,,
2006,Carlos Bocanegra,,United States,27.0,,,8.0,173.0,3.0,19.0,,,5.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Carlton Cole,,England,23.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,
2006,Cesc Fàbregas,,Spain,22.0,,38.0,,,,,,116.0,7.0,178.0,,,2.0,3183.0,,30.0,78.0,,,1.0,11.0,,2585.0,98.0,3160.0,,,,,,,,,,,,,,
2006,Chris Morgan,,England,34.0,53.0,,22.0,180.0,1.0,,2.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Daniel Agger,,Denmark,21.0,,,8.0,139.0,1.0,,,,,,,,,,,,,,,,2.0,,1142.0,,1447.0,1.0,,,,,,,,,,,,,
2006,Danny Shittu,,Nigeria,24.0,103.0,,15.0,224.0,,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Darius Henderson,,England,95.0,45.0,35.0,,,,,,,,,1.0,3.0,1.0,,15.0,23.0,55.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
2006,Darius Vassell,,England,30.0,25.0,,,,,,,71.0,6.0,82.0,,,,2565.0,39.0,15.0,40.0,11.0,,,,,,,,,,,,,,,,,,,,,
2006,Darren Bent,,England,97.0,80.0,32.0,,,3.0,,,,,,3.0,13.0,3.0,2866.0,53.0,29.0,75.0,,,,,,,,,,,,,,,,,,,,,,
2006,Didier Drogba,,Cote D’Ivoire,57.0,58.0,36.0,,,5.0,,1.0,,9.0,,,20.0,1.0,2944.0,43.0,47.0,121.0,,,,4.0,,,,1331.0,,2.0,,,,,,,,,,,,
2006,Dimitar Berbatov,,Bulgaria,62.0,48.0,33.0,,,,,,,,52.0,,12.0,,2717.0,54.0,44.0,91.0,,,,9.0,,948.0,,1437.0,,1.0,,,,,,,,,,,,
2006,Dirk Kuijt,,Netherlands,50.0,34.0,34.0,,,2.0,,,,,,,12.0,2.0,2579.0,23.0,33.0,92.0,13.0,7.0,,4.0,,1065.0,,1460.0,,,,,,,,,,,,,,
2006,Emanuel Pogatetz,,Austria,32.0,60.0,35.0,34.0,273.0,2.0,,2.0,82.0,10.0,,,,,3004.0,,,,,,,4.0,,964.0,,1489.0,,,,,,,,,,,,,,
2006,Emile Heskey,,England,85.0,88.0,34.0,,,2.0,,,,7.0,,,8.0,2.0,2701.0,29.0,23.0,60.0,11.0,,1.0,,,,,,,,,,,,,,,,,,,
2006,Emmanuel Adebayor,,Togo,55.0,41.0,,,,1.0,,,,,,1.0,8.0,5.0,,36.0,30.0,67.0,7.0,8.0,,3.0,,,,,,,,,,,,,,,,,,
2006,Gabriel Agbonlahor,,England,30.0,,38.0,,,1.0,,,,,100.0,,9.0,,3328.0,21.0,27.0,59.0,,,,4.0,,,,,,,,,,,,,,,,,,
2006,Gary O'Neil,,England,31.0,26.0,35.0,,,,,,91.0,7.0,165.0,,,,3094.0,6.0,14.0,,,,,4.0,,1223.0,41.0,1714.0,,,,,,,,,,,,,,
2006,Gary Speed,,Wales,28.0,36.0,38.0,,101.0,,19.0,2.0,86.0,,122.0,5.0,8.0,,3266.0,,13.0,46.0,9.0,,1.0,3.0,,1297.0,77.0,1851.0,,,,,,,,,,,,,,
2006,Gavin Mahon,,England,31.0,26.0,34.0,10.0,,,24.0,1.0,93.0,7.0,,,,,2939.0,,,,,,1.0,,,1054.0,,1569.0,,,,,,,,,,,,,,
2006,Georgios Samaras,,Greece,49.0,28.0,36.0,,,,,,,,,1.0,4.0,,,14.0,27.0,66.0,10.0,20.0,,6.0,,,,,,,,,,,,,,,,,,
2006,Gilberto Silva,,Brazil,24.0,35.0,34.0,11.0,160.0,3.0,,,101.0,,,5.0,10.0,1.0,2936.0,,16.0,40.0,,,,2.0,1.0,1907.0,,2329.0,,,,,,,,,,,,,,
2006,Hameur Bouazza,,Algeria,34.0,,32.0,,,,,,,,156.0,1.0,6.0,,,13.0,24.0,50.0,12.0,,,3.0,,,23.0,,,,,,,,,,,,,,,
2006,Heidar Helguson,,Iceland,42.0,36.0,,,,1.0,,,,9.0,,1.0,4.0,,,21.0,12.0,37.0,9.0,14.0,,3.0,1.0,,,,,,,,,,,,,,,,,
2006,Ibrahima Sonko,,Senegal,23.0,43.0,,13.0,186.0,1.0,24.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2006,Ivan Campo,,Spain,30.0,37.0,34.0,18.0,,3.0,19.0,,,10.0,92.0,,4.0,2.0,2839.0,,,34.0,,,,4.0,1.0,1309.0,9.0,1865.0,,,,,,,,,,,,,,
2006,Ivar Ingimarsson,,Iceland,44.0,86.0,38.0,21.0,275.0,2.0,34.0,,88.0,,,,,,3420.0,,,,,,1.0,,,899.0,,1390.0,,,,,,,,,,,,,,
2006,James Beattie,,England,76.0,63.0,33.0,,,,,,,4.0,,2.0,,,,12.0,10.0,,11.0,18.0,,3.0,,,,,,,,,,,,,,,,,,
2006,James Milner,,England,38.0,,35.0,,,,,,,,292.0,,3.0,1.0,2682.0,,14.0,47.0,7.0,,,5.0,,923.0,99.0,1649.0,,,,,,,,,,,,,,
2006,James Vaughan,,England,36.0,,,,,,,,,5.0,,,4.0,2.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
2006,Jamie Carragher,,England,21.0,38.0,35.0,18.0,253.0,,25.0,,94.0,5.0,,,,,2982.0,,,,,,,,,1477.0,,1973.0,1.0,,,,,,,,,,,,,
2006,Jason Roberts,,Grenada,22.0,,,,,1.0,,,,,,,4.0,,,10.0,18.0,,,9.0,,,1.0,,,,,,,,,,,,,,,,,
2006,Jay DeMerit,,United States,37.0,54.0,32.0,29.0,198.0,2.0,22.0,3.0,,4.0,,,,,2756.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2006,Jimmy Floyd Hasselbaink,,Netherlands,28.0,,,,,,,,,,,,,1.0,,8.0,,,,14.0,,3.0,,,,,,,,,,,,,,,,,,
