position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,"Jul 1, 2010",Paul Gerrard,"1,88m",3584,['England'],: Ablöse free transfer,20,"Jan 22, 1973",Retired
Goalkeeper,,"Feb 3, 1989",Jon Hallworth,,222507,['England'],: Ablöse €94k,27,"Oct 26, 1965",Retired
Goalkeeper,,"Dec 1, 1990",John Keeley,,226572,['England'],: Ablöse ?,31,"Jul 27, 1961",Retired
Goalkeeper,,"Jan 23, 1993",Ian Gray,,228052,['England'],: Ablöse -,18,"Feb 25, 1975",Retired
Centre-Back,right,"Jul 1, 1991",Craig Fleming,"1,83m",11670,['England'],Halifax Town (- 2008),21,"Oct 6, 1971",Retired
Centre-Back,,"Mar 1, 1988",Ian Marshall,"1,86m",107794,['England'],: Ablöse €150k,27,"Mar 20, 1966",Retired
Centre-Back,right,"Aug 30, 1990",Richard Jobson,"1,85m",175897,['England'],: Ablöse €522k,30,"May 9, 1963",Retired
Centre-Back,,"Jul 10, 1992",Steve Redmond,"1,80m",177056,['England'],: Ablöse €450k,25,"Nov 2, 1967",Retired
Left-Back,right,"Nov 2, 1991",Chris Makin,"1,80m",13248,['England'],: Ablöse -,20,"May 8, 1973",Retired
Left-Back,left,"Jul 1, 1984",Willie Donachie,"1,75m",142683,['Scotland'],: Ablöse ?,41,"Oct 5, 1951",Retired
Left-Back,left,"Jul 1, 1992",Neil Pointon,"1,79m",177252,['England'],: Ablöse €675k,28,"Nov 28, 1964",Retired
Left-Back,,"Jul 31, 1984",Andy Barlow,"1,75m",222485,['England'],: Ablöse -,27,"Nov 24, 1965",Retired
Right-Back,right,"Jan 1, 1991",Gunnar Halle,"1,83m",102506,['Norway'],Lillestrøm SK,27,"Aug 11, 1965",Retired
Right-Back,right,"Oct 1, 1991",Neil McDonald,"1,80m",177251,['England'],: Ablöse €550k,27,"Nov 2, 1965",Retired
Right-Back,right,"Jul 3, 1999",Neil Adams,"1,73m",222481,['England'],: Ablöse free transfer,27,"Nov 23, 1965",Retired
Central Midfield,right,"Jul 1, 1991",Paul Bernard,"1,83m",14560,['Scotland'],: Ablöse -,20,"Dec 30, 1972",Retired
Central Midfield,right,"Jul 1, 1991",Mike Milligan,"1,73m",177271,"['Ireland', 'England']",: Ablöse €710k,26,"Feb 20, 1967",Retired
Central Midfield,,"Nov 24, 1992",Mark Brennan,"1,85m",222491,['England'],: Ablöse €222k,27,"Oct 4, 1965",Retired
Central Midfield,right,"Jul 6, 1987",Nick Henry,"1,68m",222508,['England'],: Ablöse -,24,"Feb 21, 1969",Retired
Centre-Forward,right,"Jul 1, 1991",Graeme Sharp,"1,85m",116154,['Scotland'],: Ablöse €850k,32,"Oct 16, 1960",Retired
Centre-Forward,,"Feb 21, 1997",Andy Ritchie,"1,78m",176460,['England'],Scarborough FC (- 2007),32,"Nov 28, 1960",Retired
Centre-Forward,,"Mar 1, 1993",Darren Beckford,"1,85m",177041,['England'],: Ablöse €330k,26,"May 12, 1967",Retired
Centre-Forward,right,"Mar 23, 1990",Paul Moulden,"1,73m",222523,['England'],: Ablöse €280k,25,"Sep 6, 1967",Retired
Centre-Forward,,"Jul 1, 1992",Ian Olney,"1,86m",222643,['England'],: Ablöse €894k,23,"Dec 17, 1969",Retired
Centre-Forward,,"Mar 24, 1992",Neil Tolson,"1,91m",226595,['England'],: Ablöse €200k,19,"Oct 25, 1973",Retired
Centre-Forward,,"Nov 1, 1980",Roger Palmer,,226782,['England'],: Ablöse ?,34,"Jan 30, 1959",Retired
Centre-Forward,,"Mar 25, 1993",Orpheo Keizerweerd,"1,83m",240271,"['Netherlands', 'Suriname']",: Ablöse ?,24,"Nov 21, 1968",Retired
