position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1986",Tim Flowers,"1,90m",4249,['England'],: Ablöse €70k,27,"Feb 3, 1967",Retired
Goalkeeper,,"Nov 4, 1993",Dave Beasant,"1,93m",10384,['England'],: Ablöse €380k,35,"Mar 20, 1959",Retired
Goalkeeper,,"Dec 1, 1989",Ian Andrews,"1,88m",195510,['England'],Celtic FC,29,"Dec 1, 1964",Retired
Centre-Back,,"Jul 1, 1987",Kevin Moore,"1,80m",222261,['England'],: Ablöse €150k,36,"Apr 29, 1958",---
Centre-Back,,"Jan 1, 1991",Richard Hall,"1,85m",222259,['England'],Scunthorpe United,22,"Mar 14, 1972",Retired
Centre-Back,,"Aug 21, 1992",Ken Monkou,"1,91m",109494,"['Netherlands', 'Suriname']",: Ablöse €844k,29,"Nov 29, 1964",Retired
Centre-Back,,"Jul 1, 1991",Steve Wood,,222266,['England'],: Ablöse €480k,31,"Feb 2, 1963",Retired
Centre-Back,,,Matthew Bound,"1,88m",13664,['England'],,21,"Nov 6, 1972",Retired
Left-Back,,"Jan 1, 1989",Micky Adams,"1,73m",222252,['England'],: Ablöse €300k,32,"Nov 8, 1961",Retired
Left-Back,left,"Jan 1, 1987",Francis Benali,"1,78m",3298,['England'],Southampton FC U18,25,"Dec 30, 1968",Retired
Left-Back,right,"Jul 1, 1993",Simon Charlton,"1,73m",19846,['England'],: Ablöse €350k,22,"Oct 25, 1971",Retired
Left-Back,,"Jun 8, 1993",Paul McDonald,,227862,['Scotland'],Hamilton Academical FC,26,"Apr 20, 1968",Retired
Right-Back,right,"Jul 1, 1989",Jeff Kenna,"1,80m",3933,['Ireland'],Southampton FC U18,23,"Aug 27, 1970",Retired
Right-Back,,"Mar 1, 1989",Jason Dodd,,3685,['England'],Bath City,23,"Nov 2, 1970",Retired
Defensive Midfield,,"Oct 1, 1993",Peter Reid,"1,73m",79806,['England'],: Ablöse free transfer,38,"Jun 20, 1956",Retired
Central Midfield,,"Jul 1, 1991",Terry Hurlock,"1,75m",222260,['England'],: Ablöse ?,35,"Sep 22, 1958",Retired
Central Midfield,,"Oct 1, 1985",Glenn Cockerill,"1,83m",176001,['England'],Sheffield United,34,"Aug 25, 1959",Retired
Central Midfield,,"Apr 14, 1988",Neil Maddison,,195000,['England'],Southampton FC U18,24,"Oct 2, 1969",Retired
Central Midfield,left,"Sep 1, 1991",Stuart Gray,"1,78m",222641,['England'],: Ablöse €250k,34,"Apr 19, 1960",Retired
Central Midfield,,"May 10, 1990",Tommy Widdrington,"1,78m",70283,['England'],Southampton FC U18,22,"Oct 1, 1971",Retired
Central Midfield,,,Neal Bartlett,,229822,['England'],,19,"Apr 7, 1975",Retired
Right Midfield,right,"Feb 11, 1994",Jim Magilton,"1,83m",3481,['Northern Ireland'],: Ablöse €800k,25,"May 6, 1969",Retired
Right Midfield,,"Jul 1, 1993",Paul Allen,"1,70m",222253,['England'],: Ablöse €660k,31,"Aug 28, 1962",Retired
Attacking Midfield,right,"Jul 1, 1986",Matt Le Tissier,"1,85m",43705,"['England', 'Guernsey']",Southampton FC U18,25,"Oct 14, 1968",Retired
Attacking Midfield,right,"Jul 1, 1991",David Hughes,"1,80m",195176,"['Wales', 'England']",Weymouth FC,21,"Dec 30, 1972",Retired
Left Winger,right,"Mar 22, 1994",Neil Heaney,"1,75m",21265,['England'],: Ablöse €380k,22,"Nov 3, 1971",Retired
Centre-Forward,right,"Jul 1, 1993",Colin Cramb,"1,80m",43783,['Scotland'],Hamilton Academical FC,20,"Jun 23, 1974",Retired
Centre-Forward,,"Feb 1, 1994",Craig Maskell,,224246,['England'],Swindon Town,26,"Apr 10, 1968",Retired
Centre-Forward,,"Sep 3, 1991",Iain Dowie,,149507,"['Northern Ireland', 'England']",: Ablöse €565k,29,"Jan 9, 1965",Retired
Centre-Forward,,"Apr 25, 1989",Nicky Banger,"1,73m",222254,['England'],Southampton FC U18,23,"Feb 25, 1971",Retired
Centre-Forward,right,"Jul 1, 1991",Paul Moody,"1,91m",175986,['England'],Waterlooville FC (- 1998),27,"Jun 13, 1967",Retired
Centre-Forward,,"Feb 24, 1993",Frankie Bennett,"1,70m",226612,['England'],Halesowen Town,25,"Jan 3, 1969",Retired
Centre-Forward,,,Lee Powell,,229831,['Wales'],,21,"Jun 2, 1973",Retired
