position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1984",Steve Ogrizovic,,109480,"['England', 'Serbia']",: Ablöse €108k,37,"Sep 12, 1957",Retired
Goalkeeper,,"Jul 1, 1992",Jonathan Gould,"1,85m",13788,"['Scotland', 'England']",: Ablöse free transfer,26,"Jul 18, 1968",Retired
Goalkeeper,,"Jul 1, 1992",Martin Davies,,1090525,['Wales'],Coventry City U21,21,"Jun 28, 1974",Retired
Goalkeeper,,"Mar 2, 1995",John Filan,"1,88m",13516,['Australia'],Cambridge United,25,"Feb 8, 1970",Retired
Centre-Back,left,"Jul 21, 1992",Phil Babb,"1,82m",3283,"['Ireland', 'England']",Bradford City,24,"Nov 30, 1970",Retired
Centre-Back,,"Mar 1, 1993",David Rennie,"1,83m",222532,['Scotland'],: Ablöse €120k,30,"Aug 29, 1964",Retired
Centre-Back,right,"Oct 1, 1994",Steven Pressley,"1,83m",12604,['Scotland'],: Ablöse €900k,21,"Oct 11, 1973",Retired
Centre-Back,,"Aug 1, 1992",David Busst,"1,85m",222492,['England'],Moor Green FC (- 2007),28,"Jun 30, 1967",Retired
Centre-Back,,"Aug 28, 1994",Gary Gillespie,"1,88m",145817,['Scotland'],Celtic FC,34,"Jul 5, 1960",Retired
Left-Back,,"Jul 1, 1993",Steve Morgan,"1,80m",222522,['England'],Plymouth Argyle,26,"Sep 19, 1968",Retired
Left-Back,,"Aug 12, 1993",Paul Williams,,229054,['England'],: Ablöse €185k,25,"Sep 11, 1969",Retired
Left-Back,left,"Feb 21, 2005",Marcus Hall,"1,85m",13578,['England'],Stoke City,19,"Mar 24, 1976",Retired
Left-Back,left,"Mar 2, 1995",David Burrows,"1,78m",109481,['England'],: Ablöse €1.65m,26,"Oct 25, 1968",Retired
Right-Back,right,"Mar 1, 1985",Brian Borrows,"1,78m",177179,['England'],: Ablöse ?,34,"Dec 20, 1960",Retired
Right-Back,,"Oct 1, 1993",Ally Pickering,,222528,['England'],Rotherham United,28,"Jun 22, 1967",Retired
Defensive Midfield,right,"Jul 1, 1992",Willie Boland,"1,75m",12684,['Ireland'],Coventry City U18,19,"Aug 6, 1975",Retired
Central Midfield,left,"Jul 1, 1994",Paul Cook,"1,82m",39322,['England'],: Ablöse ?,28,"Feb 22, 1967",Retired
Central Midfield,,"Oct 1, 1993",Julian Darby,"1,83m",222497,['England'],: Ablöse €180k,27,"Oct 3, 1967",Retired
Central Midfield,,"Jan 4, 1994",Sandy Robertson,"1,75m",180246,['Scotland'],: Ablöse €375k,24,"Apr 26, 1971",Retired
Central Midfield,,"Jul 1, 1993",Gavin O'Toole,,1121924,['Ireland'],Coventry City U21,19,"Sep 19, 1975",Retired
Central Midfield,,"Feb 16, 1995",Kevin Richardson,"1,75m",109495,['England'],: Ablöse €380k,32,"Dec 4, 1962",Retired
Right Midfield,,"Dec 1, 1991",Sean Flynn,"1,73m",222501,['England'],Halesowen Town,27,"Mar 13, 1968",Retired
Right Midfield,right,"Dec 30, 1994",Mike Marsh,"1,73m",222517,['England'],: Ablöse €550k,25,"Jul 21, 1969",Retired
Right Midfield,right,"Mar 22, 1995",Gordon Strachan,"1,68m",116156,['Scotland'],: Ablöse free transfer,38,"Feb 9, 1957",Retired
Attacking Midfield,,"Mar 1, 1993",Roy Wegerle,,102014,"['United States', 'South Africa']",Blackburn Rovers,31,"Mar 19, 1964",Retired
Attacking Midfield,left,"Jul 1, 1992",Tony Sheridan,"1,83m",228613,['Ireland'],Coventry City U18,20,"Oct 21, 1974",Retired
Left Winger,right,"Mar 12, 1993",Leigh Jenkinson,"1,83m",157677,"['England', 'Wales']",: Ablöse €450k,25,"Jul 9, 1969",Retired
Right Winger,,"Jul 1, 1992",John Williams,,222545,['England'],: Ablöse €300k,27,"May 11, 1968",Retired
Right Winger,,"Jul 1, 1994",Cobi Jones,,3486,['United States'],Unknown,25,"Jun 16, 1970",Retired
Centre-Forward,right,"Aug 16, 1991",Peter Ndlovu,"1,73m",13534,['Zimbabwe'],The Highlanders,22,"Feb 25, 1973",Retired
Centre-Forward,,"Nov 1, 1992",Micky Quinn,"1,78m",222530,['England'],Newcastle United,33,"May 2, 1962",Retired
Centre-Forward,right,"Sep 9, 1994",Dion Dublin,"1,88m",3763,['England'],: Ablöse €3.00m,26,"Apr 22, 1969",Retired
