position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Aug 12, 1994",Alan Miller,"1,91m",3820,['England'],: Ablöse €500k,27,"Mar 29, 1970",---
Goalkeeper,,"Aug 11, 1995",Gary Walsh,"1,91m",13547,['England'],: Ablöse €700k,29,"Mar 21, 1968",Retired
Goalkeeper,,"Feb 21, 1997",Mark Schwarzer,,3357,"['Australia', 'Germany']",Bradford City,24,"Oct 6, 1972",Retired
Goalkeeper,,"Jul 1, 1992",Ben Roberts,"1,85m",4099,['England'],Middlesbrough FC U18,22,"Jun 22, 1975",Retired
Centre-Back,right,"Jan 1, 1993",Derek Whyte,"1,83m",11375,['Scotland'],Celtic FC,28,"Aug 31, 1968",Retired
Centre-Back,,"Jul 1, 1994",Nigel Pearson,"1,85m",222229,['England'],: Ablöse €900k,33,"Aug 21, 1963",Retired
Centre-Back,,"Mar 21, 1995",Phil Whelan,"1,93m",222239,['England'],: Ablöse €450k,24,"Aug 7, 1972",Retired
Centre-Back,right,"Jul 19, 1994",Neil Cox,"1,83m",13784,['England'],: Ablöse €1.40m,25,"Oct 8, 1971",Retired
Centre-Back,,"Dec 3, 1993",Steve Vickers,"1,85m",3935,['England'],: Ablöse €830k,29,"Oct 13, 1967",Retired
Centre-Back,left,"Jan 1, 1997",Vladimír Kinder,"1,77m",16483,['Slovakia'],Slovan Bratislava,28,"Mar 9, 1969",Retired
Centre-Back,,"Jul 1, 1994",Craig Liddle,"1,80m",214028,['England'],Blyth Spartans,25,"Oct 21, 1971",Retired
Centre-Back,right,,Alan White,"1,84m",34615,['England'],,21,"Mar 22, 1976",Retired
Left-Back,,"Jul 1, 1994",Clayton Blackmore,"1,75m",176007,['Wales'],: Ablöse free transfer,32,"Sep 23, 1964",Retired
Left-Back,left,"Feb 1, 1996",Branco,"1,80m",102590,"['Brazil', 'Lebanon']",Sport Club Internacional,33,"Apr 4, 1964",Retired
Right-Back,,"Aug 16, 1991",Curtis Fleming,"1,78m",11353,"['Ireland', 'England']",St. Patrick's Athletic,28,"Oct 8, 1968",Retired
Right-Back,right,"Jul 1, 1997",Gianluca Festa,"1,83m",5596,['Italy'],: Ablöse ?,28,"Mar 16, 1969",Retired
Right-Back,right,"Aug 14, 1992",Chris Morris,"1,80m",104108,"['Ireland', 'England']",Celtic FC,33,"Dec 24, 1963",Retired
Right-Back,right,"Jul 23, 1994",Viv Anderson,"1,84m",117188,['England'],Barnsley FC,40,"Jul 29, 1956",Retired
Defensive Midfield,right,"Jun 1, 1997",Émerson,"1,83m",8754,"['Brazil', 'Portugal']",: Ablöse €4.00m,25,"Apr 12, 1972",Retired
Central Midfield,right,"Jul 1, 1990",Robbie Mustoe,"1,83m",13419,['England'],: Ablöse €440k,28,"Aug 28, 1968",Retired
Central Midfield,left,"Jul 1, 1994",Bryan Robson,"1,80m",101382,['England'],: Ablöse free transfer,40,"Jan 11, 1957",Retired
Central Midfield,right,"Jul 1, 1993",Phil Stamp,"1,78m",12607,['England'],Middlesbrough FC U18,21,"Dec 12, 1975",Retired
Central Midfield,right,"Jul 1, 1995",Mark Summerbell,"1,75m",195687,['England'],Middlesbrough FC U18,20,"Oct 30, 1976",Retired
Left Midfield,,"Jul 1, 1995",Nick Barmby,,3222,['England'],: Ablöse €7.50m,23,"Feb 11, 1974",Retired
Left Midfield,,"Jul 1, 1991",Alan Moore,"1,75m",10007,['Ireland'],Barnsley FC,22,"Nov 25, 1974",Retired
Attacking Midfield,right,"Jul 26, 2002",Juninho Paulista,"1,67m",3505,"['Brazil', 'Italy']",: Ablöse €6.90m,24,"Feb 22, 1973",Retired
Right Winger,,"Jul 5, 1990",John Hendrie,,195175,['Scotland'],: Ablöse €631k,33,"Oct 24, 1963",Retired
Right Winger,,"Nov 27, 1992",Craig Hignett,,3787,['England'],Crewe Alexandra,27,"Jan 12, 1970",Retired
Right Winger,right,"Jul 1, 1996",Anthony Ormerod,"1,78m",106162,"['Ireland', 'England']",Middlesbrough FC U18,18,"Mar 31, 1979",Retired
Centre-Forward,,"Dec 2, 1994",Chris Freestone,"1,80m",230936,['England'],Arnold Town,25,"Sep 4, 1971",Retired
Centre-Forward,,"Jul 1, 1996",Mikkel Beck,,5650,['Denmark'],: Ablöse free transfer,24,"May 12, 1973",Retired
Centre-Forward,left,"Jul 1, 1996",Fabrizio Ravanelli,"1,88m",4226,['Italy'],: Ablöse €9.78m,28,"Dec 11, 1968",Retired
Centre-Forward,right,"Jul 1, 1994",Jan Åge Fjørtoft,"1,92m",514,['Norway'],Swindon Town,30,"Jan 10, 1967",Retired
Centre-Forward,right,"Jul 1, 1996",Andy Campbell,"1,80m",12689,['England'],Middlesbrough FC U18,18,"Apr 18, 1979",Retired
