position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Nov 7, 1985",Kevin Pressman,"1,85m",10242,['England'],Sheffield Wednesday U18,29,"Nov 6, 1967",Retired
Goalkeeper,right,"Jul 1, 1996",Matt Clarke,"1,91m",13781,['England'],Rotherham United,23,"Nov 3, 1973",Retired
Centre-Back,right,"Jul 1, 1994",Peter Atherton,"1,78m",13552,['England'],Coventry City,27,"Apr 6, 1970",Retired
Centre-Back,,"Jul 1, 1992",Brian Linighan,"1,85m",223306,['England'],Sheffield Wednesday U21,23,"Nov 2, 1973",Retired
Centre-Back,right,"Mar 16, 1996",Jon Newsome,"1,88m",107093,['England'],: Ablöse €2.25m,26,"Sep 6, 1970",Retired
Centre-Back,right,"Jul 1, 1993",Des Walker,"1,80m",10000,"['England', 'Jamaica']",UC Sampdoria,31,"Nov 26, 1965",Retired
Centre-Back,left,"Jul 1, 1995",Dejan Stefanovic,"1,80m",4308,['Serbia'],Red Star Belgrade,22,"Oct 28, 1974",Retired
Left-Back,left,"Jul 1, 1994",Lee Briscoe,"1,80m",13994,['England'],Sheffield Wednesday U18,21,"Sep 30, 1975",Retired
Left-Back,both,"Aug 1, 1994",Ian Nolan,"1,83m",107097,"['Northern Ireland', 'England']",: Ablöse €2.25m,26,"Jul 9, 1970",Retired
Right-Back,,"Nov 25, 1995",Steve Nicol,,107096,['Scotland'],: Ablöse free transfer,35,"Dec 11, 1961",Retired
Defensive Midfield,,"May 1, 1988",Graham Hyde,,106798,['England'],Sheffield Wednesday U18,26,"Nov 10, 1970",Retired
Defensive Midfield,,"Aug 1, 1995",Ritchie Humphreys,,66930,['England'],Sheffield Wednesday U18,19,"Nov 30, 1977",Retired
Defensive Midfield,,"Jul 1, 1996",Orlando Trustfull,,107142,"['Netherlands', 'Suriname']",: Ablöse ?,26,"Aug 4, 1970",Retired
Central Midfield,,"Nov 3, 1989",John Sheridan,,102496,"['Ireland', 'England']",: Ablöse €625k,32,"Oct 1, 1964",Retired
Central Midfield,right,"Aug 9, 1996",Wayne Collins,"1,83m",175977,['England'],Crewe Alexandra,28,"Mar 4, 1969",Retired
Left Midfield,,"Jul 19, 1995",Mark Pembridge,,3615,['Wales'],: Ablöse €1.25m,26,"Nov 29, 1970",Retired
Left Midfield,left,"Mar 1, 1996",Regi Blinker,"1,73m",107125,"['Netherlands', 'Suriname']",: Ablöse €400k,28,"Jun 4, 1969",Retired
Second Striker,right,"Oct 1, 1996",Benny Carbone,"1,68m",3389,['Italy'],: Ablöse €5.12m,25,"Aug 14, 1971",Retired
Centre-Forward,right,"Dec 21, 1994",Guy Whittingham,"1,78m",106806,['England'],: Ablöse €1.00m,32,"Nov 10, 1964",Retired
Centre-Forward,right,"Sep 11, 1992",Mark Bright,"1,83m",223280,['England'],: Ablöse €1.70m,35,"Jun 6, 1962",Retired
Centre-Forward,,"Aug 1, 1986",David Hirst,,109491,"['England', 'Scotland']",Barnsley FC,29,"Dec 7, 1967",Retired
Centre-Forward,,"Jul 8, 1996",Andy Booth,"1,83m",49086,['England'],: Ablöse €3.90m,23,"Dec 6, 1973",Retired
Striker,,"Aug 1, 1996",Scott Oakes,"1,80m",107098,['England'],: Ablöse €640k,,,Retired
Centre-Forward,,"Jan 1, 1995",O'Neill Donaldson,"1,86m",195174,['England'],Doncaster Rovers,27,"Nov 24, 1969",Retired
Centre-Forward,,"Feb 13, 1991",Mike Williams,,223291,['England'],Maltby Main FC,27,"Nov 21, 1969",Retired
