position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jan 11, 1996",Peter Shilton,,101383,['England'],Coventry City,47,"Sep 18, 1949",Retired
Goalkeeper,,"Nov 1, 1996",Les Sealey,"1,85m",176019,['England'],Leyton Orient,39,"Sep 29, 1957",---
Goalkeeper,right,"Mar 29, 1996",Steve Mautone,"1,85m",197268,"['Australia', 'Italy']",Cosmos Canberra,26,"Aug 10, 1970",Retired
Goalkeeper,right,"Feb 19, 1990",Ludek Miklosko,"1,96m",106952,['Czech Republic'],TJ Banik Ostrava OKD,35,"Dec 9, 1961",Retired
Centre-Back,right,"Jan 1, 1996",Slaven Bilic,"1,88m",41137,['Croatia'],: Ablöse €1.65m,28,"Sep 11, 1968",Retired
Centre-Back,right,"Jul 1, 1995",Marc Rieper,"1,91m",98529,['Denmark'],Bröndby IF,29,"Jun 5, 1968",Retired
Centre-Back,,"Jul 1, 1996",Richard Hall,"1,85m",222259,['England'],Southampton FC,25,"Mar 14, 1972",Retired
Centre-Back,right,"Nov 1, 1995",Rio Ferdinand,"1,89m",3235,['England'],: Ablöse -,18,"Nov 7, 1978",Retired
Centre-Back,right,"Jul 1, 1996",Chris Coyne,"1,85m",33487,['Australia'],: Ablöse -,18,"Dec 20, 1978",Retired
Left-Back,,"Oct 21, 1994",Julian Dicks,"1,78m",107806,['England'],: Ablöse €1.50m,28,"Aug 8, 1968",Retired
Left-Back,left,"Aug 1, 1993",Keith Rowland,"1,78m",149519,['Northern Ireland'],: Ablöse €165k,25,"Sep 1, 1971",Retired
Left-Back,left,"Aug 1, 1996",Mark Bowen,"1,73m",181585,['Wales'],: Ablöse free transfer,33,"Dec 7, 1963",Retired
Right-Back,,"Jul 1, 1991",Kenny Brown,"1,73m",228464,['England'],Plymouth Argyle,29,"Jul 11, 1967",Retired
Right-Back,,"Oct 1, 1990",Tim Breacker,,107804,['England'],: Ablöse €900k,31,"Jul 2, 1965",Retired
Right-Back,right,"Jan 1, 1985",Steve Potts,"1,70m",107819,"['United States', 'England']",: Ablöse -,30,"May 7, 1967",Retired
Central Midfield,,"Mar 1, 1997",Steve Lomas,,3801,"['Northern Ireland', 'Germany']",: Ablöse €2.40m,23,"Jan 18, 1974",Retired
Central Midfield,,"Jul 1, 1995",Robbie Slater,"1,80m",133804,"['Australia', 'England']",Blackburn Rovers,32,"Nov 22, 1964",Retired
Central Midfield,right,"Dec 28, 1989",Ian Bishop,"1,75m",175895,['England'],: Ablöse €750k,32,"May 29, 1965",Retired
Central Midfield,right,"Jul 1, 1995",Frank Lampard,"1,84m",3163,['England'],: Ablöse -,19,"Jun 20, 1978",Retired
Central Midfield,,"Jul 1, 1996",Scott Mean,"1,80m",107816,['England'],: Ablöse €150k,23,"Dec 13, 1973",Retired
Left Midfield,right,"Jul 1, 1996",Michael Hughes,"1,70m",14026,['Northern Ireland'],: Ablöse free transfer,25,"Aug 2, 1971",Retired
Left Midfield,left,"Jul 1, 1996",Stan Lazaridis,"1,75m",3747,"['Australia', 'Greece']",West Adelaide SC,24,"Aug 16, 1972",Retired
Attacking Midfield,right,"Jul 1, 1992",Danny Williamson,"1,78m",197252,['England'],: Ablöse -,23,"Dec 5, 1973",Retired
Attacking Midfield,right,"Jul 1, 1994",John Moncur,"1,70m",3696,['England'],Swindon Town,30,"Sep 22, 1966",Retired
Left Winger,left,"Jul 1, 1996",Paulo Futre,"1,75m",27705,['Portugal'],: Ablöse free transfer,31,"Feb 28, 1966",Retired
Left Winger,,"Jan 1, 1996",Ilie Dumitrescu,,102020,['Romania'],: Ablöse €1.50m,28,"Jan 6, 1969",Retired
Left Winger,left,"Sep 18, 1996",Porfírio,"1,72m",17187,['Portugal'],: Ablöse ?,23,"Sep 28, 1973",Retired
Centre-Forward,right,"Jul 1, 1996",Florin Răducioiu,"1,85m",16167,"['Romania', 'Spain']",RCD Espanyol Barcelona,27,"Mar 17, 1970",Retired
Centre-Forward,right,"Jul 1, 1996",Lee Boylan,"1,68m",66498,"['England', 'Ireland']",: Ablöse -,18,"Sep 2, 1978",Retired
Centre-Forward,,"Sep 7, 1994",Tony Cottee,"1,70m",107792,['England'],: Ablöse ?,31,"Jul 11, 1965",Retired
Centre-Forward,,"Sep 8, 1995",Iain Dowie,,149507,"['Northern Ireland', 'England']",: Ablöse €600k,32,"Jan 9, 1965",Retired
Centre-Forward,,"Dec 1, 1996",Mike Newell,,170398,['England'],: Ablöse free transfer,32,"Jan 27, 1965",Retired
Centre-Forward,right,"Jul 1, 1996",Steve Jones,"1,85m",197276,['England'],: Ablöse €249k,27,"Mar 17, 1970",Retired
Centre-Forward,,"Feb 1, 1997",Paul Kitson,"1,80m",107813,['England'],Newcastle United,26,"Jan 9, 1971",Retired
Centre-Forward,right,"Feb 1, 1997",John Hartson,"1,85m",3094,['Wales'],: Ablöse €5.00m,22,"Apr 5, 1975",Retired
