position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,,Danny Robinson,"1,83m",107820,"['England', 'New Zealand']",,15,"Sep 1, 1982",Retired
Goalkeeper,,"Jul 13, 1995",Russell Hoult,"1,93m",3653,['England'],: Ablöse €300k,25,"Nov 22, 1972",Retired
Goalkeeper,left,"Mar 26, 1997",Mart Poom,"1,95m",3715,['Estonia'],: Ablöse €700k,26,"Feb 3, 1972",Retired
Centre-Back,,"Jul 1, 1998",Stefan Schnoor,,702,['Germany'],: Ablöse free transfer,27,"Apr 18, 1971",Retired
Centre-Back,right,"Jul 1, 1995",Gary Rowett,"1,85m",4102,['England'],: Ablöse €420k,24,"Mar 6, 1974",Retired
Centre-Back,right,"Jul 1, 1995",Darryl Powell,"1,83m",4081,"['Jamaica', 'England']",: Ablöse €1.13m,26,"Nov 15, 1971",Retired
Centre-Back,right,"Jan 1, 1995",Dean Yates,"1,85m",107825,['England'],: Ablöse ?,30,"Oct 26, 1967",Retired
Centre-Back,right,"Jul 1, 1995",Igor Stimac,"1,88m",103812,['Croatia'],HNK Hajduk Split,30,"Sep 6, 1967",Retired
Centre-Back,right,"Jul 17, 1996",Jacob Laursen,"1,83m",4253,['Denmark'],Silkeborg IF,26,"Oct 6, 1971",Retired
Centre-Back,,"Jul 1, 1996",Matt Carbon,"1,88m",43138,['England'],: Ablöse free transfer,23,"Jun 8, 1975",Retired
Centre-Back,right,"Jul 1, 1997",Steve Elliott,"1,85m",13457,['England'],Derby County U18,19,"Oct 29, 1978",Retired
Centre-Back,right,"Jul 1, 1996",Christian Dailly,"1,83m",3799,['Scotland'],: Ablöse €750k,24,"Oct 23, 1973",Retired
Left-Back,left,"Jan 1, 1996",Chris Powell,"1,78m",4100,"['England', 'Jamaica']",Southend United,28,"Sep 8, 1969",Retired
Right-Back,right,"Jul 1, 1997",Rob Kozluk,"1,73m",13525,"['England', 'Poland']",Derby County U18,20,"Aug 5, 1977",Retired
Midfielder,right,"Jan 20, 1992",Paul Simpson,"1,70m",163617,['England'],: Ablöse €600k,31,"Jul 26, 1966",Retired
Defensive Midfield,right,"Jul 1, 1992",Lee Carsley,"1,78m",3618,"['Ireland', 'England']",Derby County U18,24,"Feb 28, 1974",Retired
Central Midfield,right,"Feb 6, 1998",Rory Delap,"1,83m",4112,"['Ireland', 'England']",Carlisle United,21,"Jul 6, 1976",Retired
Central Midfield,left,"Dec 1, 1996",Aljosa Asanovic,"1,86m",103806,['Croatia'],HNK Hajduk Split,32,"Dec 14, 1965",Retired
Central Midfield,right,"Mar 1, 1998",Lars Bohinen,"1,85m",102503,['Norway'],Blackburn Rovers,28,"Sep 8, 1969",Retired
Central Midfield,right,"Jul 1, 1997",Marc Bridge-Wilkinson,"1,68m",39231,['England'],Derby County U18,19,"Mar 16, 1979",Retired
Right Midfield,right,"Jul 1, 1997",Stefano Eranio,"1,80m",4227,['Italy'],: Ablöse free transfer,31,"Dec 29, 1966",Retired
Left Midfield,left,"Jul 1, 1996",Mauricio Solís,"1,78m",16446,['Costa Rica'],CS Herediano,25,"Dec 13, 1972",Retired
Attacking Midfield,,"Aug 1, 1995",Robin van der Laan,"1,80m",107826,['Netherlands'],: Ablöse €700k,29,"Sep 5, 1968",Retired
Attacking Midfield,left,"Dec 1, 1994",Paul Trollope,"1,83m",175993,['Wales'],: Ablöse €150k,26,"Jun 3, 1972",Retired
Right Winger,right,"Jul 1, 1997",Jonathan Hunt,"1,80m",107811,['England'],: Ablöse €750k,26,"Nov 2, 1971",Retired
Second Striker,both,"Jul 1, 1997",Francesco Baiano,"1,70m",107802,['Italy'],: Ablöse €1.80m,30,"Feb 24, 1968",Retired
Centre-Forward,right,"Jan 1, 1996",Ashley Ward,"1,85m",13548,['England'],: Ablöse €1.40m,27,"Nov 24, 1970",Retired
Centre-Forward,right,"Jul 1, 1991",Dean Sturridge,"1,73m",4230,['England'],Derby County U18,24,"Jul 26, 1973",Retired
Centre-Forward,right,"Mar 1, 1997",Paulo Wanchope,"1,93m",3230,"['Costa Rica', 'England']",CS Herediano,21,"Jul 31, 1976",Retired
Striker,,"Jul 27, 1995",Ron Willems,,107824,['Netherlands'],: Ablöse €450k,31,"Sep 20, 1966",Retired
Centre-Forward,right,"Aug 6, 1997",Deon Burton,"1,78m",3464,"['Jamaica', 'England']",: Ablöse €1.25m,21,"Oct 25, 1976",Retired
