position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1981",Neville Southall,,135910,['Wales'],Bury FC,39,"Sep 16, 1958",Retired
Goalkeeper,left,"Jul 1, 1996",Paul Gerrard,"1,88m",3584,['England'],: Ablöse €1.50m,25,"Jan 22, 1973",Retired
Goalkeeper,left,"Nov 1, 1997",Thomas Myhre,"1,88m",3566,['Norway'],Viking FK,24,"Oct 16, 1973",Retired
Centre-Back,right,"Jul 1, 1997",Slaven Bilic,"1,88m",41137,['Croatia'],: Ablöse ?,29,"Sep 11, 1968",Retired
Centre-Back,right,,John-Joe O'Toole,"1,88m",57053,"['Ireland', 'England']",,9,"Sep 30, 1988",AFC Wimbledon
Centre-Back,,,Graham Allen,"1,85m",224477,['England'],,21,"Apr 8, 1977",Retired
Centre-Back,,,Jon O'Connor,,225080,['England'],,21,"Oct 29, 1976",Retired
Centre-Back,,"Aug 22, 1986",Dave Watson,,135911,['England'],: Ablöse €1.85m,36,"Nov 20, 1961",Retired
Centre-Back,both,"Jul 1, 1995",Craig Short,"1,85m",3821,['England'],: Ablöse €3.60m,30,"Jun 25, 1968",Retired
Centre-Back,,"Jan 1, 1997",Claus Thomsen,,676,['Denmark'],Ipswich Town,28,"May 31, 1970",Retired
Centre-Back,right,"Nov 28, 1997",Carl Tiler,"1,88m",198681,['England'],Sheffield United,28,"Feb 11, 1970",Retired
Centre-Back,right,"Jul 1, 1996",Richard Dunne,"1,88m",3807,['Ireland'],: Ablöse -,18,"Sep 21, 1979",Retired
Left-Back,left,"Jul 1, 1990",Andy Hinchcliffe,"1,78m",106797,['England'],: Ablöse €1.20m,29,"Feb 5, 1969",Retired
Left-Back,left,"Dec 1, 1996",Terry Phelan,"1,72m",102495,"['Ireland', 'England']",: Ablöse ?,31,"Mar 16, 1967",Retired
Left-Back,left,"Jul 1, 1997",Michael Ball,"1,78m",9423,['England'],: Ablöse -,18,"Oct 2, 1979",Retired
Right-Back,right,"Jan 30, 1995",Earl Barrett,"1,80m",106795,['England'],: Ablöse €2.50m,31,"Apr 28, 1967",Retired
Right-Back,right,"Aug 6, 1997",Tony Thomas,"1,80m",195614,['England'],: Ablöse €650k,26,"Jul 12, 1971",Retired
Right-Back,right,"Jan 1, 1998",John O'Kane,"1,78m",150458,['England'],: Ablöse €400k,23,"Nov 15, 1974",Retired
Defensive Midfield,right,"Jul 1, 1993",Tony Grant,"1,77m",9976,['England'],: Ablöse -,23,"Nov 14, 1974",Retired
Central Midfield,,"Jul 1, 1996",Gary Speed,,3459,['Wales'],: Ablöse €4.87m,28,"Sep 8, 1969",---
Central Midfield,right,"Jul 1, 1997",John Oster,"1,75m",13918,"['Wales', 'England']",Grimsby Town,19,"Dec 8, 1978",Retired
Central Midfield,both,"Nov 28, 1997",Mitch Ward,,199621,['England'],Sheffield United,27,"Jun 19, 1971",Retired
Central Midfield,left,"Jul 1, 1995",Gavin McCann,"1,80m",4136,['England'],: Ablöse -,20,"Jan 10, 1978",Retired
Left Midfield,,"Oct 1, 1996",Nick Barmby,,3222,['England'],: Ablöse €8.00m,24,"Feb 11, 1974",Retired
Left Midfield,,"Jul 1, 1997",Gareth Farrelly,,9878,['Ireland'],: Ablöse €1.05m,22,"Aug 28, 1975",Retired
Attacking Midfield,right,"Aug 15, 1997",Danny Williamson,"1,78m",197252,['England'],: Ablöse ?,24,"Dec 5, 1973",Retired
Attacking Midfield,right,"Feb 26, 1998",Don Hutchison,"1,85m",3880,"['Scotland', 'England']",Sheffield United,27,"May 9, 1971",Retired
Left Winger,left,"Mar 1, 1998",Peter Beagrie,,138385,['England'],Bradford City,32,"Nov 28, 1965",Retired
Right Winger,right,"Jul 1, 1993",Graham Stuart,"1,73m",3334,['England'],: Ablöse €1.28m,27,"Oct 24, 1970",Retired
Right Winger,right,"Jul 1, 1996",Danny Cadamarteri,"1,75m",4220,"['England', 'Jamaica']",: Ablöse -,18,"Oct 12, 1979",Retired
Centre-Forward,right,"Jan 1, 1998",Mickaël Madar,"1,83m",104068,['France'],Deportivo de La Coruña,30,"May 8, 1968",Retired
Centre-Forward,left,"Jul 1, 2000",Duncan Ferguson,"1,93m",3239,['Scotland'],Newcastle United,26,"Dec 27, 1971",Retired
Centre-Forward,,"Jan 1, 1998",John Spencer,,27004,['Scotland'],: Ablöse free transfer,27,"Sep 11, 1970",Retired
Centre-Forward,right,"Oct 24, 1995",Michael Branch,"1,78m",10393,['England'],: Ablöse -,19,"Oct 18, 1978",Retired
Centre-Forward,right,"Jul 1, 1996",Phil Jevons,"1,78m",47982,['England'],: Ablöse -,18,"Aug 1, 1979",Retired
Centre-Forward,right,"Sep 1, 2003",Francis Jeffers,"1,78m",3186,['England'],: Ablöse free transfer,17,"Jan 25, 1981",Retired
