position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1996",John Lukic,"1,93m",28241,['England'],: Ablöse free transfer,39,"Dec 11, 1960",Retired
Goalkeeper,right,"Jul 1, 1990",David Seaman,"1,93m",3141,['England'],: Ablöse €2.00m,36,"Sep 19, 1963",Retired
Goalkeeper,,"Jul 3, 1997",Alexander Manninger,,5278,['Austria'],: Ablöse €1.45m,23,"Jun 4, 1977",Retired
Goalkeeper,right,"Jul 1, 2000",Stuart Taylor,"1,98m",3190,['England'],Arsenal FC Reserves,19,"Nov 28, 1980",Retired
Defender,,"Jul 1, 1997",Brian McGovern,,227614,['Ireland'],Cherry Orchard FC,20,"Apr 28, 1980",Retired
Centre-Back,,"Jul 1, 1983",Tony Adams,,28238,['England'],Arsenal FC U18,33,"Oct 10, 1966",Retired
Centre-Back,right,"Feb 4, 1993",Martin Keown,"1,86m",3184,['England'],: Ablöse €3.00m,33,"Jul 24, 1966",Retired
Centre-Back,left,"Jul 1, 1997",Matthew Upson,"1,85m",3273,['England'],: Ablöse €2.80m,21,"Apr 18, 1979",Retired
Left-Back,left,"Jul 1, 1999",Ashley Cole,"1,76m",3182,"['England', 'Barbados']",Arsenal FC Reserves,19,"Dec 20, 1980",Retired
Left-Back,left,"Jul 1, 1987",Nigel Winterburn,"1,73m",3648,['England'],: Ablöse €600k,36,"Dec 11, 1963",Retired
Left-Back,left,"Jun 30, 1999",Sylvinho,"1,73m",3359,"['Brazil', 'Spain']",Sport Club Corinthians Paulista,26,"Apr 12, 1974",Retired
Left-Back,,"Jul 1, 1999",Stefan Malz,,914,['Germany'],TSV 1860 Munich,28,"Jun 15, 1972",Retired
Right-Back,right,"Jan 29, 1988",Lee Dixon,"1,75m",28240,['England'],: Ablöse €700k,36,"Mar 17, 1964",Retired
Right-Back,both,"Jul 1, 1998",Nelson Vivas,"1,66m",30936,['Argentina'],: Ablöse €2.20m,30,"Oct 18, 1969",Retired
Right-Back,right,"Jul 1, 1999",Rhys Weston,"1,83m",12725,"['Wales', 'England']",Arsenal FC U18,19,"Oct 27, 1980",Retired
Right-Back,right,"Jul 1, 1999",Oleg Luzhnyi,"1,83m",3196,['Ukraine'],: Ablöse €2.75m,31,"Aug 5, 1968",Retired
Right-Back,,"Jul 1, 2001",Moritz Volz,,4048,['Germany'],Arsenal FC U18,17,"Jan 21, 1983",Retired
Defensive Midfield,,,Greg Lincoln,,262085,['England'],,20,"Mar 23, 1980",Retired
Defensive Midfield,right,"Aug 14, 1996",Patrick Vieira,"1,92m",3183,"['France', 'Senegal']",: Ablöse €5.35m,24,"Jun 23, 1976",Retired
Defensive Midfield,left,"Jul 1, 1997",Emmanuel Petit,"1,85m",3166,['France'],: Ablöse €3.75m,29,"Sep 22, 1970",Retired
Defensive Midfield,right,"Jul 1, 1997",Gilles Grimandi,"1,80m",15297,['France'],: Ablöse €3.75m,29,"Nov 11, 1970",Retired
Defensive Midfield,left,"Jul 1, 1995",Stephen Hughes,"1,83m",10400,['England'],Arsenal FC U18,23,"Sep 18, 1976",Retired
Central Midfield,right,"Mar 6, 1991",Ray Parlour,"1,78m",3208,['England'],Arsenal FC U18,27,"Mar 7, 1973",Retired
Central Midfield,right,"Jul 1, 1997",Paolo Vernazza,"1,78m",14080,['England'],Arsenal FC U18,20,"Nov 1, 1979",Retired
Right Midfield,,"Sep 1, 1998",Freddie Ljungberg,,3134,['Sweden'],Halmstads BK,23,"Apr 16, 1977",Retired
Right Midfield,right,"Jul 1, 1998",Tommy Black,"1,73m",13992,['England'],Arsenal FC U18,20,"Nov 26, 1979",Retired
Left Midfield,left,"Jul 1, 1997",Luís Boa Morte,"1,78m",3422,"['Portugal', 'Sao Tome and Principe']",: Ablöse €2.40m,22,"Aug 4, 1977",Retired
Left Winger,both,"Jul 1, 1997",Marc Overmars,"1,74m",3513,['Netherlands'],: Ablöse €7.50m,27,"Mar 29, 1973",Retired
Right Winger,right,"Jul 1, 2001",Jermaine Pennant,"1,73m",3195,"['England', 'Jamaica']",Arsenal FC U18,17,"Jan 15, 1983",Retired
Second Striker,right,"Jul 1, 1995",Dennis Bergkamp,"1,83m",3187,['Netherlands'],: Ablöse €11.25m,31,"May 10, 1969",Retired
Centre-Forward,left,,Julian Gray,"1,85m",8735,"['England', 'Jamaica']",,20,"Sep 21, 1979",Retired
Centre-Forward,,"Jul 1, 1999",Davor Suker,,1407,['Croatia'],: Ablöse €5.40m,32,"Jan 1, 1968",Retired
Centre-Forward,right,"Jul 1, 1997",Christopher Wreh,"1,73m",15712,"['Liberia', 'France']",: Ablöse ?,25,"May 14, 1975",Retired
Centre-Forward,both,"Jan 6, 2012",Thierry Henry,"1,88m",3207,"['France', 'Guadeloupe']",New York Red Bulls,22,"Aug 17, 1977",Retired
Centre-Forward,right,"Jan 1, 1999",Nwankwo Kanu,"1,97m",3133,['Nigeria'],: Ablöse €6.25m,23,"Aug 1, 1976",Retired
Centre-Forward,right,"Jul 1, 1998",Graham Barrett,"1,78m",3290,['Ireland'],Arsenal FC U18,18,"Oct 6, 1981",Retired
