position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 10, 1996",Alec Chamberlain,"1,88m",14000,['England'],: Ablöse €60k,36,"Jun 20, 1964",Retired
Goalkeeper,right,"Jul 1, 1997",Chris Day,"1,88m",13721,['England'],: Ablöse ?,24,"Jul 28, 1975",Retired
Goalkeeper,,"Aug 1, 1999",Herwig Walker,"1,86m",17104,['Austria'],: Ablöse ?,28,"May 4, 1972",Retired
Centre-Back,right,"Apr 19, 1993",Rob Page,"1,83m",4224,['Wales'],Watford FC U18,25,"Sep 3, 1974",Retired
Centre-Back,,"Sep 28, 1995",Steve Palmer,"1,86m",223448,['England'],Ipswich Town,32,"Mar 31, 1968",Retired
Centre-Back,right,"Sep 1, 2008",Darren Ward,"1,91m",13614,['England'],Wolverhampton Wanderers,21,"Sep 13, 1978",Retired
Centre-Back,right,"Jan 1, 1999",Adrian Bakalli,"1,90m",223403,['Belgium'],RWD Molenbeek (- 2002),23,"Nov 22, 1976",Retired
Centre-Back,,,James Panayi,"1,85m",223432,"['England', 'Cyprus']",Watford FC U23,20,"Jan 24, 1980",Retired
Centre-Back,right,"Jul 7, 1999",Mark Williams,"1,82m",16237,['Northern Ireland'],: Ablöse free transfer,29,"Sep 28, 1970",Retired
Centre-Back,right,"Nov 4, 1999",Neil Cox,"1,83m",13784,['England'],: Ablöse €750k,28,"Oct 8, 1971",Retired
Left-Back,left,"Aug 1, 1997",Peter Kennedy,"1,80m",13523,['Northern Ireland'],: Ablöse €150k,26,"Sep 10, 1973",Retired
Left-Back,left,"Jul 1, 1996",Paul Robinson,"1,75m",14063,['England'],Watford FC U18,21,"Dec 14, 1978",Retired
Left-Back,left,"Jul 1, 1996",Clint Easton,"1,80m",11666,['England'],Watford FC U18,22,"Oct 1, 1977",Retired
Left-Back,left,,David Perpetuini,"1,75m",14056,"['England', 'Italy']",,20,"Sep 26, 1979",Retired
Right-Back,right,"Jul 1, 1999",Des Lyttle,"1,75m",3674,['England'],: Ablöse ?,28,"Sep 24, 1971",Retired
Right-Back,right,"Nov 23, 1983",Nigel Gibbs,"1,70m",223414,['England'],Watford FC U18,34,"Nov 20, 1965",Retired
Midfielder,right,"May 1, 1992",Richard Johnson,"1,80m",14033,['Australia'],Newcastle United Jets,26,"Apr 27, 1974",Retired
Midfielder,,"Nov 11, 1998",Alexandre Bonnot,,223406,['France'],: Ablöse ?,26,"Jul 31, 1973",Retired
Central Midfield,right,"Jul 1, 1997",Micah Hyde,"1,78m",14027,"['Jamaica', 'England']",Cambridge United,25,"Nov 10, 1974",Retired
Attacking Midfield,right,"Jul 1, 1999",Charlie Miller,"1,78m",11366,['Scotland'],: Ablöse free transfer,24,"Mar 18, 1976",Retired
Left Winger,both,"Mar 26, 1998",Jóhann Gudmundsson,"1,81m",32887,['Iceland'],Keflavík ÍF,22,"Dec 5, 1977",Retired
Right Winger,,"Jul 1, 1998",Felix Michel Ngonge,"1,88m",112821,"['DR Congo', 'Belgium']",: Ablöse ?,32,"Aug 17, 1967",Retired
Right Winger,right,"Sep 13, 1999",Nordin Wooter,"1,69m",12090,"['Netherlands', 'Suriname']",: Ablöse €1.40m,22,"Aug 24, 1977",Retired
Centre-Forward,left,"Nov 9, 1999",Xavier Gravelaine,"1,83m",20083,['France'],: Ablöse ?,31,"Oct 5, 1968",Retired
Centre-Forward,left,"Jul 1, 1999",Dominic Foley,"1,85m",13966,['Ireland'],: Ablöse free transfer,23,"Jul 7, 1976",Retired
Centre-Forward,right,"Jul 1, 1994",Tommy Mooney,"1,80m",10410,['England'],Southend United,28,"Aug 11, 1971",Retired
Centre-Forward,right,"Jul 3, 1998",Nick Wright,"1,80m",223442,['England'],Carlisle United,24,"Oct 15, 1975",Retired
Centre-Forward,right,"Jul 1, 1998",Allan Smart,"1,88m",14175,"['Scotland', 'England']",Carlisle United,25,"Jul 8, 1974",Retired
Centre-Forward,right,"Jul 1, 1996",Gifton Noel-Williams,"1,91m",13596,['England'],Watford FC U18,20,"Jan 21, 1980",Retired
Centre-Forward,right,"Aug 20, 2006",Tommy Smith,"1,78m",12401,['England'],: Ablöse €725k,20,"May 22, 1980",Retired
Centre-Forward,right,"Jul 1, 1999",Steve Brooker,"1,83m",48086,['England'],Watford FC U18,19,"May 21, 1981",Retired
Centre-Forward,both,"Jan 11, 2010",Heidar Helguson,"1,78m",9886,['Iceland'],: Ablöse free transfer,22,"Aug 22, 1977",Retired
