position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1987",Kevin Hitchcock,"1,85m",26168,['England'],Mansfield Town,38,"Oct 5, 1962",Retired
Goalkeeper,right,"Jul 1, 1997",Ed de Goey,"1,98m",3150,['Netherlands'],: Ablöse €3.35m,34,"Dec 20, 1966",Retired
Goalkeeper,right,"Jul 1, 2000",Carlo Cudicini,"1,84m",3151,['Italy'],: Ablöse €240k,27,"Sep 6, 1973",Retired
Goalkeeper,left,"Jan 18, 2001",Mark Bosnich,"1,85m",3249,"['Australia', 'Croatia']",Manchester United,29,"Jan 13, 1972",Retired
Centre-Back,right,"Jul 1, 1996",Frank Leboeuf,"1,83m",5314,['France'],: Ablöse €3.45m,33,"Jan 22, 1968",Retired
Centre-Back,right,"Jul 1, 1997",Bernard Lambourde,"1,83m",5580,"['France', 'Guadeloupe']",: Ablöse ?,30,"May 11, 1971",Retired
Centre-Back,right,"Jul 1, 1999",Jes Högh,"1,84m",102755,['Denmark'],Fenerbahce,35,"May 7, 1966",Retired
Centre-Back,right,"Jul 14, 1998",Marcel Desailly,"1,88m",3154,"['France', 'Ghana']",AC Milan,32,"Sep 7, 1968",Retired
Centre-Back,left,"Jul 1, 2000",Winston Bogarde,"1,88m",3155,"['Netherlands', 'Suriname']",: Ablöse free transfer,30,"Oct 22, 1970",Retired
Centre-Back,right,"Jan 1, 2001",Pierre Issa,"1,95m",28950,"['South Africa', 'France']",: Ablöse free transfer,25,"Sep 11, 1975",Retired
Centre-Back,right,"Jan 1, 2000",John Terry,"1,87m",3160,['England'],: Ablöse -,20,"Dec 7, 1980",Retired
Centre-Back,both,"Dec 23, 1999",Émerson Thome,"1,88m",3643,"['Brazil', 'Portugal']",: Ablöse €4.00m,29,"Mar 30, 1972",Retired
Left-Back,left,"Jun 20, 1997",Celestine Babayaro,"1,75m",3153,"['Nigeria', 'England']",: Ablöse €3.50m,22,"Aug 29, 1978",Retired
Left-Back,left,"Aug 8, 1997",Graeme Le Saux,"1,78m",3157,"['England', 'Jersey']",Blackburn Rovers,32,"Oct 17, 1968",Retired
Left-Back,left,"Nov 1, 2000",Jon Harley,"1,78m",4014,['England'],: Ablöse free transfer,21,"Sep 26, 1979",Retired
Right-Back,both,"Aug 10, 2000",Christian Panucci,"1,84m",5940,['Italy'],: Ablöse free transfer,28,"Apr 12, 1973",Retired
Right-Back,right,"Jul 1, 1999",Mario Melchiot,"1,87m",3158,"['Netherlands', 'Suriname']",: Ablöse free transfer,24,"Nov 4, 1976",Retired
Right-Back,,"Jul 1, 1998",Albert Ferrer,,3152,['Spain'],: Ablöse €4.30m,31,"Jun 6, 1970",Retired
Defensive Midfield,both,"Oct 1, 2000",Slavisa Jokanovic,"1,91m",79065,"['Serbia', 'Spain']",Deportivo de La Coruña,32,"Aug 16, 1968",Retired
Defensive Midfield,right,"Jul 3, 1990",Dennis Wise,"1,68m",4006,['England'],: Ablöse €2.40m,34,"Dec 16, 1966",Retired
Midfielder,,"Jul 1, 1999",Danny Slatter,,69784,['Wales'],: Ablöse -,20,"Oct 15, 1980",Without Club
Central Midfield,right,"Jul 1, 1998",Robert Wolleaston,"1,80m",3174,['England'],: Ablöse -,21,"Dec 21, 1979",Retired
Central Midfield,right,"Jul 1, 1996",Roberto Di Matteo,"1,80m",103679,"['Italy', 'Switzerland']",SS Lazio,31,"May 29, 1970",Retired
Central Midfield,right,"Jul 1, 1995",Jody Morris,"1,65m",3171,['England'],: Ablöse -,22,"Dec 22, 1978",Retired
Central Midfield,right,"Jul 1, 1999",Samuele Dalla Bona,"1,85m",4291,['Italy'],: Ablöse -,20,"Feb 6, 1981",Retired
Right Midfield,right,"Jul 1, 2000",Neil Barrett,"1,90m",9205,['England'],: Ablöse -,19,"Dec 24, 1981",Retired
Left Midfield,left,"Jul 1, 1999",Gabriele Ambrosetti,"1,80m",3167,['Italy'],: Ablöse €4.89m,27,"Aug 7, 1973",Retired
