position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,"Jul 1, 1999",Dean Kiely,"1,85m",3748,"['Ireland', 'England']",Bury FC,31,"Oct 10, 1970",Retired
Goalkeeper,right,"Oct 23, 1997",Sasa Ilic,"1,93m",4138,"['Serbia', 'Australia']",Unknown,29,"Jul 18, 1972",Retired
Goalkeeper,,"Jul 1, 2000",Ben Roberts,"1,85m",4099,['England'],: Ablöse free transfer,27,"Jun 22, 1975",Retired
Centre-Back,right,"Jul 3, 1990",Steve Brown,"1,85m",13401,['England'],Charlton Athletic U18,30,"May 13, 1972",Retired
Centre-Back,right,"Nov 8, 2000",Mark Fish,"1,87m",3087,['South Africa'],: Ablöse €1.55m,28,"Mar 14, 1974",Retired
Centre-Back,,"Jul 1, 1995",Richard Rufus,"1,85m",4101,['England'],Charlton Athletic U18,27,"Jan 12, 1975",Retired
Centre-Back,right,"Jul 1, 1999",Andy Todd,"1,78m",3103,['England'],: Ablöse €1.50m,27,"Sep 21, 1974",Retired
Centre-Back,,"Mar 26, 1998",Eddie Youds,"1,85m",223443,['England'],Bradford City,32,"May 3, 1970",Retired
Centre-Back,right,"Aug 31, 2010",Jonathan Fortune,"1,88m",4103,['England'],Sheffield United,21,"Aug 23, 1980",Retired
Centre-Back,right,"Dec 1, 2001",Jorge Costa,"1,88m",9810,['Portugal'],: Ablöse ?,30,"Oct 14, 1971",Retired
Centre-Back,right,"Jul 1, 1999",Danny Shittu,"1,91m",13736,['Nigeria'],Charlton Athletic U18,21,"Sep 2, 1980",Retired
Left-Back,left,"Jul 1, 2007",Chris Powell,"1,78m",4100,"['England', 'Jamaica']",Watford FC,32,"Sep 8, 1969",Retired
Left-Back,left,"Jul 1, 1998",Paul Konchesky,"1,78m",3296,['England'],Charlton Athletic U18,21,"May 15, 1981",Retired
Right-Back,right,"Jul 1, 1999",Greg Shields,"1,75m",12723,['Scotland'],Dunfermline Athletic FC,25,"Aug 21, 1976",Retired
Right-Back,right,"Jul 1, 2001",Luke Young,"1,83m",3271,['England'],: Ablöse €6.00m,22,"Jul 19, 1979",Retired
Defensive Midfield,right,"Jul 1, 2000",Radostin Kishishev,"1,80m",3001,['Bulgaria'],: Ablöse €4.50m,27,"Jul 30, 1974",Retired
Defensive Midfield,,"Jul 1, 1996",Mark Kinsella,,4064,['Ireland'],Colchester United,29,"Aug 12, 1972",Retired
Central Midfield,right,"Aug 1, 1997",Scott Parker,"1,80m",3785,['England'],Charlton Athletic U18,21,"Oct 13, 1980",Retired
Central Midfield,right,"Aug 7, 2001",Gavin Peacock,"1,73m",175582,['England'],: Ablöse free transfer,34,"Nov 18, 1967",Retired
Right Midfield,right,"Jul 1, 1993",Shaun Newton,"1,74m",9171,['England'],Charlton Athletic U18,26,"Aug 20, 1975",Retired
Left Midfield,left,"Jan 1, 2002",John Salako,"1,75m",13423,"['England', 'Nigeria']",Reading FC,33,"Feb 11, 1969",Retired
Attacking Midfield,right,"Jan 1, 2002",Chris Bart-Williams,"1,80m",3293,"['England', 'Sierra Leone']",: Ablöse free transfer,28,"Jun 16, 1974",---
Attacking Midfield,right,"Jul 1, 2000",Claus Jensen,"1,83m",3099,['Denmark'],: Ablöse €6.00m,25,"Apr 29, 1977",Retired
Right Winger,right,"Mar 23, 1999",Graham Stuart,"1,73m",3334,['England'],Sheffield United,31,"Oct 24, 1970",Retired
Right Winger,right,"Sep 15, 1992",John Robinson,"1,78m",10428,"['Wales', 'Zimbabwe']",: Ablöse €75k,30,"Aug 29, 1971",Retired
Second Striker,,"Jul 1, 2011",Jason Euell,"1,80m",3092,"['Jamaica', 'England']",Blackpool FC,25,"Feb 6, 1977",Retired
Centre-Forward,right,"May 23, 1997",Clive Mendonca,"1,78m",223425,['England'],Grimsby Town,33,"Sep 9, 1968",Retired
Centre-Forward,,"Jan 8, 1999",Martin Pringle,"1,90m",17482,['Sweden'],: Ablöse €1.10m,31,"Nov 18, 1970",Retired
Centre-Forward,both,"Jul 1, 2000",Jonatan Johansson,"1,84m",3117,"['Finland', 'Sweden']",: Ablöse €4.30m,26,"Aug 16, 1975",Retired
Centre-Forward,right,"Jul 1, 2000",Mathias Svensson,"1,86m",3861,['Sweden'],: Ablöse €900k,27,"Sep 24, 1974",Retired
Centre-Forward,right,"Jul 1, 1996",Kevin Lisbie,"1,78m",4097,"['Jamaica', 'England']",Charlton Athletic U18,23,"Oct 17, 1978",Retired
Centre-Forward,right,"Jul 1, 1999",Charlie MacDonald,"1,75m",51351,['England'],Charlton Athletic U18,21,"Feb 13, 1981",Retired
Centre-Forward,right,"Jan 1, 2001",Shaun Bartlett,"1,88m",3089,['South Africa'],: Ablöse €3.00m,29,"Oct 31, 1972",Retired
