position,foot,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 1997",Jörgen Nielsen,"1,86m",23085,['Denmark'],Hvidovre IF,31,"May 6, 1971",Retired
Goalkeeper,right,"Jul 1, 1999",Sander Westerveld,"1,93m",3427,['Netherlands'],Vitesse Arnhem,27,"Oct 23, 1974",Retired
Goalkeeper,left,"Aug 31, 2001",Jerzy Dudek,"1,88m",3209,['Poland'],: Ablöse €7.40m,29,"Mar 23, 1973",Retired
Goalkeeper,,"Jul 1, 2000",Pegguy Arphexad,"1,90m",3282,"['France', 'Guadeloupe']",: Ablöse free transfer,29,"May 18, 1973",Retired
Goalkeeper,right,"Sep 1, 2001",Chris Kirkland,"1,98m",3219,['England'],Coventry City,21,"May 2, 1981",Retired
Centre-Back,left,"Feb 17, 1999",Djimi Traoré,"1,91m",3598,"['Mali', 'France']",: Ablöse €800k,22,"Mar 1, 1980",Retired
Centre-Back,left,"Jan 6, 1999",Frode Kippe,"1,94m",8511,['Norway'],Lillestrøm SK,24,"Jan 17, 1978",Retired
Centre-Back,right,"Jul 1, 1999",Stéphane Henchoz,"1,85m",3210,"['Switzerland', 'Germany']",Blackburn Rovers,27,"Sep 7, 1974",Retired
Centre-Back,,"Jul 1, 1999",Sami Hyypiä,,3470,['Finland'],: Ablöse €3.90m,28,"Oct 7, 1973",Retired
Centre-Back,,"Jul 1, 2000",Markus Babbel,,192,['Germany'],: Ablöse free transfer,29,"Sep 8, 1972",Retired
Centre-Back,right,"Jul 1, 1996",Jamie Carragher,"1,85m",3597,['England'],: Ablöse -,24,"Jan 28, 1978",Retired
Left-Back,,"Jul 1, 2001",John Arne Riise,,3220,['Norway'],: Ablöse €6.36m,21,"Sep 24, 1980",Avaldsnes IL
Left-Back,left,"Sep 1, 2000",Grégory Vignal,"1,80m",4755,['France'],: Ablöse €750k,20,"Jul 19, 1981",Retired
Right-Back,,"Jan 29, 2002",Abel Xavier,,3211,"['Portugal', 'Mozambique']",: Ablöse €1.20m,29,"Nov 30, 1972",Retired
Right-Back,right,"Jul 1, 1998",Vegard Heggem,"1,79m",3596,['Norway'],: Ablöse €5.20m,26,"Jul 13, 1975",Retired
Right-Back,right,"Jul 1, 2000",Stephen Wright,"1,83m",4126,['England'],: Ablöse -,22,"Feb 8, 1980",Retired
Defensive Midfield,left,"Jan 1, 2001",Daniel Sjölund,"1,78m",3957,['Finland'],: Ablöse €1.50m,19,"Apr 22, 1983",Retired
Defensive Midfield,,"Jul 17, 1999",Dietmar Hamann,,919,['Germany'],Newcastle United,28,"Aug 27, 1973",Retired
Defensive Midfield,right,"Dec 8, 2000",Igor Biscan,"1,91m",3601,['Croatia'],GNK Dinamo Zagreb,24,"May 4, 1978",Retired
Central Midfield,right,"Jan 15, 1991",Jamie Redknapp,"1,83m",3424,['England'],: Ablöse €750k,29,"Jun 25, 1973",Retired
Central Midfield,right,"Jul 1, 1997",Danny Murphy,"1,77m",3221,['England'],Crewe Alexandra,25,"Mar 18, 1977",Retired
Central Midfield,right,"Aug 1, 1998",Steven Gerrard,"1,83m",3109,['England'],: Ablöse -,22,"May 30, 1980",Retired
Central Midfield,both,"Jul 1, 2000",Gary McAllister,"1,86m",10032,['Scotland'],Coventry City,37,"Dec 25, 1964",Retired
Right Midfield,both,"Jul 1, 2001",Richie Partridge,"1,73m",3606,['Ireland'],: Ablöse -,21,"Sep 12, 1980",Retired
Left Midfield,,"Jul 1, 2000",Nick Barmby,,3222,['England'],: Ablöse €9.00m,28,"Feb 11, 1974",Retired
Attacking Midfield,right,"Jul 1, 1999",Vladimir Smicer,"1,80m",3217,['Czech Republic'],: Ablöse €6.80m,29,"May 24, 1973",Retired
Attacking Midfield,,"Jul 1, 1996",Patrik Berger,,3218,['Czech Republic'],Borussia Dortmund,28,"Nov 10, 1973",Retired
Attacking Midfield,,"Jan 4, 2001",Jari Litmanen,,4675,['Finland'],: Ablöse free transfer,31,"Feb 20, 1971",Retired
Left Winger,left,"Jul 1, 2000",Bernard Diomède,"1,70m",3920,"['France', 'Guadeloupe']",AJ Auxerre,28,"Jan 23, 1974",Retired
Centre-Forward,right,"Jan 1, 2002",Milan Baros,"1,83m",3216,['Czech Republic'],FC Banik Ostrava,20,"Oct 28, 1981",FK Vigantice
Centre-Forward,right,"Mar 10, 2000",Emile Heskey,"1,88m",3142,"['England', 'Antigua and Barbuda']",: Ablöse €16.50m,24,"Jan 11, 1978",Retired
Centre-Forward,left,"Jan 27, 2006",Robbie Fowler,"1,80m",3225,['England'],: Ablöse free transfer,27,"Apr 9, 1975",Retired
Centre-Forward,right,"Jan 1, 2002",Nicolas Anelka,"1,86m",3226,"['France', 'Martinique']",: Ablöse €1.40m,23,"Mar 14, 1979",Retired
Centre-Forward,both,"Jul 1, 1997",Michael Owen,"1,73m",1397,['England'],: Ablöse -,22,"Dec 14, 1979",Retired
