position,foot,status,joinedOn,name,height,id,nationality,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,,"Oct 1, 1999",Michael Oakes,"1,88m",4237,['England'],: Ablöse €750k,30,"Oct 30, 1973",Retired
Goalkeeper,,,"Jul 1, 1998",Matt Murray,"1,93m",4234,['England'],Wolverhampton Wanderers U18,23,"May 2, 1981",Retired
Goalkeeper,right,,"Jan 29, 2004",Paul Jones,"1,91m",3684,['Wales'],Southampton FC,37,"Apr 18, 1967",Retired
Goalkeeper,right,,"Nov 12, 2003",Andy Marshall,"1,88m",13249,['England'],Ipswich Town,29,"Apr 14, 1975",Retired
Goalkeeper,right,,"Jul 1, 2004",Carl Ikeme,"1,88m",26412,"['Nigeria', 'England']",Wolverhampton Wanderers U18,18,"Jun 8, 1986",Retired
Centre-Back,left,,"Jul 1, 2000",Joleon Lescott,"1,91m",4241,['England'],Wolverhampton Wanderers U18,21,"Aug 16, 1982",Retired
Centre-Back,right,,"Nov 17, 2000",Paul Butler,"1,91m",4278,['Ireland'],Sunderland AFC,31,"Nov 2, 1972",Retired
Centre-Back,right,,"Jul 31, 2003",Jody Craddock,"1,83m",4129,['England'],Sunderland AFC,28,"Jul 25, 1975",Retired
Centre-Back,left,,"Jul 1, 2002",Ívar Ingimarsson,"1,88m",7434,['Iceland'],: Ablöse free transfer,26,"Aug 20, 1977",Retired
Centre-Back,right,,"Jul 1, 2000",Mark Clyde,"1,88m",4279,['Northern Ireland'],Wolverhampton Wanderers U18,21,"Dec 27, 1982",Retired
Centre-Back,right,,"Jul 1, 2003",Isaac Okoronkwo,"1,83m",6176,['Nigeria'],: Ablöse free transfer,26,"May 1, 1978",Retired
Centre-Back,right,,"Jul 1, 2004",Keith Lowe,"1,88m",36928,['England'],Wolverhampton Wanderers U18,18,"Sep 13, 1985",Without Club
Left-Back,right,,"Jul 23, 2002",Denis Irwin,"1,73m",4280,['Ireland'],Manchester United,38,"Oct 31, 1965",Retired
Left-Back,left,,"Aug 1, 1997",Lee Naylor,"1,78m",4238,['England'],Wolverhampton Wanderers U18,24,"Mar 19, 1980",Retired
Left-Back,left,,"Jul 1, 2001",Mark Kennedy,"1,80m",3488,"['Ireland', 'England']",: Ablöse €3.00m,28,"May 15, 1976",Retired
Right-Back,right,,"Jul 1, 2003",Oleg Luzhnyi,"1,83m",3196,['Ukraine'],: Ablöse free transfer,35,"Aug 5, 1968",Retired
Central Midfield,right,,"Sep 1, 2001",Alex Rae,"1,77m",4239,['Scotland'],Sunderland AFC,34,"Sep 30, 1969",Retired
Central Midfield,right,,"Aug 6, 2002",Paul Ince,"1,78m",3248,"['England', 'Barbados']",: Ablöse free transfer,36,"Oct 21, 1967",Retired
Central Midfield,right,,"Jul 1, 2001",Colin Cameron,"1,73m",4240,['Scotland'],Heart of Midlothian FC,31,"Oct 23, 1972",Retired
Central Midfield,right,,"Sep 26, 1997",Keith Andrews,"1,83m",8035,"['Ireland', 'England']",Wolverhampton Wanderers U18,23,"Sep 13, 1980",Retired
Central Midfield,right,,"Aug 1, 2003",Joey Gudjónsson,"1,75m",4065,['Iceland'],Real Betis Balompié,24,"May 25, 1980",Retired
Central Midfield,right,,"Jul 1, 2000",JJ Melligan,"1,78m",8737,['Ireland'],Wolverhampton Wanderers U18,22,"Feb 11, 1982",Retired
Central Midfield,right,Knee surgery - Return unknown,"Jul 1, 2003",Sammy Clingan,"1,80m",9161,['Northern Ireland'],Wolverhampton Wanderers U18,20,"Jan 13, 1984",Retired
Right Midfield,right,,"Aug 7, 2001",Shaun Newton,"1,74m",9171,['England'],Charlton Athletic,28,"Aug 20, 1975",Retired
Left Midfield,left,,"Mar 1, 2002",Kevin Cooper,"1,73m",9162,['England'],: Ablöse €1.50m,29,"Feb 8, 1975",Retired
Left Midfield,right,,"Jul 1, 2003",Hassan Kachloul,"1,86m",4066,['Morocco'],: Ablöse free transfer,31,"Feb 19, 1973",Retired
Attacking Midfield,left,,"Jul 1, 2003",Silas,"1,78m",3981,['Portugal'],: Ablöse €2.25m,27,"Sep 1, 1976",Retired
Second Striker,right,,"Jul 1, 2003",Steffen Iversen,"1,85m",3478,['Norway'],: Ablöse free transfer,27,"Nov 10, 1976",Retired
Centre-Forward,right,,"Jan 1, 2002",Nathan Blake,"1,82m",4229,['Wales'],Blackburn Rovers,32,"Jan 27, 1972",Retired
Centre-Forward,right,,"Oct 21, 1999",George Ndah,"1,86m",9169,"['Nigeria', 'England']",Swindon Town,29,"Dec 23, 1974",Retired
Centre-Forward,right,,"Jan 1, 2002",Kenny Miller,"1,78m",4750,['Scotland'],: Ablöse €4.50m,24,"Dec 23, 1979",Retired
Centre-Forward,both,,"Jul 1, 2003",Henri Camara,"1,78m",3900,"['Senegal', 'France']",: Ablöse €2.25m,27,"May 10, 1977",Retired
Centre-Forward,,,"Dec 16, 2003",Ionel Ganea,,595,['Romania'],Bursaspor,30,"Aug 10, 1973",Retired
Centre-Forward,right,,"Jan 1, 2004",Carl Cort,"1,93m",3093,"['Guyana', 'England']",Newcastle United,26,"Nov 1, 1977",Retired
Centre-Forward,right,,"Dec 24, 2001",Dean Sturridge,"1,73m",4230,['England'],: Ablöse €1.13m,30,"Jul 26, 1973",Retired
Centre-Forward,right,,"Jan 30, 2014",Leon Clarke,"1,88m",36859,['England'],Coventry City,19,"Feb 10, 1985",Retired
