position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,"Jul 1, 2004",Petr Cech,"1,96m",5658,['Czech Republic'],€20.00m,Stade Rennais FC,23,"May 20, 1982",Retired
Goalkeeper,right,"Jul 1, 2000",Carlo Cudicini,"1,84m",3151,['Italy'],€4.00m,: Ablöse €240k,31,"Sep 6, 1973",Retired
Goalkeeper,,"Jul 1, 2003",Lenny Pidgeley,"1,93m",3181,['England'],€100k,: Ablöse -,21,"Feb 7, 1984",Retired
Goalkeeper,,,Yves Makabu-Makalambay,"1,98m",6168,"['DR Congo', 'Belgium']",€75k,,19,"Jan 31, 1986",Retired
Centre-Back,right,"Jul 27, 2004",Ricardo Carvalho,"1,82m",9828,['Portugal'],€24.50m,: Ablöse €30.00m,27,"May 18, 1978",Retired
Centre-Back,right,"Jan 1, 2000",John Terry,"1,87m",3160,['England'],€24.00m,: Ablöse -,24,"Dec 7, 1980",Retired
Centre-Back,right,"Jul 1, 2001",William Gallas,"1,82m",3156,"['France', 'Guadeloupe']",€9.50m,: Ablöse €9.30m,27,"Aug 17, 1977",Retired
Centre-Back,right,"Jan 6, 2005",Jiri Jarosik,"1,96m",15581,['Czech Republic'],€6.50m,: Ablöse €8.00m,27,"Oct 27, 1977",Retired
Centre-Back,right,"Jul 1, 2003",Robert Huth,"1,91m",2998,['Germany'],€3.50m,Chelsea FC Reserves,20,"Aug 18, 1984",Retired
Centre-Back,right,"Jul 1, 2004",Steven Watt,"1,91m",31719,['Scotland'],€50k,Chelsea FC Reserves,20,"May 1, 1985",Retired
Left-Back,left,"Jul 21, 2003",Wayne Bridge,"1,78m",3682,['England'],€9.00m,Southampton FC,24,"Aug 5, 1980",Retired
Left-Back,left,"Jun 20, 1997",Celestine Babayaro,"1,75m",3153,"['Nigeria', 'England']",€3.50m,: Ablöse €3.50m,26,"Aug 29, 1978",Retired
Right-Back,right,"Jul 1, 2004",Paulo Ferreira,"1,83m",9832,['Portugal'],€16.00m,: Ablöse €20.00m,26,"Jan 18, 1979",Retired
Right-Back,both,"Jul 1, 2003",Glen Johnson,"1,82m",3881,['England'],€7.00m,: Ablöse €8.30m,20,"Aug 23, 1984",Retired
Defensive Midfield,right,"Aug 31, 2003",Claude Makélélé,"1,74m",4182,"['France', 'DR Congo']",€12.50m,Real Madrid,32,"Feb 18, 1973",Retired
Defensive Midfield,right,"Jul 1, 2003",Aleksey Smertin,"1,74m",5379,['Russia'],€6.50m,: Ablöse €5.50m,30,"May 1, 1975",Retired
Defensive Midfield,right,"Jul 1, 2004",Nuno Morais,"1,85m",17350,"['Portugal', 'Cyprus']",€750k,FC Penafiel,21,"Jan 29, 1984",Retired
Central Midfield,right,"Jul 1, 2001",Frank Lampard,"1,84m",3163,['England'],€32.00m,: Ablöse €16.00m,27,"Jun 20, 1978",Retired
Central Midfield,right,"Jan 30, 2004",Scott Parker,"1,80m",3785,['England'],€11.00m,Charlton Athletic,24,"Oct 13, 1980",Retired
Central Midfield,right,"Jul 1, 2004",Tiago Mendes,"1,83m",8538,['Portugal'],€10.00m,SL Benfica,24,"May 2, 1981",Retired
Central Midfield,right,,Anthony Grant,"1,78m",31698,"['Jamaica', 'England']",€50k,,18,"Jun 4, 1987",Welling United
Right Midfield,left,"Jul 1, 2003",Damien Duff,"1,77m",3259,['Ireland'],€17.00m,Blackburn Rovers,26,"Mar 2, 1979",Retired
Right Midfield,right,"Jul 1, 2003",Njitap Geremi,"1,80m",3374,['Cameroon'],€8.50m,Real Madrid,26,"Dec 20, 1978",Retired
Attacking Midfield,right,"Aug 6, 2003",Joe Cole,"1,76m",3876,['England'],€9.00m,: Ablöse €9.90m,23,"Nov 8, 1981",Retired
Left Winger,right,"Aug 1, 2003",Adrian Mutu,"1,80m",5879,['Romania'],€11.00m,: Ablöse €22.70m,26,"Jan 8, 1979",Retired
Right Winger,,"Jul 1, 2004",Arjen Robben,,4360,['Netherlands'],€24.00m,: Ablöse €18.00m,21,"Jan 23, 1984",Retired
Right Winger,right,"Jul 1, 2002",Filipe Oliveira,"1,80m",3178,['Portugal'],€450k,: Ablöse -,21,"May 27, 1984",Retired
Centre-Forward,both,"Jul 25, 2014",Didier Drogba,"1,89m",3924,"[""Cote d'Ivoire"", 'France']",€31.00m,Galatasaray,27,"Mar 11, 1978",Retired
Centre-Forward,right,"Jul 1, 2004",Mateja Kežman,"1,82m",4358,['Serbia'],€13.50m,: Ablöse €7.50m,26,"Apr 12, 1979",Retired
Centre-Forward,right,"Jul 1, 2000",Eidur Gudjohnsen,"1,85m",3176,['Iceland'],€9.50m,: Ablöse €7.50m,26,"Sep 15, 1978",Retired
Centre-Forward,right,"Jul 31, 1998",Mikael Forssell,"1,84m",3127,"['Finland', 'Germany']",€7.00m,: Ablöse free transfer,24,"Mar 15, 1981",Retired
