position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,"Jul 1, 2004",Gábor Király,,342,['Hungary'],€2.75m,: Ablöse free transfer,29,"Apr 1, 1976",Retired
Goalkeeper,right,"Jul 13, 2004",Julián Speroni,"1,86m",12814,"['Argentina', 'Italy']",€1.50m,Dundee FC,26,"May 18, 1979",Retired
Goalkeeper,,"Jul 1, 2003",Lance Cronin,"1,80m",14004,['England'],€50k,: Ablöse -,19,"Sep 11, 1985",Retired
Centre-Back,left,"Aug 31, 2004",Gonzalo Sorondo,"1,90m",13488,"['Uruguay', 'Brazil']",€2.50m,: Ablöse free transfer,25,"Oct 9, 1979",Retired
Centre-Back,right,"Aug 12, 2004",Fitz Hall,"1,93m",6580,['England'],€2.00m,Southampton FC,24,"Dec 20, 1980",Retired
Centre-Back,right,"Jul 1, 2005",Darren Ward,"1,91m",13614,['England'],€1.75m,: Ablöse €1.65m,26,"Sep 13, 1978",Retired
Centre-Back,left,"Jul 1, 2001",Tony Popovic,"1,94m",14058,"['Australia', 'Croatia']",€1.00m,: Ablöse free transfer,31,"Jul 4, 1973",Retired
Centre-Back,right,"Jul 1, 2002",Darren Powell,"1,92m",14059,['England'],€350k,: Ablöse €600k,29,"Mar 10, 1976",Retired
Centre-Back,right,"Jul 11, 2004",Mark Hudson,"1,87m",3640,['England'],€200k,Fulham FC,23,"Mar 30, 1982",Retired
Left-Back,left,"Jul 1, 2002",Gary Borrowdale,"1,83m",13993,['England'],€250k,: Ablöse -,19,"Jul 16, 1985",Retired
Left-Back,left,"Dec 28, 2001",Danny Granville,"1,80m",13789,['England'],€200k,: Ablöse €750k,30,"Jan 19, 1975",Retired
Right-Back,right,"Jul 12, 2004",Emmerson Boyce,"1,80m",19641,"['Barbados', 'England']",€300k,: Ablöse free transfer,25,"Sep 24, 1979",Retired
Right-Back,right,"Jul 5, 2002",Danny Butterfield,"1,80m",13997,['England'],€150k,Grimsby Town,25,"Nov 21, 1979",Retired
Defensive Midfield,right,"Jul 1, 2001",Aki Riihilahti,"1,85m",14062,['Finland'],€1.25m,Vålerenga Fotball Elite,28,"Sep 9, 1976",Retired
Defensive Midfield,right,"Jan 22, 2008",Shaun Derry,"1,77m",14007,['England'],€750k,Leeds United,27,"Dec 6, 1977",Retired
Midfielder,right,"Sep 1, 2004",Anthony Danze,"1,83m",25526,['Australia'],€400k,: Ablöse ?,21,"Mar 15, 1984",Retired
Defensive Midfield,right,"Jul 1, 2004",Sam Togwell,"1,80m",25840,['England'],€75k,: Ablöse -,20,"Oct 14, 1984",Retired
Defensive Midfield,both,"Feb 1, 2004",Mikele Leigertwood,"1,88m",14041,"['Antigua and Barbuda', 'England']",€50k,: Ablöse €250k,22,"Nov 12, 1982",Retired
Central Midfield,right,"Jan 1, 2003",Ben Watson,"1,78m",14081,['England'],€50k,: Ablöse -,19,"Jul 9, 1985",Retired
Central Midfield,right,"Jul 1, 2004",Tom Soares,"1,83m",15910,"['England', 'Barbados']",€50k,: Ablöse -,18,"Jul 10, 1986",Without Club
Right Midfield,right,"Jan 1, 2005",Vasilios Lakis,"1,76m",9863,['Greece'],€2.50m,Without Club,28,"Sep 10, 1976",Retired
Right Midfield,right,"Jul 1, 2000",Tommy Black,"1,73m",13992,['England'],€350k,: Ablöse €750k,25,"Nov 26, 1979",Retired
Left Midfield,right,"Jul 1, 2003",Michael Hughes,"1,70m",14026,['Northern Ireland'],€600k,: Ablöse free transfer,33,"Aug 2, 1971",Retired
Left Winger,right,"Jul 1, 2002",Wayne Routledge,"1,70m",14066,"['England', 'Jamaica']",€2.25m,: Ablöse -,20,"Jan 7, 1985",Retired
Left Winger,,"Jul 1, 2005",Jobi McAnuff,,14047,"['Jamaica', 'England']",€600k,: Ablöse €800k,23,"Nov 9, 1981",Retired
Right Winger,,"Jul 1, 2004",Joonas Kolkka,,4293,['Finland'],€1.75m,Borussia Mönchengladbach,30,"Sep 28, 1974",Retired
Centre-Forward,right,"Sep 3, 2014",Andy Johnson,"1,72m",14031,['England'],€4.00m,Without Club,24,"Feb 10, 1981",Retired
Centre-Forward,right,"Jul 1, 2004",Nicola Ventola,"1,85m",5798,['Italy'],€4.00m,: Ablöse ?,27,"May 24, 1978",Retired
Centre-Forward,,"Jul 1, 2004",Sándor Torghelle,,5229,['Hungary'],€2.25m,: Ablöse €1.10m,23,"May 5, 1982",Retired
Centre-Forward,right,"Aug 13, 2004",Iván Kaviedes,"1,75m",7561,"['Ecuador', 'Spain']",€2.00m,Barcelona SC Guayaquil,27,"Oct 24, 1977",Retired
Centre-Forward,right,"Jul 1, 2003",Neil Shipperley,"1,85m",13801,['England'],€1.25m,: Ablöse free transfer,30,"Oct 30, 1974",Retired
Centre-Forward,both,"Oct 1, 2000",Dougie Freedman,"1,75m",13787,['Scotland'],€800k,: Ablöse €750k,31,"May 25, 1974",Retired
Striker,both,"Jul 1, 2004",Wayne Andrews,"1,78m",23344,['England'],€500k,Colchester United,27,"Nov 25, 1977",Retired
Centre-Forward,right,"Jul 1, 2003",Tyrone Berry,"1,73m",15905,['England'],€50k,: Ablöse -,18,"Mar 11, 1987",Three Bridges FC
Centre-Forward,right,"Jul 1, 2005",Lewis Grabban,"1,83m",35413,"['Jamaica', 'England']",,: Ablöse -,17,"Jan 12, 1988",Without Club
