position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Nov 3, 2000",Brad Friedel,"1,91m",3476,"['United States', 'England']",€2.30m,: Ablöse free transfer,35,"May 18, 1971",Retired
Goalkeeper,right,"Jan 1, 2004",Peter Enckelman,"1,88m",3719,['Finland'],€1.25m,: Ablöse €215k,29,"Mar 10, 1977",Retired
Centre-Back,right,"Sep 7, 2001",Lucas Neill,"1,85m",3826,"['Australia', 'Northern Ireland']",€3.00m,: Ablöse €1.50m,28,"Mar 9, 1978",Retired
Centre-Back,right,"Jul 1, 2006",Zurab Khizanishvili,"1,86m",9621,['Georgia'],€2.50m,: Ablöse €750k,24,"Oct 6, 1981",Retired
Centre-Back,right,"Jan 6, 2005",Ryan Nelsen,"1,85m",28878,['New Zealand'],€2.00m,: Ablöse free transfer,28,"Oct 18, 1977",Retired
Centre-Back,right,"Jul 1, 2002",Andy Todd,"1,78m",3103,['England'],€1.80m,Charlton Athletic,31,"Sep 21, 1974",Retired
Centre-Back,right,"Jan 1, 2005",Aaron Mokoena,"1,85m",4756,['South Africa'],€1.75m,: Ablöse €900k,25,"Nov 25, 1980",Retired
Centre-Back,right,"Jul 1, 2003",Lorenzo Amoruso,"1,84m",4288,['Italy'],€600k,: Ablöse €2.10m,35,"Jun 28, 1971",Retired
Left-Back,left,"Jul 7, 2004",Dominic Matteo,"1,86m",3765,"['Scotland', 'England']",€2.50m,Leeds United,32,"Apr 28, 1974",Retired
Left-Back,left,"Jul 1, 2003",Vratislav Gresko,"1,85m",71,['Slovakia'],€2.00m,: Ablöse €1.80m,28,"Jul 24, 1977",Retired
Left-Back,left,"Jan 27, 2004",Michael Gray,"1,70m",4128,['England'],€1.50m,Sunderland AFC,31,"Aug 3, 1974",Retired
Right-Back,right,"Jul 1, 2003",Steven Reid,"1,85m",7330,"['Ireland', 'England']",€3.80m,: Ablöse €3.60m,25,"Mar 10, 1981",Retired
Defensive Midfield,both,"Jan 1, 2005",Robbie Savage,"1,83m",3797,['Wales'],€4.00m,: Ablöse €4.50m,31,"Oct 18, 1974",Retired
Defensive Midfield,right,"Jul 1, 2001",Tugay Kerimoğlu,"1,76m",3703,['Türkiye'],€1.30m,: Ablöse €1.95m,35,"Aug 24, 1970",Retired
Central Midfield,left,"Aug 27, 2004",Morten Gamst Pedersen,"1,83m",22741,['Norway'],€4.50m,Tromsø IL,24,"Sep 8, 1981",Retired
Central Midfield,right,"Jan 1, 1996",Garry Flitcroft,"1,80m",3706,['England'],€1.50m,: Ablöse €5.25m,33,"Nov 6, 1972",Retired
Central Midfield,right,"Jul 1, 2003",Paul Gallagher,"1,85m",10501,['Scotland'],€1.25m,Blackburn Rovers U18,21,"Sep 8, 1984",Retired
Right Midfield,right,"Jul 10, 2003",Brett Emerton,"1,85m",4367,['Australia'],€4.50m,: Ablöse €3.00m,27,"Feb 22, 1979",Retired
Right Midfield,right,"Aug 29, 2002",David Thompson,"1,70m",4127,['England'],€2.75m,Coventry City,28,"Sep 12, 1977",Retired
Right Midfield,right,"Feb 15, 2013",David Bentley,"1,78m",3205,['England'],€2.60m,Tottenham Hotspur,21,"Aug 27, 1984",Retired
Left Midfield,,"Jul 1, 2005",Sergio Peter,,29341,['Germany'],€500k,Blackburn Rovers Reserves,19,"Oct 12, 1986",Retired
Left Winger,right,"Jul 8, 2005",Craig Bellamy,"1,73m",3297,['Wales'],€9.00m,Newcastle United,26,"Jul 13, 1979",Retired
Left Winger,right,"Jul 1, 2004",Jemal Johnson,"1,83m",34851,['United States'],€150k,Blackburn Rovers U18,21,"May 3, 1985",Retired
Second Striker,right,"Jan 31, 2006",Florent Sinama-Pongolle,"1,76m",4216,"['France', 'Réunion']",€2.00m,: Ablöse €150k,21,"Oct 20, 1984",Retired
Centre-Forward,right,"Jul 1, 2005",Shefki Kuqi,"1,88m",12398,"['Finland', 'Kosovo']",€1.75m,Ipswich Town,29,"Nov 10, 1976",Retired
Centre-Forward,,"Jul 1, 2004",Paul Dickov,,9221,['Scotland'],€1.50m,: Ablöse €225k,33,"Nov 1, 1972",Retired
Centre-Forward,right,"Jan 1, 1999",Matt Jansen,"1,80m",10502,['England'],€1.50m,: Ablöse €6.00m,28,"Oct 20, 1977",Retired
