position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Jul 1, 2005",Kelvin Davis,"1,85m",13640,['England'],€2.00m,Ipswich Town,29,"Sep 29, 1976",Retired
Goalkeeper,right,"Jul 1, 2005",Joe Murphy,"1,88m",3655,['Ireland'],€200k,: Ablöse free transfer,24,"Aug 21, 1981",Tranmere Rovers
Goalkeeper,right,"Jul 1, 2004",Ben Alnwick,"1,83m",27036,['England'],€200k,Sunderland AFC U18,19,"Jan 1, 1987",Retired
Centre-Back,right,"Jul 1, 2003",Gary Breen,"1,85m",3874,"['Ireland', 'England']",€2.20m,: Ablöse free transfer,32,"Dec 12, 1973",Retired
Centre-Back,right,"Jul 19, 2004",Steven Caldwell,"1,83m",3462,['Scotland'],€2.00m,Newcastle United,25,"Sep 12, 1980",Retired
Centre-Back,,"Aug 1, 2005",Christian Bassila,,3922,"['France', 'Congo']",€1.75m,: Ablöse free transfer,28,"Oct 5, 1977",Retired
Centre-Back,,"Jul 1, 2005",Alan Stubbs,,3472,['England'],€1.15m,: Ablöse free transfer,34,"Oct 6, 1971",Retired
Centre-Back,right,"Aug 13, 2004",Neill Collins,"1,91m",22162,['Scotland'],€800k,Dumbarton FC,22,"Sep 2, 1983",Retired
Centre-Back,right,"Jul 1, 2005",Nyron Nosworthy,"1,85m",14054,"['Jamaica', 'England']",€600k,Gillingham FC,25,"Oct 11, 1980",Retired
Centre-Back,left,"Oct 1, 2004",Danny Collins,"1,85m",26183,"['Wales', 'England']",€500k,Chester City (- 2010),25,"Aug 6, 1980",Retired
Left-Back,left,"Sep 1, 2008",George McCartney,"1,83m",3775,['Northern Ireland'],€500k,: Ablöse €5.50m,25,"Apr 29, 1981",Retired
Left-Back,left,"Jul 1, 2004",Daniel Smith,"1,75m",38099,['England'],€50k,Sunderland AFC U18,19,"Oct 5, 1986",Retired
Right-Back,right,"Aug 15, 2002",Stephen Wright,"1,83m",4126,['England'],€2.80m,: Ablöse €4.80m,26,"Feb 8, 1980",Retired
Right-Back,right,"Aug 1, 2005",Justin Hoyte,"1,78m",7335,"['Trinidad and Tobago', 'England']",€800k,: Ablöse free transfer,21,"Nov 20, 1984",Miami Beach CF
Central Midfield,left,"Jul 1, 2000",Julio Arca,"1,75m",3280,"['Argentina', 'Italy']",€3.20m,AA Argentinos Juniors,25,"Jan 31, 1981",Retired
Central Midfield,right,"Jan 31, 2006",Rory Delap,"1,83m",4112,"['Ireland', 'England']",€1.00m,Southampton FC,29,"Jul 6, 1976",Retired
Central Midfield,right,"Jul 1, 2004",Dean Whitehead,"1,83m",13683,['England'],€1.00m,: Ablöse €300k,24,"Jan 12, 1982",Retired
Central Midfield,right,"Jul 1, 2005",Tommy Miller,"1,85m",13251,"['England', 'Scotland']",€850k,Ipswich Town,27,"Jan 8, 1979",Retired
Central Midfield,right,"Apr 1, 2004",Carl Robinson,"1,78m",9210,['Wales'],€650k,: Ablöse free transfer,29,"Oct 13, 1976",Retired
Central Midfield,right,"Jan 29, 2019",Grant Leadbitter,"1,77m",13796,['England'],€450k,Middlesbrough FC,20,"Jan 7, 1986",Retired
Central Midfield,left,"Jul 1, 2005",Martin Woods,"1,75m",25389,['Scotland'],€200k,Leeds United,20,"Jan 1, 1986",Boston United
Right Midfield,right,"Jul 1, 2002",Matt Piper,"1,85m",4134,['England'],€2.80m,: Ablöse €5.25m,24,"Sep 29, 1981",Retired
Left Midfield,left,"Nov 1, 2004",Andy Welsh,"1,73m",34515,"['Scotland', 'England']",€300k,: Ablöse €20k,23,"Jan 24, 1983",Retired
Attacking Midfield,right,"Jul 1, 2004",Liam Lawrence,"1,78m",18870,"['Ireland', 'England']",€800k,Mansfield Town,24,"Dec 14, 1981",Retired
Centre-Forward,right,"Jul 1, 2005",Jon Stead,"1,91m",16107,['England'],€2.30m,Blackburn Rovers,23,"Apr 7, 1983",Retired
Centre-Forward,right,"Aug 2, 2005",Anthony Le Tallec,"1,85m",4217,['France'],€1.60m,: Ablöse free transfer,21,"Oct 3, 1984",Retired
Centre-Forward,right,"Jul 1, 2005",Andy Gray,"1,83m",13575,"['Scotland', 'England']",€1.25m,Sheffield United,28,"Nov 15, 1977",Retired
Centre-Forward,right,"Aug 6, 2004",Stephen Elliott,"1,76m",17890,['Ireland'],€1.00m,: Ablöse €190k,22,"Jan 6, 1984",Retired
Centre-Forward,right,"Jul 1, 2000",Kevin Kyle,"1,91m",4121,['Scotland'],€700k,Sunderland AFC Reserves,25,"Jun 7, 1981",Retired
Centre-Forward,right,"Jul 1, 2003",Chris Brown,"1,85m",13240,['England'],€400k,Sunderland AFC U18,21,"Dec 11, 1984",Retired
Centre-Forward,left,"Jul 1, 2005",Daryl Murphy,"1,89m",31312,['Ireland'],€300k,: Ablöse €150k,23,"Mar 15, 1983",Retired
