position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 16, 2006",Scott Carson,"1,88m",14555,['England'],€2.50m,: Ablöse free transfer,21,"Sep 3, 1985",Manchester City
Goalkeeper,left,,"Jul 1, 2005",Thomas Myhre,"1,88m",3566,['Norway'],€1.40m,Sunderland AFC,33,"Oct 16, 1973",Retired
Goalkeeper,right,,"Jul 1, 2004",Stephan Andersen,"1,88m",17880,['Denmark'],€1.00m,Akademisk Boldklub,25,"Nov 26, 1981",Vaerebro BK
Goalkeeper,right,,"Jul 1, 2005",Darren Randolph,"1,87m",51321,"['Ireland', 'United States']",€150k,Charlton Athletic U18,20,"May 12, 1987",Retired
Goalkeeper,left,,"Jul 1, 2004",Rob Elliot,"1,90m",39037,"['Ireland', 'England']",€75k,Charlton Athletic U18,21,"Apr 30, 1986",Retired
Centre-Back,right,,"Aug 30, 2006",Souleymane Diawara,"1,87m",12503,"['Senegal', 'France']",€3.30m,: Ablöse €5.40m,28,"Dec 24, 1978",Retired
Centre-Back,left,,"Aug 8, 2006",Djimi Traoré,"1,91m",3598,"['Mali', 'France']",€3.20m,: Ablöse €2.80m,27,"Mar 1, 1980",Retired
Centre-Back,right,,"Jul 1, 2004",Talal El Karkouri,"1,86m",4130,"['Morocco', 'France']",€2.20m,: Ablöse €1.50m,30,"Jul 8, 1976",Retired
Centre-Back,left,,"Jul 14, 2005",Gonzalo Sorondo,"1,90m",13488,"['Uruguay', 'Brazil']",€2.00m,: Ablöse free transfer,27,"Oct 9, 1979",Retired
Centre-Back,,,"Jul 1, 2006",Cory Gibbs,,1186,"['United States', 'Jamaica']",€1.60m,: Ablöse free transfer,27,"Jan 14, 1980",Retired
Centre-Back,right,,"Aug 31, 2010",Jonathan Fortune,"1,88m",4103,['England'],€1.00m,Sheffield United,26,"Aug 23, 1980",Retired
Centre-Back,right,,"Jan 28, 2007",Madjid Bougherra,"1,90m",38074,"['Algeria', 'France']",€900k,: Ablöse €3.79m,24,"Oct 7, 1982",Retired
Left-Back,left,,"Mar 27, 2003",Hermann Hreidarsson,"1,85m",3860,['Iceland'],€3.00m,Ipswich Town,32,"Jul 11, 1974",Retired
