position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,,"Feb 21, 1997",Mark Schwarzer,,3357,"['Australia', 'Germany']",€4.10m,Bradford City,34,"Oct 6, 1972",Retired
Goalkeeper,left,,"Jul 1, 2000",Brad Jones,"1,94m",4042,"['Australia', 'England']",€350k,Middlesbrough FC U18,25,"Mar 19, 1982",Retired
Goalkeeper,right,,"Jul 1, 2003",Ross Turnbull,"1,93m",29159,['England'],€60k,Middlesbrough FC U18,22,"Jan 4, 1985",Retired
Goalkeeper,,,"Jan 1, 2005",David Knight,"1,85m",29422,['England'],€50k,Middlesbrough FC U18,20,"Jan 15, 1987",Without Club
Centre-Back,right,,"Jul 6, 2012",Jonathan Woodgate,"1,88m",3224,['England'],€11.00m,Stoke City,27,"Jan 22, 1980",Retired
Centre-Back,right,,"Aug 1, 2006",Robert Huth,"1,91m",2998,['Germany'],€6.20m,Chelsea FC,22,"Aug 18, 1984",Retired
Centre-Back,left,,"Jul 1, 2005",Emanuel Pogatetz,"1,91m",1094,['Austria'],€5.10m,Bayer 04 Leverkusen,24,"Jan 16, 1983",Retired
Centre-Back,right,,"Oct 20, 2000",Ugo Ehiogu,"1,92m",3247,"['England', 'Nigeria']",€3.00m,: Ablöse €12.20m,34,"Nov 3, 1972",---
Centre-Back,right,,"Jan 1, 2003",Chris Riggott,"1,83m",3782,['England'],€2.60m,: Ablöse €2.23m,26,"Sep 1, 1980",Retired
Centre-Back,right,,"Mar 1, 2011",Andrew Davies,"1,90m",3869,['England'],€1.10m,Stoke City,22,"Dec 17, 1984",Retired
Centre-Back,right,,"Jul 1, 2004",Matthew Bates,"1,78m",29149,['England'],€900k,Middlesbrough FC U18,20,"Dec 10, 1986",Retired
Centre-Back,right,,"Jan 1, 2006",David Wheater,"1,96m",29199,['England'],€50k,Middlesbrough FC U18,20,"Feb 14, 1987",Retired
Centre-Back,right,,"Jul 1, 2006",Seb Hines,"1,88m",47839,"['England', 'United States']",,Middlesbrough FC U18,19,"May 29, 1988",Retired
Centre-Back,right,Hamstring injury - Return unknown,"Jul 1, 2008",Rhys Williams,"1,87m",82474,"['Australia', 'Wales']",,Middlesbrough FC Reserves,18,"Jul 14, 1988",Retired
Left-Back,left,,"Jul 1, 2005",Andrew Taylor,"1,78m",29158,['England'],€1.00m,Middlesbrough FC U18,20,"Aug 1, 1986",Retired
Right-Back,,,"Nov 1, 2006",Abel Xavier,,3211,"['Portugal', 'Mozambique']",€1.70m,Disqualification,34,"Nov 30, 1972",Retired
Right-Back,right,,"Jul 2, 2012",Stuart Parnaby,"1,78m",3866,['England'],€1.60m,: Ablöse free transfer,24,"Jul 19, 1982",Retired
Right-Back,right,,"Jul 1, 2004",Tony McMahon,"1,80m",29154,['England'],€60k,Middlesbrough FC U18,21,"Mar 24, 1986",Retired
Defensive Midfield,right,,"Aug 1, 2002",George Boateng,"1,76m",3358,"['Netherlands', 'Ghana']",€5.50m,: Ablöse €6.90m,31,"Sep 5, 1975",Retired
Defensive Midfield,right,,"Jan 1, 2006",Lee Cattermole,"1,78m",37363,['England'],€1.50m,Middlesbrough FC U18,19,"Mar 21, 1988",Retired
Central Midfield,right,,"Sep 1, 2005",Fábio Rochemback,"1,81m",7606,['Brazil'],€5.50m,FC Barcelona,25,"Dec 10, 1981",Retired
Central Midfield,left,,"Jul 26, 2006",Julio Arca,"1,75m",3280,"['Argentina', 'Italy']",€3.10m,Sunderland AFC,26,"Jan 31, 1981",Retired
Central Midfield,right,,"Jul 1, 2004",James Morrison,"1,83m",27614,"['Scotland', 'England']",€2.75m,Middlesbrough FC U18,21,"May 25, 1986",Retired
Central Midfield,right,,"Jan 1, 2008",Josh Walker,"1,80m",39930,['England'],€50k,Middlesbrough FC U18,18,"Feb 21, 1989",Retired
Right Midfield,right,,"Jul 1, 2004",Gaizka Mendieta,"1,73m",7603,['Spain'],€3.20m,: Ablöse free transfer,33,"Mar 27, 1974",Retired
Left Midfield,left,,"Jul 16, 2015",Stewart Downing,"1,80m",4063,['England'],€7.70m,: Ablöse €7.90m,22,"Jul 22, 1984",Retired
Right Winger,left,Suspended -  - cross-competition,"Jul 1, 2005",Adam Johnson,"1,82m",31579,['England'],€650k,Middlesbrough FC U18,19,"Jul 14, 1987",Retired
Second Striker,,,"Aug 1, 2006",Jason Euell,"1,80m",3092,"['Jamaica', 'England']",€2.30m,Charlton Athletic,30,"Feb 6, 1977",Retired
Centre-Forward,,,"Jul 1, 2005",Yakubu Aiyegbeni,"1,83m",8559,['Nigeria'],€12.00m,: Ablöse €9.75m,24,"Nov 22, 1982",Retired
Centre-Forward,both,,"Jul 1, 2004",Mark Viduka,"1,88m",3242,"['Australia', 'Croatia']",€5.75m,Leeds United,31,"Oct 9, 1975",Retired
Centre-Forward,right,,"Jul 1, 2002",Massimo Maccarone,"1,80m",3713,['Italy'],€3.65m,: Ablöse €9.05m,27,"Sep 6, 1979",Retired
Centre-Forward,right,,"Jul 1, 2003",Malcolm Christie,"1,84m",3790,['England'],€1.90m,: Ablöse €4.50m,28,"Apr 11, 1979",Retired
Centre-Forward,,,"Jan 1, 2007",Dong-gook Lee,,688,"['Korea, South']",€1.40m,Pohang Steelers,28,"Apr 29, 1979",Retired
Centre-Forward,right,,"Jan 31, 2014",Danny Graham,"1,83m",29152,['England'],€400k,Sunderland AFC,21,"Aug 12, 1985",Retired
Centre-Forward,right,,"Jan 1, 2006",Tom Craddock,"1,78m",39926,['England'],€100k,Middlesbrough FC U18,20,"Oct 14, 1986",Retired
