position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Apr 1, 2010",Paddy Kenny,"1,85m",13524,"['Ireland', 'England']",€1.25m,Disqualification,29,"May 17, 1978",Retired
Goalkeeper,left,"Sep 27, 2006",Paul Gerrard,"1,88m",3584,['England'],€1.06m,Without Club,34,"Jan 22, 1973",Retired
Goalkeeper,,"Jul 1, 2006",Ian Bennett,"1,83m",3299,['England'],€740k,Leeds United,35,"Oct 10, 1971",Retired
Goalkeeper,,"Jul 1, 2006",Jamie Annerson,"1,88m",44509,['England'],€50k,Sheffield United U18,19,"Jun 21, 1988",Retired
Centre-Back,right,"Jul 4, 2019",Phil Jagielka,"1,80m",13520,"['England', 'Poland']",€2.75m,Everton FC,24,"Aug 17, 1982",Retired
Centre-Back,right,"Jul 1, 2006",David Sommeil,"1,79m",3803,"['Guadeloupe', 'France']",€1.79m,: Ablöse free transfer,32,"Aug 10, 1974",Retired
Centre-Back,left,"Jan 1, 2007",Mamadou Seck,"1,92m",5724,['Senegal'],€1.50m,: Ablöse free transfer,27,"Aug 23, 1979",Retired
Centre-Back,,"Jul 1, 2003",Chris Morgan,,13533,['England'],€950k,Barnsley FC,29,"Nov 9, 1977",Retired
Centre-Back,right,"Jul 1, 2006",Claude Davis,"1,91m",14006,['Jamaica'],€770k,: Ablöse €3.50m,28,"Mar 6, 1979",Retired
Centre-Back,right,"Mar 1, 2006",Chris Lucketti,"1,83m",14045,"['England', 'Italy']",€250k,: Ablöse €450k,35,"Sep 28, 1971",Retired
Centre-Back,both,"Jul 1, 2005",Craig Short,"1,85m",3821,['England'],€220k,Blackburn Rovers,39,"Jun 25, 1968",Retired
Centre-Back,,"Jan 1, 2007",Matthew Kilgallon,"1,85m",4095,['England'],€100k,Leeds United,23,"Jan 8, 1984",Retired
Left-Back,left,"Jul 1, 2005",David Unsworth,"1,87m",3272,['England'],€2.50m,: Ablöse free transfer,33,"Oct 16, 1973",Retired
Left-Back,left,"Nov 1, 2003",Alan Wright,"1,63m",3331,['England'],€1.00m,: Ablöse free transfer,35,"Sep 28, 1971",Retired
Left-Back,left,"Jul 1, 2003",Chris Armstrong,"1,75m",13506,"['Scotland', 'England']",€800k,: Ablöse €140k,24,"Aug 5, 1982",Retired
Left-Back,left,"Jul 1, 2004",Evan Horwood,"1,83m",59842,['England'],,Sheffield United U18,21,"Mar 10, 1986",Retired
Right-Back,right,"Jan 1, 2009",Leigh Bromby,"1,83m",13400,['England'],€760k,Watford FC,27,"Jun 2, 1980",Retired
Right-Back,right,"Oct 1, 2004",Derek Geary,"1,68m",13408,['Ireland'],€670k,: Ablöse €40k,27,"Jun 19, 1980",Retired
Right-Back,right,"Jul 12, 2010",Rob Kozluk,"1,73m",13525,"['England', 'Poland']",€480k,Barnsley FC,29,"Aug 5, 1977",Retired
Right-Back,right,"Jul 1, 2005",Ben Starosta,"1,76m",38210,"['Poland', 'England']",€150k,Sheffield United U18,20,"Jan 7, 1987",Retired
Right-Back,right,"Jan 24, 2007",Ahmed Fathi,"1,75m",38168,['Egypt'],,: Ablöse €1.05m,22,"Nov 10, 1984",Retired
