position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Jul 1, 2004",Paul Robinson,"1,93m",3630,['England'],€8.40m,Leeds United,27,"Oct 15, 1979",Retired
Goalkeeper,right,"Jan 1, 2007",Ben Alnwick,"1,83m",27036,['England'],€850k,Sunderland AFC,20,"Jan 1, 1987",Retired
Goalkeeper,right,"Jul 1, 2004",Márton Fülöp,"1,98m",17879,['Hungary'],€800k,: Ablöse €750k,24,"May 3, 1983",---
Goalkeeper,right,"Jul 1, 2006",Radek Cerny,"1,87m",21010,['Czech Republic'],€580k,: Ablöse €200k,33,"Feb 18, 1974",Retired
Goalkeeper,,"Jul 1, 2001",Rob Burch,"1,88m",27814,['England'],€50k,Tottenham Hotspur U18,23,"Oct 8, 1983",Retired
Centre-Back,right,"Jul 1, 1998",Ledley King,"1,88m",3360,"['England', 'Antigua and Barbuda']",€11.80m,Tottenham Hotspur U18,26,"Oct 12, 1980",Retired
Centre-Back,right,"Jan 31, 2005",Michael Dawson,"1,89m",9988,['England'],€7.70m,: Ablöse €7.00m,23,"Nov 18, 1983",Retired
Centre-Back,right,"Jan 23, 2007",Ricardo Rocha,"1,83m",13211,['Portugal'],€4.00m,SL Benfica,28,"Oct 3, 1978",Retired
Centre-Back,left,"Jan 1, 2000",Anthony Gardner,"1,96m",4053,"['England', 'Jamaica']",€2.30m,: Ablöse €1.50m,26,"Sep 19, 1980",Retired
Centre-Back,right,"Jul 1, 2004",Calum Davenport,"1,93m",4221,['England'],€1.50m,Coventry City,24,"Jan 1, 1983",Tavistock FC
Centre-Back,left,"Aug 31, 2004",Reto Ziegler,"1,83m",9915,['Switzerland'],€1.45m,: Ablöse €1.00m,21,"Jan 16, 1986",FC Sion
Centre-Back,right,"Jul 1, 2006",Dorian Dervite,"1,92m",32029,['France'],€350k,: Ablöse €1.50m,18,"Jul 25, 1988",Retired
Centre-Back,right,"Jul 1, 2004",Leigh Mills,"1,88m",19639,['England'],€250k,Swindon Town U18,19,"Feb 8, 1988",Retired
Left-Back,both,"Aug 1, 2005",Young-pyo Lee,"1,76m",6156,"['Korea, South']",€4.30m,: Ablöse €2.00m,30,"Apr 23, 1977",Retired
Left-Back,left,"Jul 1, 2006",Benoît Assou-Ekotto,"1,78m",18310,"['Cameroon', 'France']",€4.25m,: Ablöse €5.00m,23,"Mar 24, 1984",Retired
