position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Aug 16, 2006",Rob Green,"1,91m",11680,['England'],€4.30m,: Ablöse €3.00m,27,"Jan 18, 1980",Retired
Goalkeeper,right,"Jul 1, 2005",Roy Carroll,"1,89m",3534,['Northern Ireland'],€2.40m,Manchester United,29,"Sep 30, 1977",Retired
Goalkeeper,,"Jul 1, 2004",Jimmy Walker,"1,80m",46746,['England'],€150k,: Ablöse free transfer,33,"Jul 9, 1973",Retired
Centre-Back,left,"Jan 18, 2007",Matthew Upson,"1,85m",3273,['England'],€5.75m,: Ablöse €12.60m,28,"Apr 18, 1979",Retired
Centre-Back,right,"Jul 1, 2003",Anton Ferdinand,"1,85m",3698,"['England', 'St. Lucia']",€3.80m,: Ablöse -,22,"Feb 18, 1985",Retired
Centre-Back,right,"Jan 22, 2007",Lucas Neill,"1,85m",3826,"['Australia', 'Northern Ireland']",€3.60m,Blackburn Rovers,29,"Mar 9, 1978",Retired
Centre-Back,right,"Jul 1, 2006",Jonathan Spector,"1,83m",24637,"['United States', 'Germany']",€1.75m,Manchester United,21,"Mar 1, 1986",Retired
Centre-Back,right,"Jan 1, 2007",Calum Davenport,"1,93m",4221,['England'],€1.50m,Tottenham Hotspur,24,"Jan 1, 1983",Tavistock FC
Centre-Back,right,"Jan 30, 2001",Christian Dailly,"1,83m",3799,['Scotland'],€1.40m,Blackburn Rovers,33,"Oct 23, 1973",Retired
Centre-Back,right,"Jul 5, 2005",Danny Gabbidon,"1,78m",12709,"['Wales', 'Jamaica']",€1.40m,: Ablöse €2.00m,27,"Aug 8, 1979",Retired
Centre-Back,right,"Aug 1, 2012",James Collins,"1,88m",12691,['Wales'],€500k,: Ablöse €3.20m,23,"Aug 23, 1983",Retired
Left-Back,left,"Jul 5, 2005",Paul Konchesky,"1,78m",3296,['England'],€3.70m,Charlton Athletic,26,"May 15, 1981",Retired
Left-Back,left,"Jul 1, 2012",George McCartney,"1,83m",3775,['Northern Ireland'],€1.60m,Sunderland AFC,26,"Apr 29, 1981",Retired
Right-Back,right,"Jul 1, 2006",John Paintsil,"1,78m",35235,['Ghana'],€1.60m,: Ablöse €1.50m,26,"Jun 15, 1981",Retired
Right-Back,right,"Jul 1, 2006",Tyrone Mears,"1,81m",14050,"['England', 'Sierra Leone']",€1.50m,: Ablöse €1.50m,24,"Feb 18, 1983",Retired
Defensive Midfield,right,"Aug 31, 2006",Javier Mascherano,"1,74m",19981,"['Argentina', 'Italy']",€11.80m,Sport Club Corinthians Paulista,23,"Jun 8, 1984",Retired
Defensive Midfield,right,"Jan 22, 2004",Nigel Reo-Coker,"1,75m",14060,"['England', 'Sierra Leone']",€4.30m,: Ablöse €750k,23,"May 14, 1984",Retired
Defensive Midfield,right,"Jul 1, 2003",Hayden Mullins,"1,82m",14052,['England'],€1.10m,: Ablöse free transfer,28,"Mar 27, 1979",Retired
