position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,,,"Aug 12, 2006",David James,,3646,"['England', 'Jamaica']",€3.00m,,: Ablöse €1.70m,39,"Aug 1, 1970",Retired
Goalkeeper,right,,"Jul 1, 2005",Asmir Begovic,"1,99m",33873,"['Bosnia-Herzegovina', 'Canada']",€1.50m,,: Ablöse -,23,"Jun 20, 1987",Everton FC
Goalkeeper,right,,"Aug 1, 2009",Antti Niemi,"1,86m",3101,['Finland'],€500k,,,38,"May 31, 1972",Retired
Goalkeeper,right,,"Jul 1, 2004",Jamie Ashdown,"1,90m",13397,['England'],€500k,,Reading FC,29,"Nov 30, 1980",Retired
Goalkeeper,right,,"Aug 9, 2016",Liam O'Brien,"1,88m",129015,['England'],,,: Ablöse free transfer,18,"Nov 3, 1991",Bedworth United
Centre-Back,left,,"Jul 1, 2007",Sylvain Distin,"1,92m",3356,"['France', 'Guadeloupe']",€7.50m,,: Ablöse free transfer,32,"Dec 16, 1977",Retired
Centre-Back,right,,"Aug 1, 2008",Younès Kaboul,"1,92m",27114,"['France', 'Morocco']",€5.50m,,Tottenham Hotspur,24,"Jan 4, 1986",Retired
Centre-Back,right,,"Sep 1, 2009",Tal Ben Haim,"1,83m",20714,['Israel'],€3.50m,,: Ablöse free transfer,28,"Mar 31, 1982",Retired
Centre-Back,right,,"Jul 1, 2009",Aaron Mokoena,"1,85m",4756,['South Africa'],€2.00m,,Blackburn Rovers,29,"Nov 25, 1980",Retired
Centre-Back,right,,"Sep 1, 2009",Mike Williamson,"1,94m",10642,['England'],€1.50m,,Watford FC,26,"Nov 8, 1983",Retired
Centre-Back,both,,"Jul 1, 2005",Marc Wilson,"1,88m",30456,"['Ireland', 'Northern Ireland']",€1.50m,,: Ablöse -,22,"Aug 17, 1987",Retired
Centre-Back,right,,"Nov 19, 2012",Ricardo Rocha,"1,83m",13211,['Portugal'],€1.00m,,Without Club,31,"Oct 3, 1978",Retired
