position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Jul 30, 2008",Thomas Sörensen,"1,96m",3473,['Denmark'],€4.00m,: Ablöse free transfer,34,"Jun 12, 1976",Retired
Goalkeeper,right,"Feb 1, 2010",Asmir Begovic,"1,99m",33873,"['Bosnia-Herzegovina', 'Canada']",€1.50m,: Ablöse €3.75m,23,"Jun 20, 1987",Everton FC
Goalkeeper,right,"Jul 1, 2004",Steve Simonsen,"1,87m",3583,"['England', 'Denmark']",€750k,: Ablöse free transfer,31,"Apr 3, 1979",Retired
Goalkeeper,,"Jul 1, 2008",Danzelle St Louis-Hamilton,"1,90m",85682,['England'],€50k,Stoke City U18,20,"May 7, 1990",Retired
Goalkeeper,right,,Dave Parton,"1,85m",125562,['England'],,,17,"Nov 22, 1992",Congleton Town
Centre-Back,right,"Jan 18, 2008",Ryan Shawcross,"1,91m",45861,"['England', 'Wales']",€5.50m,Manchester United Reserves,22,"Oct 4, 1987",Retired
Centre-Back,right,"Aug 1, 2009",Robert Huth,"1,91m",2998,['Germany'],€4.00m,Middlesbrough FC,25,"Aug 18, 1984",Retired
Centre-Back,left,"Sep 1, 2009",Danny Collins,"1,85m",26183,"['Wales', 'England']",€4.00m,Sunderland AFC,29,"Aug 6, 1980",Retired
Centre-Back,right,"Aug 15, 2008",Abdoulaye Faye,"1,87m",6107,"['Senegal', 'France']",€4.00m,Newcastle United,32,"Feb 26, 1978",Retired
Centre-Back,left,"Sep 2, 2008",Danny Higginbotham,"1,85m",3686,"['Gibraltar', 'England']",€3.00m,Sunderland AFC,31,"Dec 29, 1978",Retired
Centre-Back,right,"Nov 1, 2007",Leon Cort,"1,91m",36874,"['Guyana', 'England']",€1.00m,: Ablöse €1.80m,30,"Sep 11, 1979",Retired
Centre-Back,right,"Aug 1, 2008",Andrew Davies,"1,90m",3869,['England'],€1.00m,Southampton FC,25,"Dec 17, 1984",Retired
Centre-Back,right,"Aug 1, 2008",Ibrahima Sonko,"1,90m",36813,"['Senegal', 'France']",€1.00m,Reading FC,29,"Jan 22, 1981",Retired
Centre-Back,right,"Jul 1, 2007",Ryan Shotton,"1,89m",92109,['England'],€50k,Stoke City U18,21,"Sep 30, 1988",Hanley Town
Left-Back,,"Jan 3, 2008",Danny Pugh,,3546,['England'],€1.50m,: Ablöse €750k,27,"Oct 19, 1982",Retired
Left-Back,left,"Jan 1, 2006",Carl Dickinson,"1,85m",34337,['England'],€800k,Stoke City U18,23,"Mar 31, 1987",Retired
Right-Back,right,"Jul 1, 2003",Andy Wilkinson,"1,80m",13616,['England'],€2.00m,Stoke City U18,25,"Aug 6, 1984",Retired
Right-Back,right,"Jan 11, 2008",Andy Griffin,"1,73m",3579,['England'],€1.20m,: Ablöse €450k,31,"Mar 17, 1979",Retired
Defensive Midfield,right,"Jan 30, 2008",Glenn Whelan,"1,80m",12124,['Ireland'],€3.00m,: Ablöse €670k,26,"Jan 13, 1984",Retired
Defensive Midfield,right,"Dec 10, 2007",Salif Diao,"1,83m",3600,"['Senegal', 'France']",€1.50m,Without Club,33,"Feb 10, 1977",Retired
Defensive Midfield,right,"Aug 26, 2009",Diego Arismendi,"1,89m",72645,"['Uruguay', 'Italy']",€1.50m,Club Nacional,22,"Jan 25, 1988",Rampla Juniors FC
Defensive Midfield,right,"Jul 1, 2008",Amdy Faye,"1,84m",5428,"['Senegal', 'France']",€1.00m,Charlton Athletic,33,"Mar 12, 1977",Retired
Defensive Midfield,left,,Nat Wedderburn,"1,94m",46567,['England'],€100k,,19,"Jun 30, 1991",Stenhousemuir FC
Midfielder,,,Ryan Connor,,132096,['Ireland'],,,18,"Dec 13, 1991",Leek Town FC
Central Midfield,right,"Jul 1, 2009",Dean Whitehead,"1,83m",13683,['England'],€3.50m,Sunderland AFC,28,"Jan 12, 1982",Retired
Central Midfield,right,"Jan 9, 2007",Rory Delap,"1,83m",4112,"['Ireland', 'England']",€3.00m,Sunderland AFC,33,"Jul 6, 1976",Retired
Central Midfield,right,"Sep 1, 2008",Tom Soares,"1,83m",15910,"['England', 'Barbados']",€1.20m,: Ablöse €1.90m,23,"Jul 10, 1986",Without Club
Central Midfield,left,"Sep 1, 2008",Michael Tonge,"1,83m",13544,['England'],€750k,Sheffield United,27,"Apr 7, 1983",Retired
Central Midfield,right,"Jul 1, 2009",Matty Lund,"1,70m",118564,"['Northern Ireland', 'England']",€50k,Crewe Alexandra U18,19,"Nov 21, 1990",Salford City
Right Midfield,right,"Jul 1, 2009",Ben Marshall,"1,80m",118567,['England'],€50k,Crewe Alexandra U18,19,"Mar 29, 1991",AFC Darwen
Left Midfield,left,"Jan 1, 2009",Matthew Etherington,"1,78m",3788,['England'],€4.50m,: Ablöse €3.00m,28,"Aug 14, 1981",Retired
Attacking Midfield,right,"Nov 17, 2006",Liam Lawrence,"1,78m",18870,"['Ireland', 'England']",€3.00m,Sunderland AFC,28,"Dec 14, 1981",Retired
Left Winger,both,"Aug 28, 2009",Tuncay Şanlı,"1,82m",6934,['Türkiye'],€8.00m,Middlesbrough FC,28,"Jan 16, 1982",Retired
Centre-Forward,right,"Jan 13, 2009",James Beattie,"1,85m",3112,['England'],€4.00m,Sheffield United,32,"Feb 27, 1978",Retired
Centre-Forward,right,"Aug 30, 2006",Ricardo Fuller,"1,91m",14014,['Jamaica'],€3.50m,Southampton FC,30,"Oct 31, 1979",Retired
Centre-Forward,right,"Jul 1, 2005",Mamady Sidibé,"1,93m",14069,"['Mali', 'France']",€2.50m,Gillingham FC,30,"Dec 18, 1979",Retired
Centre-Forward,right,"Jul 1, 2008",Dave Kitson,"1,91m",15698,['England'],€2.50m,Reading FC,30,"Jan 21, 1980",Retired
Centre-Forward,right,"Aug 2, 2007",Richard Cresswell,"1,83m",14002,['England'],€1.70m,Leeds United,32,"Sep 20, 1977",Retired
Centre-Forward,right,"Jan 1, 2010",Louis Moult,"1,83m",125561,['England'],,Stoke City U18,18,"May 14, 1992",Dundee United FC
