position,foot,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,"Jul 4, 2005",Pepe Reina,"1,88m",7825,['Spain'],€22.00m,: Ablöse €9.80m,28,"Aug 31, 1982",Como 1907
Goalkeeper,left,"Jul 1, 2010",Brad Jones,"1,94m",4042,"['Australia', 'England']",€1.50m,Middlesbrough FC,29,"Mar 19, 1982",Retired
Goalkeeper,left,"Jul 1, 2008",Diego Cavalieri,"1,89m",53231,"['Brazil', 'Italy']",€600k,Sociedade Esportiva Palmeiras,28,"Dec 1, 1982",Retired
Goalkeeper,right,,Martin Hansen,"1,90m",45601,['Denmark'],,,21,"Jun 15, 1990",Odense Boldklub
Goalkeeper,right,"Sep 1, 2008",Péter Gulácsi,"1,90m",57071,['Hungary'],,MTK Budapest U19,21,"May 6, 1990",RB Leipzig
Centre-Back,left,"Jan 1, 2006",Daniel Agger,"1,91m",22832,['Denmark'],€11.00m,Bröndby IF,26,"Dec 12, 1984",Retired
Centre-Back,right,"Jan 11, 2008",Martin Skrtel,"1,91m",24180,['Slovakia'],€11.00m,: Ablöse €10.00m,26,"Dec 15, 1984",Hajskala Raztocno
Centre-Back,right,"Jul 1, 1996",Jamie Carragher,"1,85m",3597,['England'],€10.00m,: Ablöse -,33,"Jan 28, 1978",Retired
Centre-Back,,"Aug 20, 2009",Sotiris Kyrgiakos,,9706,['Greece'],€3.00m,: Ablöse €3.00m,31,"Jul 23, 1979",Retired
Centre-Back,left,"Jul 1, 2010",Danny Wilson,"1,87m",103819,['Scotland'],€1.50m,: Ablöse €2.75m,19,"Dec 27, 1991",Livingston FC
Centre-Back,right,,Daniel Ayala,"1,90m",78966,['Spain'],€750k,,20,"Nov 7, 1990",Potters Bar Town
Centre-Back,right,,Conor Coady,"1,85m",128901,['England'],,,18,"Feb 25, 1993",Leicester City
Centre-Back,left,"Jul 1, 2011",Jack Robinson,"1,80m",128909,['England'],,: Ablöse -,17,"Sep 1, 1993",Sheffield United
