position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 20, 2012",Paulo Gazzaniga,"1,95m",195488,"['Argentina', 'Italy']",€3.50m,,Gillingham FC,21,"Jan 2, 1992",Girona FC
Goalkeeper,right,,"Sep 22, 2012",Artur Boruc,"1,93m",15220,['Poland'],€1.50m,,Without Club,33,"Feb 20, 1980",Retired
Goalkeeper,right,,"Jul 1, 2006",Kelvin Davis,"1,85m",13640,['England'],€250k,,Sunderland AFC,36,"Sep 29, 1976",Retired
Goalkeeper,,,"Jul 1, 2008",Tommy Forecast,"1,98m",61823,['England'],€50k,,Tottenham Hotspur,26,"Oct 15, 1986",Retired
Centre-Back,right,,"Aug 30, 2012",Maya Yoshida,"1,89m",81789,['Japan'],€4.50m,,VVV-Venlo,24,"Aug 24, 1988",Los Angeles Galaxy
Centre-Back,left,,"Jan 18, 2013",Vegard Forren,"1,86m",62054,['Norway'],€4.50m,,Molde FK,25,"Feb 16, 1988",SK Træff
Centre-Back,right,,"Jan 9, 2010",José Fonte,"1,91m",33829,['Portugal'],€2.50m,,: Ablöse €1.40m,29,"Dec 22, 1983",Casa Pia AC
Centre-Back,left,,"Dec 1, 2011",Jos Hooiveld,"1,93m",4624,['Netherlands'],€1.75m,,Celtic FC,30,"Apr 22, 1983",Retired
Centre-Back,left,,"Oct 13, 2010",Danny Seaborne,"1,83m",77569,['England'],€250k,,: Ablöse €570k,26,"Mar 5, 1987",Retired
Centre-Back,right,Team captain,"Jul 1, 2013",Jack Stephens,"1,85m",163744,['England'],,,Southampton FC U21,19,"Jan 27, 1994",Southampton FC
Centre-Back,right,,"Jul 1, 2013",Calum Chambers,"1,82m",215118,['England'],,,Southampton FC U21,18,"Jan 20, 1995",Cardiff City
Left-Back,left,,"Nov 1, 2012",Luke Shaw,"1,78m",183288,['England'],€4.50m,,Southampton FC U18,17,"Jul 12, 1995",Manchester United
Left-Back,left,,"Aug 1, 2011",Danny Fox,"1,83m",31553,"['Scotland', 'England']",€2.50m,,: Ablöse €2.00m,27,"May 29, 1986",Winsford United
Right-Back,right,,"Jul 18, 2012",Nathaniel Clyne,"1,75m",85177,"['England', 'Grenada']",€5.00m,,: Ablöse €3.20m,22,"Apr 5, 1991",Crystal Palace
Right-Back,right,,"Jul 6, 2010",Frazer Richardson,"1,80m",4094,['England'],€500k,,Charlton Athletic,30,"Oct 29, 1982",Retired
Right-Back,right,,"Jul 16, 2010",Danny Butterfield,"1,80m",13997,['England'],€250k,,: Ablöse free transfer,33,"Nov 21, 1979",Retired
Defensive Midfield,right,,"Jul 1, 2008",Morgan Schneiderlin,"1,86m",56818,['France'],€3.00m,,: Ablöse €1.50m,23,"Nov 8, 1989",Retired
Defensive Midfield,right,,"Jul 7, 2011",Jack Cork,"1,85m",40613,['England'],€2.50m,,Chelsea FC Reserves,24,"Jun 25, 1989",Burnley FC U21
Defensive Midfield,right,,,Dominic Gape,"1,80m",226964,['England'],,,,18,"Sep 9, 1994",Eastleigh FC
Defensive Midfield,right,,,Andy Robinson,"1,88m",226974,['England'],,,,20,"Oct 16, 1992",Weymouth FC
Central Midfield,left,,"Aug 31, 2012",Gastón Ramírez,"1,83m",123742,['Uruguay'],€13.00m,,: Ablöse €15.20m,22,"Dec 2, 1990",CA Peñarol
Central Midfield,right,,"Jul 6, 2012",Steven Davis,"1,72m",28973,['Northern Ireland'],€4.00m,,: Ablöse €1.00m,28,"Jan 1, 1985",Retired
Central Midfield,left,,"Jan 30, 2010",Jason Puncheon,"1,73m",47995,"['England', 'Jamaica']",€2.00m,,Plymouth Argyle,27,"Jun 18, 1986",Kissos Kissonergas
Central Midfield,right,,"Jul 1, 2012",James Ward-Prowse,"1,77m",181579,['England'],€1.00m,,Southampton FC U18,18,"Nov 1, 1994",Nottingham Forest
Central Midfield,right,,"Aug 19, 2009",Dean Hammond,"1,82m",33065,['England'],€750k,,Colchester United,30,"Mar 7, 1983",Retired
Central Midfield,right,,"Sep 30, 2010",Richard Chaplow,"1,75m",9975,['England'],€500k,,: Ablöse €900k,28,"Feb 2, 1985",Retired
Central Midfield,right,,"Jul 1, 2011",Steve De Ridder,"1,78m",41818,['Belgium'],€500k,,: Ablöse ?,26,"Feb 25, 1987",KMSK Deinze
Central Midfield,right,,,Corby Moore,"1,73m",206268,['England'],,,,19,"Nov 21, 1993",Dorchester Town
Attacking Midfield,both,,"Jul 1, 2024",Adam Lallana,"1,72m",43530,['England'],€5.50m,"Joined from Brighton & Hove Albion; date: Jul 1, 2024; fee: free transfer",Brighton & Hove Albion,25,"May 10, 1988",Southampton FC
Attacking Midfield,right,,"Jan 1, 2011",Guly,"1,89m",22801,"['Brazil', 'Italy']",€1.50m,,: Ablöse €600k,31,"Dec 31, 1981",Retired
Attacking Midfield,left,,"Jul 1, 2011",Ben Reeves,"1,71m",171234,"['Northern Ireland', 'England']",,,Southampton FC Reserves,21,"Nov 19, 1991",Southampton FC U21
Right Winger,,,"Jul 1, 2011",Sam Hoskins,"1,73m",198861,['England'],,,Southampton FC U18,20,"Feb 4, 1993",Northampton Town
Right Winger,right,,"Jan 1, 2014",Lloyd Isgrove,"1,78m",226965,"['Wales', 'England']",,,Southampton FC U21,20,"Jan 12, 1993",Hume City FC
Right Winger,right,,,Jake Sinclair,"1,72m",226977,"['England', 'Jamaica']",,,,18,"Nov 29, 1994",Without Club
Centre-Forward,right,,"Jul 1, 2012",Jay Rodríguez,"1,85m",53360,"['England', 'Spain']",€6.50m,,: Ablöse €8.65m,23,"Jul 29, 1989",Burnley FC
Centre-Forward,right,,"Aug 1, 2009",Rickie Lambert,"1,87m",49655,['England'],€3.50m,,Bristol Rovers,31,"Feb 16, 1982",Retired
Centre-Forward,right,,"Jan 30, 2012",Billy Sharp,"1,75m",49542,['England'],€3.00m,,Doncaster Rovers,27,"Feb 5, 1986",Doncaster Rovers
Centre-Forward,right,,"Aug 29, 2012",Emmanuel Mayuka,"1,78m",55709,['Zambia'],€3.00m,,BSC Young Boys,22,"Nov 21, 1990",Retired
Centre-Forward,left,,"Jan 13, 2012",Tadanari Lee,"1,82m",81793,['Japan'],€1.00m,,Sanfrecce Hiroshima,27,"Dec 19, 1985",Retired
Centre-Forward,right,,"Jan 22, 2010",Lee Barnard,"1,78m",4058,['England'],€250k,,Southend United,28,"Jul 18, 1984",Retired
