position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Aug 31, 2012",Hugo Lloris,"1,88m",17965,['France'],€15.00m,: Ablöse €12.60m,26,"Dec 26, 1986",Los Angeles FC
Goalkeeper,right,,"Jul 1, 2008",Heurelho Gomes,"1,91m",19059,['Brazil'],€1.00m,: Ablöse €9.00m,32,"Feb 15, 1981",Retired
Goalkeeper,right,,"Jul 1, 2011",Brad Friedel,"1,91m",3476,"['United States', 'England']",€1.00m,: Ablöse free transfer,42,"May 18, 1971",Retired
Goalkeeper,right,,"Jan 26, 2009",Carlo Cudicini,"1,84m",3151,['Italy'],€500k,Chelsea FC,39,"Sep 6, 1973",Retired
Goalkeeper,right,,"Jul 1, 2013",Jordan Archer,"1,90m",177952,"['Scotland', 'England']",,Tottenham Hotspur U21,20,"Apr 12, 1993",Portsmouth FC
Centre-Back,left,Achilles tendon problems - Return unknown,"Jul 12, 2012",Jan Vertonghen,"1,89m",43250,['Belgium'],€19.00m,: Ablöse €12.50m,26,"Apr 24, 1987",RSC Anderlecht
Centre-Back,right,,"Jan 1, 2010",Younès Kaboul,"1,92m",27114,"['France', 'Morocco']",€13.50m,: Ablöse €5.90m,27,"Jan 4, 1986",Retired
Centre-Back,right,,"Jan 31, 2005",Michael Dawson,"1,89m",9988,['England'],€9.00m,: Ablöse €7.00m,29,"Nov 18, 1983",Retired
Centre-Back,right,,"Jul 1, 2009",Steven Caulker,"1,91m",121280,"['Sierra Leone', 'England']",€6.50m,Tottenham Hotspur U18,21,"Dec 29, 1991",Ankara Keciörengücü
Centre-Back,right,,"Aug 20, 2010",William Gallas,"1,82m",3156,"['France', 'Guadeloupe']",€1.00m,: Ablöse free transfer,35,"Aug 17, 1977",Retired
Left-Back,left,,"Jul 1, 2006",Benoît Assou-Ekotto,"1,78m",18310,"['Cameroon', 'France']",€12.50m,: Ablöse €5.00m,29,"Mar 24, 1984",Retired
Left-Back,left,,"Jul 25, 2007",Danny Rose,"1,73m",50174,"['England', 'Jamaica']",€5.00m,Leeds United U18,22,"Jul 2, 1990",Retired
Left-Back,left,,"Jan 3, 2013",Zeki Fryers,"1,85m",141655,['England'],€3.50m,: Ablöse €3.50m,20,"Sep 9, 1992",Retired
Right-Back,right,,"Jul 22, 2009",Kyle Walker,"1,78m",95424,['England'],€16.00m,Sheffield United,23,"May 28, 1990",Manchester City
Right-Back,right,,"Jul 1, 2009",Kyle Naughton,"1,81m",66219,"['England', 'Ireland']",€5.00m,Sheffield United,24,"Nov 17, 1988",Swansea City
Right-Back,right,,"Jul 1, 2008",Adam Smith,"1,74m",61841,['England'],,Tottenham Hotspur U18,22,"Apr 29, 1991",AFC Bournemouth
Defensive Midfield,right,,"Jul 1, 2005",Tom Huddlestone,"1,88m",13465,['England'],€5.50m,: Ablöse €4.70m,26,"Dec 28, 1986",Retired
Defensive Midfield,right,,"Jul 1, 2010",Jake Livermore,"1,80m",61832,['England'],€2.50m,Tottenham Hotspur Reserves,23,"Nov 14, 1989",Without Club
Defensive Midfield,,,,Kevin Stewart,"1,82m",200782,"['Jamaica', 'England']",€50k,,19,"Sep 7, 1993",Retired
