position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2014",Lukasz Fabianski,"1,90m",29692,['Poland'],€7.00m,Arsenal FC,31,"Apr 18, 1985",West Ham United
Goalkeeper,right,,"Jul 1, 2015",Kristoffer Nordfeldt,"1,90m",75890,['Sweden'],€2.50m,: Ablöse €850k,27,"Jun 23, 1989",AIK
Goalkeeper,,,"Aug 1, 2011",Gerhard Tremmel,,488,['Germany'],€500k,: Ablöse free transfer,37,"Nov 16, 1978",Retired
Goalkeeper,,,,Josh Vickers,"1,93m",242681,['England'],,,20,"Dec 1, 1995",Derby County
Centre-Back,right,,"Aug 20, 2014",Federico Fernández,"1,89m",85475,"['Argentina', 'Italy']",€9.00m,: Ablöse €10.00m,27,"Feb 21, 1989",Club Estudiantes de La Plata
Centre-Back,right,,"Jul 1, 2008",Ashley Williams,"1,83m",67355,"['Wales', 'England']",€6.50m,: Ablöse €500k,31,"Aug 23, 1984",Retired
Centre-Back,right,Ankle injury - Return unknown,"Jul 1, 2013",Jordi Amat,"1,85m",85289,"['Indonesia', 'Spain']",€3.00m,RCD Espanyol Barcelona,24,"Mar 21, 1992",Johor Darul Ta'zim
Centre-Back,right,,"Aug 17, 2012",Kyle Bartley,"1,94m",67421,"['England', 'Jamaica']",€1.00m,Arsenal FC U21,25,"May 22, 1991",West Bromwich Albion
Centre-Back,right,,"Jul 1, 2018",Joe Rodon,"1,93m",297212,['Wales'],,: Ablöse -,18,"Oct 22, 1997",Leeds United
Left-Back,left,,"Jul 1, 2010",Neil Taylor,"1,76m",67416,"['Wales', 'India']",€5.00m,Wrexham AFC,27,"Feb 7, 1989",Retired
Left-Back,left,,"Jul 1, 2015",Franck Tabanou,"1,78m",66413,['France'],€4.50m,: Ablöse €4.90m,27,"Jan 30, 1989",Without Club
Left-Back,left,,"Jul 1, 2014",Stephen Kingsley,"1,78m",184398,['Scotland'],€500k,Falkirk FC,21,"Jul 23, 1994",Heart of Midlothian FC
Right-Back,right,,"Jan 22, 2015",Kyle Naughton,"1,81m",66219,"['England', 'Ireland']",€5.50m,Tottenham Hotspur,27,"Nov 17, 1988",Swansea City
Right-Back,right,,"Jul 1, 2007",Ángel Rangel,"1,88m",66550,['Spain'],€1.50m,Terrassa FC,33,"Nov 28, 1982",Retired
Right-Back,right,,"Jul 1, 2010",Daniel Alfei,"1,80m",130216,['Wales'],,Swansea City U18,24,"Feb 23, 1992",Trefelin Boys & Girls Club
Right-Back,right,,"Jul 1, 2017",Connor Roberts,"1,75m",214666,['Wales'],,: Ablöse -,20,"Sep 23, 1995",Burnley FC
Right-Back,right,,"Jul 1, 2014",Liam Shephard,"1,78m",197910,['Wales'],,Swansea City U21,21,"Nov 22, 1994",Salford City
Defensive Midfield,right,,"Jul 5, 2016",Leroy Fer,"1,88m",63342,"['Netherlands', 'Curacao']",€8.50m,Queens Park Rangers,26,"Jan 5, 1990",Al-Nasr SC (UAE)
