position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2016",Steve Mandanda,"1,87m",23951,"['France', 'DR Congo']",€8.00m,Olympique Marseille,32,"Mar 28, 1985",Stade Rennais FC
Goalkeeper,right,,"Jan 31, 2014",Wayne Hennessey,"1,98m",45494,['Wales'],€4.00m,Wolverhampton Wanderers,30,"Jan 24, 1987",Without Club
Goalkeeper,right,,"Jul 13, 2004",Julián Speroni,"1,86m",12814,"['Argentina', 'Italy']",€250k,Dundee FC,38,"May 18, 1979",Retired
Goalkeeper,right,,"Jul 2, 2015",Kleton Perntreou,"1,91m",295073,"['Albania', 'Greece']",,Hibernian FC,22,"Jan 8, 1995",AE Larisa
Centre-Back,left,,"Aug 31, 2017",Mamadou Sakho,"1,87m",47713,"['France', 'Senegal']",€15.00m,: Ablöse €28.20m,27,"Feb 13, 1990",Torpedo Kutaisi
Centre-Back,right,,"Jul 5, 2016",James Tomkins,"1,92m",61592,['England'],€7.00m,West Ham United,28,"Mar 29, 1989",Without Club
Centre-Back,right,,"Jan 31, 2014",Scott Dann,"1,94m",62688,['England'],€5.00m,Blackburn Rovers,30,"Feb 14, 1987",Without Club
Centre-Back,left,,"Aug 31, 2012",Damien Delaney,"1,90m",36861,['Ireland'],€1.00m,Ipswich Town,35,"Jul 20, 1981",Retired
Centre-Back,right,Red card suspension -  - National League,"Jul 1, 2013",Ryan Inniss,"1,97m",183284,"['England', 'Trinidad and Tobago']",€75k,Crystal Palace U18,22,"Jun 5, 1995",Forest Green Rovers
Centre-Back,left,,,Luke Croll,"1,85m",244309,['England'],,,22,"Jan 10, 1995",Without Club
Left-Back,left,,"Jan 30, 2017",Patrick van Aanholt,"1,76m",52119,"['Netherlands', 'Curacao']",€9.00m,Sunderland AFC,26,"Aug 29, 1990",Without Club
Left-Back,left,,"Feb 1, 2015",Pape Souaré,"1,78m",125868,['Senegal'],€6.00m,: Ablöse €5.30m,27,"Jun 6, 1990",Ebbsfleet United
Left-Back,left,,"Sep 1, 2014",Zeki Fryers,"1,85m",141655,['England'],€1.50m,Tottenham Hotspur,24,"Sep 9, 1992",Retired
Right-Back,right,Team captain,"Jul 1, 2012",Joel Ward,"1,86m",92572,['England'],€5.00m,: Ablöse €650k,27,"Oct 29, 1989",Crystal Palace
Right-Back,right,,"Aug 14, 2014",Martin Kelly,"1,91m",78959,['England'],€3.00m,: Ablöse €2.00m,27,"Apr 27, 1990",Without Club
Right-Back,right,,,Ben Wynter,"1,85m",464738,['England'],,,19,"Dec 11, 1997",Woking FC
Right-Back,right,,"Jan 1, 2018",Aaron Wan-Bissaka,"1,83m",477758,"['England', 'DR Congo']",,Crystal Palace U21,19,"Nov 26, 1997",West Ham United
