position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2013",Adrián,"1,90m",71271,['Spain'],€8.00m,Real Betis Balompié,30,"Jan 3, 1987",Real Betis Balompié
Goalkeeper,right,,"Jan 15, 2020",Darren Randolph,"1,87m",51321,"['Ireland', 'United States']",€2.50m,Middlesbrough FC,30,"May 12, 1987",Retired
Goalkeeper,right,,"Jul 23, 2012",Raphael Spiegel,"1,97m",111428,['Switzerland'],€500k,: Ablöse €400k,24,"Dec 19, 1992",Without Club
Centre-Back,right,,"Aug 5, 2010",Winston Reid,"1,91m",37526,"['New Zealand', 'Denmark']",€10.00m,FC Midtjylland,28,"Jul 3, 1988",Retired
Centre-Back,left,,"Jul 10, 2015",Angelo Ogbonna,"1,91m",48002,"['Italy', 'Nigeria']",€9.00m,: Ablöse €11.00m,29,"May 23, 1988",Watford FC
Centre-Back,right,,"Jan 20, 2017",José Fonte,"1,91m",33829,['Portugal'],€7.00m,Southampton FC,33,"Dec 22, 1983",Casa Pia AC
Centre-Back,right,Fitness - Return unknown,"Jul 1, 2015",Reece Oxford,"1,90m",314295,"['England', 'Jamaica']",€5.00m,: Ablöse -,18,"Dec 16, 1998",FC Augsburg
Centre-Back,right,,"Aug 1, 2012",James Collins,"1,88m",12691,['Wales'],€2.00m,: Ablöse €3.20m,33,"Aug 23, 1983",Retired
Centre-Back,right,,"Oct 1, 2014",Reece Burke,"1,89m",264220,['England'],€1.00m,: Ablöse -,20,"Sep 2, 1996",Luton Town
Centre-Back,right,,"Jan 3, 2015",Doneil Henry,"1,88m",157907,"['Canada', 'Jamaica']",€400k,: Ablöse €1.90m,24,"Apr 20, 1993",Without Club
Left-Back,left,,"Jul 3, 2014",Aaron Cresswell,"1,70m",92571,['England'],€12.00m,Ipswich Town,27,"Dec 15, 1989",West Ham United
Left-Back,left,,"Aug 8, 2016",Arthur Masuaku,"1,79m",181380,"['DR Congo', 'France']",€7.00m,: Ablöse €7.10m,23,"Nov 7, 1993",Besiktas JK
Left-Back,left,,"Jul 1, 2015",Stephen Hendrie,"1,78m",186269,['Scotland'],€750k,Hamilton Academical FC,22,"Jan 8, 1995",Hamilton Academical FC
Left-Back,left,,,Lewis Page,"1,78m",242652,['England'],€100k,,21,"May 20, 1996",Ebbsfleet United
Right-Back,right,,"Jan 20, 2016",Sam Byram,"1,83m",236953,['England'],€4.50m,Leeds United,23,"Sep 16, 1993",Leeds United
Right-Back,right,,"Aug 31, 2016",Álvaro Arbeloa,"1,84m",28260,['Spain'],€1.50m,Real Madrid,34,"Jan 17, 1983",Retired
Right-Back,right,,"Jul 1, 2015",Sam Westley,"1,82m",258311,['England'],€50k,: Ablöse -,23,"Feb 4, 1994",Retired
Right-Back,right,,,Alex Pike,"1,80m",345960,['England'],,,20,"Feb 8, 1997",Retired
Defensive Midfield,right,,"Jul 1, 2016",Sofiane Feghouli,"1,77m",57162,"['Algeria', 'France']",€12.00m,Valencia CF,27,"Dec 26, 1989",Without Club
Defensive Midfield,right,,"Jul 1, 2014",Cheikhou Kouyaté,"1,89m",66934,"['Senegal', 'Belgium']",€12.00m,: Ablöse €7.50m,27,"Dec 21, 1989",Without Club
Defensive Midfield,right,,"Jul 1, 2016",Håvard Nordtveit,"1,88m",42234,['Norway'],€5.00m,Borussia Mönchengladbach,27,"Jun 21, 1990",Retired
Defensive Midfield,right,,"Aug 25, 2016",Edimilson Fernandes,"1,87m",247555,"['Switzerland', 'Portugal']",€5.00m,: Ablöse €6.40m,21,"Apr 15, 1996",Stade Brestois 29
Defensive Midfield,right,,"Jul 1, 2015",Josh Cullen,"1,75m",242606,"['Ireland', 'England']",€500k,: Ablöse -,21,"Apr 7, 1996",Burnley FC
Defensive Midfield,right,,"Jul 1, 2017",Declan Rice,"1,88m",357662,"['England', 'Ireland']",,West Ham United U21,18,"Jan 14, 1999",Arsenal FC
Central Midfield,right,,"Jul 1, 2015",Pedro Obiang,"1,86m",101213,"['Equatorial Guinea', 'Spain']",€9.00m,UC Sampdoria,25,"Mar 27, 1992",US Sassuolo
Central Midfield,right,,"Jan 1, 2005",Mark Noble,"1,80m",31835,"['England', 'Ireland']",€7.00m,: Ablöse -,30,"May 8, 1987",Retired
Central Midfield,left,,"Jul 1, 2014",Moses Makasi,"1,80m",242644,"['England', 'DR Congo']",,: Ablöse -,21,"Sep 22, 1995",Without Club
Central Midfield,right,,,Domingos Quina,"1,73m",391719,"['Portugal', 'Guinea-Bissau']",,,17,"Nov 18, 1999",Pafos FC
Attacking Midfield,right,muscular problems - Return unknown,"Jul 1, 2015",Dimitri Payet,"1,75m",37647,"['France', 'Réunion']",€26.00m,Olympique Marseille,30,"Mar 29, 1987",Clube de Regatas Vasco da Gama
Attacking Midfield,right,,"Jul 1, 2016",Manuel Lanzini,"1,70m",135853,"['Argentina', 'Italy']",€15.00m,Al-Jazira Club,24,"Feb 15, 1993",CA River Plate
Attacking Midfield,right,,,Marcus Browne,"1,78m",391470,['England'],€250k,,19,"Dec 18, 1997",Without Club
Attacking Midfield,left,,,Dan Kemp,"1,68m",396857,['England'],,,18,"Jan 11, 1999",Stevenage FC
Left Winger,left,,"Aug 8, 2016",André Ayew,"1,75m",45403,"['Ghana', 'France']",€18.00m,: Ablöse €24.10m,27,"Dec 17, 1989",Le Havre AC
Left Winger,right,,,Nathan Holland,"1,76m",337321,"['England', 'Barbados']",,,19,"Jun 19, 1998",Without Club
Right Winger,left,,"Jul 11, 2016",Gökhan Töre,"1,76m",82130,"['Türkiye', 'Germany']",€12.00m,Besiktas JK,25,"Jan 20, 1992",Without Club
Right Winger,left,,"Jan 27, 2017",Robert Snodgrass,"1,82m",22614,['Scotland'],€8.00m,: Ablöse €12.00m,29,"Sep 7, 1987",Retired
Right Winger,left,,"Jul 1, 2018",Grady Diangana,"1,80m",342048,"['DR Congo', 'England']",,West Ham United U21,19,"Apr 19, 1998",West Bromwich Albion
Centre-Forward,right,,"Sep 1, 2015",Michail Antonio,"1,80m",104124,"['Jamaica', 'England']",€18.00m,: Ablöse €9.50m,27,"Mar 28, 1990",West Ham United
Centre-Forward,left,,"Aug 28, 2016",Simone Zaza,"1,86m",96828,['Italy'],€15.00m,: Ablöse €5.00m,26,"Jun 25, 1991",Without Club
Centre-Forward,right,,"Jul 17, 2014",Enner Valencia,"1,78m",139503,['Ecuador'],€10.00m,: Ablöse €15.00m,27,"Nov 4, 1989",Sport Club Internacional
Centre-Forward,left,,"Jul 1, 2013",Andy Carroll,"1,94m",48066,['England'],€10.00m,: Ablöse €17.50m,28,"Jan 6, 1989",FC Girondins Bordeaux
Centre-Forward,right,,"Aug 14, 2014",Diafra Sakho,"1,83m",120610,"['Senegal', 'France']",€10.00m,: Ablöse €5.00m,27,"Dec 24, 1989",Retired
Centre-Forward,right,,"Aug 11, 2016",Jonathan Calleri,"1,81m",284727,"['Argentina', 'Italy']",€8.00m,Club Deportivo Maldonado,23,"Sep 23, 1993",São Paulo Futebol Clube
Centre-Forward,right,,"Jul 12, 2016",Ashley Fletcher,"1,85m",289846,['England'],€1.00m,Manchester United U23,21,"Oct 2, 1995",Blackpool FC
