position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Aug 31, 2012",Hugo Lloris,"1,88m",17965,['France'],€25.00m,,: Ablöse €12.60m,31,"Dec 26, 1986",Los Angeles FC
Goalkeeper,right,,"Oct 14, 2019",Michel Vorm,"1,83m",26276,"['Netherlands', 'Suriname']",€2.50m,,Without Club,34,"Oct 20, 1983",Retired
Goalkeeper,right,,"Aug 23, 2017",Paulo Gazzaniga,"1,95m",195488,"['Argentina', 'Italy']",€1.00m,,Southampton FC,26,"Jan 2, 1992",Girona FC
Goalkeeper,right,,"Jul 1, 2019",Alfie Whiteman,"1,88m",282823,['England'],,,Tottenham Hotspur U23,19,"Oct 2, 1998",Tottenham Hotspur
Centre-Back,right,,"Jul 8, 2015",Toby Alderweireld,"1,87m",42710,['Belgium'],€40.00m,,: Ablöse €16.00m,29,"Mar 2, 1989",Royal Antwerp FC
Centre-Back,right,"Yellow card suspension - until Nov 24, 2024 - Süper Lig - 1 matchday","Aug 23, 2017",Davinson Sánchez,"1,87m",341429,['Colombia'],€40.00m,,Ajax Amsterdam,22,"Jun 12, 1996",Galatasaray
Centre-Back,right,,"Jul 31, 2014",Eric Dier,"1,91m",175722,"['England', 'Portugal']",€40.00m,"Returned after loan spell with Bayern Munich; date: Jun 30, 2024; fee: End of loan",Sporting CP,24,"Jan 15, 1994",Bayern Munich
Centre-Back,left,Achilles tendon problems - Return unknown,"Jul 12, 2012",Jan Vertonghen,"1,89m",43250,['Belgium'],€32.00m,,: Ablöse €12.50m,31,"Apr 24, 1987",RSC Anderlecht
Centre-Back,left,,"Jul 23, 2014",Ben Davies,"1,81m",192765,['Wales'],€25.00m,,: Ablöse €12.65m,25,"Apr 24, 1993",Tottenham Hotspur
Centre-Back,left,,"Jul 1, 2015",Kevin Wimmer,"1,87m",122675,['Austria'],€10.00m,,1.FC Köln,25,"Nov 15, 1992",Slovan Bratislava
Centre-Back,right,,"Jul 1, 2016",Cameron Carter-Vickers,"1,83m",341049,"['United States', 'England']",€1.00m,,Tottenham Hotspur U23,20,"Dec 31, 1997",Celtic FC
Left-Back,left,,"Jul 25, 2007",Danny Rose,"1,73m",50174,"['England', 'Jamaica']",€30.00m,,Leeds United U18,27,"Jul 2, 1990",Retired
Right-Back,right,Hamstring injury - Return unknown,"Jul 1, 2015",Kieran Trippier,"1,73m",95810,['England'],€20.00m,,: Ablöse €4.90m,27,"Sep 19, 1990",Newcastle United
Right-Back,right,,"Aug 31, 2017",Serge Aurier,"1,76m",127032,"[""Cote d'Ivoire""]",€20.00m,,: Ablöse €25.00m,25,"Dec 24, 1992",Without Club
Right-Back,right,,"Aug 30, 2017",Juan Foyth,"1,87m",480763,"['Argentina', 'Spain']",€5.00m,,Club Estudiantes de La Plata,20,"Jan 12, 1998",Villarreal CF
Right-Back,right,,"Jul 1, 2017",Kyle Walker-Peters,"1,73m",341051,"['England', 'Jamaica']",€3.00m,,Tottenham Hotspur U23,21,"Apr 13, 1997",Southampton FC
Defensive Midfield,right,,"Jul 1, 2016",Victor Wanyama,"1,84m",77760,['Kenya'],€30.00m,,Southampton FC,27,"Jun 25, 1991",CF Montréal
Defensive Midfield,right,,"Jul 1, 2016",Harry Winks,"1,78m",249126,['England'],€15.00m,,Tottenham Hotspur U23,22,"Feb 2, 1996",Leicester City
