position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2017",Mathew Ryan,"1,84m",128969,"['Australia', 'Scotland']",€10.00m,Valencia CF,27,"Apr 8, 1992",AS Roma
Goalkeeper,right,,"Jul 16, 2018",David Button,"1,91m",61814,['England'],€1.50m,Fulham FC,30,"Feb 27, 1989",Reading FC
Goalkeeper,left,,"Jul 1, 2014",Christian Walton,"1,95m",208379,['England'],€1.00m,Brighton & Hove Albion U18,23,"Nov 9, 1995",Ipswich Town
Goalkeeper,right,,"Jul 1, 2018",Jason Steele,"1,88m",73564,['England'],€750k,Sunderland AFC,28,"Aug 18, 1990",Brighton & Hove Albion
Goalkeeper,right,,"Jul 1, 2020",Robert Sánchez,"1,97m",403151,"['Spain', 'England']",,Brighton & Hove Albion U23,21,"Nov 18, 1997",Chelsea FC
Centre-Back,right,,"Aug 26, 2016",Shane Duffy,"1,93m",119269,"['Ireland', 'Northern Ireland']",€12.00m,Blackburn Rovers,27,"Jan 1, 1992",Norwich City
Centre-Back,right,Team captain,"Apr 30, 2010",Lewis Dunk,"1,92m",148153,['England'],€12.00m,: Ablöse -,27,"Nov 21, 1991",Brighton & Hove Albion
Centre-Back,left,"Yellow card suspension - until Nov 26, 2024 - Premier League - 1 matchday","Aug 9, 2018",Dan Burn,"2,01m",134270,['England'],€3.00m,Wigan Athletic,27,"May 9, 1992",Newcastle United
Centre-Back,right,,"Jul 1, 2018",Leon Balogun,"1,90m",56100,"['Nigeria', 'Germany']",€2.00m,: Ablöse free transfer,31,"Jun 28, 1988",Rangers FC
Centre-Back,right,,"Aug 8, 2018",Leo Østigård,"1,83m",367284,['Norway'],€150k,Molde FK,19,"Nov 28, 1999",Stade Rennais FC
Centre-Back,right,,,Ben Barclay,"1,87m",335593,['England'],,,22,"Oct 7, 1996",Carlisle United
Left-Back,left,Knee injury - Return unknown,"Jul 5, 2018",Bernardo,"1,86m",364258,['Brazil'],€9.00m,: Ablöse €10.00m,24,"May 14, 1995",VfL Bochum
Left-Back,left,,"Jul 2, 2015",Gaëtan Bong,"1,83m",36291,"['Cameroon', 'France']",€2.00m,Wigan Athletic,31,"Apr 25, 1988",Retired
Left-Back,left,,"Jul 13, 2017",Markus Suttner,"1,79m",31514,['Austria'],€1.50m,FC Ingolstadt 04,32,"Apr 16, 1987",ASV 13
Right-Back,right,,"Aug 9, 2018",Martín Montoya,"1,75m",68645,['Spain'],€8.00m,Valencia CF,28,"Apr 14, 1991",Aris Thessaloniki
Right-Back,right,,"Jul 1, 2012",Bruno Saltor,"1,80m",51528,['Spain'],€750k,Valencia CF,38,"Oct 1, 1980",Retired
Right-Back,right,,"Jul 1, 2018",Ben White,"1,86m",335721,['England'],,Brighton & Hove Albion U23,21,"Oct 8, 1997",Arsenal FC
Defensive Midfield,right,,"Jul 17, 2018",Yves Bissouma,"1,82m",410425,"['Mali', ""Cote d'Ivoire""]",€15.00m,LOSC Lille,22,"Aug 30, 1996",Tottenham Hotspur
Defensive Midfield,right,,"Jan 31, 2019",Tudor Băluță,"1,92m",433976,['Romania'],€4.50m,: Ablöse €2.90m,20,"Mar 27, 1999",Slask Wroclaw
