position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 8, 2018",Kepa Arrizabalaga,"1,88m",192279,['Spain'],€60.00m,Athletic Bilbao,24,"Oct 3, 1994",AFC Bournemouth
Goalkeeper,right,,"Jul 1, 2017",Willy Caballero,"1,86m",19948,"['Argentina', 'Spain']",€1.00m,Manchester City,37,"Sep 28, 1981",Retired
Goalkeeper,right,,"Aug 25, 2016",Eduardo,"1,88m",34159,['Portugal'],€750k,GNK Dinamo Zagreb,36,"Sep 19, 1982",Retired
Goalkeeper,right,,"Jul 1, 2014",Jamal Blackman,"1,99m",128898,"['England', 'Barbados']",€500k,Chelsea FC U21,25,"Oct 27, 1993",Without Club
Goalkeeper,right,,"Jul 26, 2018",Rob Green,"1,91m",11680,['England'],€250k,: Ablöse free transfer,39,"Jan 18, 1980",Retired
Goalkeeper,right,,,Jamie Cumming,"1,85m",396859,['England'],,,19,"Sep 4, 1999",Oxford United
Goalkeeper,right,,,Marcin Bulka,"1,99m",465955,['Poland'],,,19,"Oct 4, 1999",OGC Nice
Centre-Back,right,,"Jul 9, 2017",Antonio Rüdiger,"1,90m",86202,"['Germany', 'Sierra Leone']",€50.00m,AS Roma,26,"Mar 3, 1993",Real Madrid
Centre-Back,right,,"Aug 24, 2012",César Azpilicueta,"1,78m",57500,['Spain'],€35.00m,Olympique Marseille,29,"Aug 28, 1989",Atlético de Madrid
Centre-Back,right,"Achilles tendon irritation - Return expected on Jan 1, 2025","Jul 1, 2015",Andreas Christensen,"1,87m",196948,['Denmark'],€30.00m,Chelsea FC U21,23,"Apr 10, 1996",FC Barcelona
Centre-Back,right,,"Jan 31, 2014",Kurt Zouma,"1,90m",157509,"['France', 'Central African Republic']",€25.00m,: Ablöse €14.60m,24,"Oct 27, 1994",Al-Orobah FC
