position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 1, 2019",Tom Heaton,"1,88m",34130,['England'],€4.80m,,: Ablöse €8.80m,34,"Apr 15, 1986",Manchester United
Goalkeeper,left,,"Jan 1, 2019",Lovre Kalinic,"2,01m",46405,['Croatia'],€2.80m,,: Ablöse €6.00m,30,"Apr 3, 1990",HNK Hajduk Split
Goalkeeper,left,,"Jul 1, 2013",Jed Steer,"1,83m",110867,"['England', 'Scotland']",€1.20m,,: Ablöse €540k,27,"Sep 23, 1992",Peterborough United
Goalkeeper,right,Torn lateral knee ligament - Return unknown,"Aug 7, 2018",Ørjan Nyland,"1,92m",73517,['Norway'],€1.20m,,FC Ingolstadt 04,29,"Sep 10, 1990",Sevilla FC
Goalkeeper,right,,"Jan 13, 2020",Pepe Reina,"1,88m",7825,['Spain'],€650k,,AC Milan,37,"Aug 31, 1982",Como 1907
Goalkeeper,right,,,Matija Sarkic,,293257,"['Montenegro', 'England']",€100k,,,22,"Jul 23, 1997",---
Centre-Back,left,Cruciate ligament tear - Return unknown,"Jul 8, 2019",Tyrone Mings,"1,96m",253677,['England'],€22.50m,,AFC Bournemouth,27,"Mar 13, 1993",Aston Villa
Centre-Back,right,Achilles heel problems - Return unknown,"Jul 16, 2019",Björn Engels,"1,95m",193469,['Belgium'],€9.50m,,: Ablöse €8.00m,25,"Sep 15, 1994",Royal Antwerp FC
Centre-Back,right,,"Jul 11, 2019",Ezri Konsa,"1,83m",413403,"['England', 'DR Congo']",€6.50m,,Brentford FC,22,"Oct 23, 1997",Aston Villa
Centre-Back,left,"No eligibility - until Jan 31, 2025 - UEFA Champions League; Knee surgery - Return unknown","Jul 1, 2019",Kortney Hause,"1,91m",233124,"['England', 'Bermuda']",€6.50m,,Wolverhampton Wanderers,24,"Jul 16, 1995",Aston Villa
Centre-Back,right,,"Aug 12, 2016",James Chester,"1,77m",73482,"['Wales', 'England']",€2.40m,,West Bromwich Albion,31,"Jan 23, 1989",Salford City
Left-Back,left,,"Jul 1, 2019",Matt Targett,"1,83m",250478,"['England', 'Scotland']",€10.50m,,Southampton FC,24,"Sep 18, 1995",Newcastle United
Left-Back,left,,"Jan 31, 2017",Neil Taylor,"1,76m",67416,"['Wales', 'India']",€2.80m,,: Ablöse ?,31,"Feb 7, 1989",Retired
Right-Back,right,,"Jan 31, 2019",Frédéric Guilbert,"1,78m",354352,['France'],€7.00m,,SM Caen,25,"Dec 24, 1994",US Lecce
Right-Back,right,,"Jul 19, 2017",Ahmed El Mohamady,"1,82m",66333,['Egypt'],€2.00m,,: Ablöse €1.10m,32,"Sep 9, 1987",Retired
Right-Back,right,,"Jan 25, 2017",James Bree,,324223,['England'],€1.20m,,Barnsley FC,22,"Dec 11, 1997",Southampton FC
Right-Back,right,,"Jan 15, 2024",Kaine Kesler-Hayden,"1,75m",626888,['England'],,,: Ablöse -,17,"Oct 23, 2002",Preston North End
Defensive Midfield,left,,"Aug 1, 2019",Marvelous Nakamba,"1,77m",324882,['Zimbabwe'],€8.00m,,Club Brugge KV,26,"Jan 19, 1994",Luton Town
