position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2017",Jordan Pickford,"1,85m",130164,['England'],€28.00m,Sunderland AFC,26,"Mar 7, 1994",Everton FC
Goalkeeper,right,,"Jul 1, 2019",Jonas Lössl,"1,95m",48870,['Denmark'],€3.20m,Huddersfield Town,31,"Feb 1, 1989",FC Midtjylland
Goalkeeper,right,,"Jul 1, 2016",Maarten Stekelenburg,"1,97m",4311,['Netherlands'],€550k,Fulham FC,37,"Sep 22, 1982",Retired
Goalkeeper,left,,"Jul 1, 2020",João Virgínia,"1,92m",329813,['Portugal'],€150k,Everton FC U23,20,"Oct 10, 1999",Everton FC
Centre-Back,right,,"Jul 3, 2017",Michael Keane,"1,88m",118534,"['England', 'Ireland']",€20.00m,: Ablöse €28.50m,27,"Jan 11, 1993",Everton FC
Centre-Back,right,,"Aug 9, 2018",Yerry Mina,"1,95m",289446,['Colombia'],€20.00m,FC Barcelona,25,"Sep 23, 1994",Cagliari Calcio
Centre-Back,right,,"Aug 13, 2015",Mason Holgate,"1,87m",348623,"['Jamaica', 'England']",€13.50m,Barnsley FC,23,"Oct 22, 1996",West Bromwich Albion
Centre-Back,right,,"Jul 17, 2017",Cuco Martina,"1,85m",91251,"['Curacao', 'Netherlands']",€1.20m,Southampton FC,30,"Sep 25, 1989",Without Club
Centre-Back,left,,,Lewis Gibson,"1,85m",419325,['England'],,,19,"Jul 19, 2000",Plymouth Argyle
Centre-Back,left,,"Jan 13, 2020",Jarrad Branthwaite,"1,95m",661053,['England'],,Carlisle United,18,"Jun 27, 2002",Everton FC
Left-Back,left,,"Aug 1, 2018",Lucas Digne,"1,78m",126664,['France'],€28.00m,FC Barcelona,26,"Jul 20, 1993",Aston Villa
Left-Back,left,,"Aug 7, 2007",Leighton Baines,"1,70m",13507,['England'],€1.60m,Wigan Athletic,35,"Dec 11, 1984",Retired
Left-Back,left,,"Jul 1, 2011",Luke Garbutt,"1,80m",110860,['England'],€600k,: Ablöse -,27,"May 21, 1993",Salford City
Right-Back,right,,"Aug 7, 2019",Djibril Sidibé,"1,83m",161869,"['France', 'Mali']",€9.50m,: Ablöse €2.50m,27,"Jul 29, 1992",FC Toulouse
Right-Back,right,Team captain,"Jan 1, 2009",Séamus Coleman,"1,77m",68390,['Ireland'],€9.50m,Sligo Rovers,31,"Oct 11, 1988",Everton FC
Defensive Midfield,right,,"Aug 2, 2019",Jean-Philippe Gbamin,"1,86m",182894,"[""Cote d'Ivoire"", 'France']",€22.50m,1.FSV Mainz 05,24,"Sep 25, 1995",FC Nantes
Defensive Midfield,right,,"Jan 12, 2017",Morgan Schneiderlin,"1,86m",56818,['France'],€9.50m,Manchester United,30,"Nov 8, 1989",Retired
Defensive Midfield,right,,"Jul 28, 2014",Muhamed Besic,"1,80m",93905,"['Bosnia-Herzegovina', 'Germany']",€2.40m,: Ablöse €4.80m,27,"Sep 10, 1992",Without Club
