position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 5, 2018",Ben Foster,"1,93m",13572,['England'],€1.20m,West Bromwich Albion,37,"Apr 3, 1983",Retired
Goalkeeper,right,Cruciate ligament tear - Return unknown,"Jan 31, 2018",Pontus Dahlberg,"1,94m",365544,['Sweden'],€900k,: Ablöse €3.90m,21,"Jan 21, 1999",IFK Göteborg
Goalkeeper,right,,"Jul 1, 2014",Heurelho Gomes,"1,91m",19059,['Brazil'],€400k,Tottenham Hotspur,39,"Feb 15, 1981",Retired
Goalkeeper,right,,"Jul 1, 2017",Daniel Bachmann,"1,91m",120186,['Austria'],€400k,Stoke City U21,25,"Jul 9, 1994",Watford FC
Goalkeeper,right,,,Adam Parkes,"1,85m",412596,['England'],,,20,"Nov 30, 1999",Taunton Town
Centre-Back,right,,"Jul 1, 2016",Christian Kabasele,"1,87m",81512,"['Belgium', 'DR Congo']",€6.50m,KRC Genk,29,"Feb 24, 1991",Udinese Calcio
Centre-Back,left,,"Jul 2, 2018",Adam Masina,"1,91m",286949,"['Morocco', 'Italy']",€5.50m,: Ablöse €5.00m,26,"Jan 2, 1994",Torino FC
Centre-Back,right,,"Jul 1, 2019",Craig Dawson,"1,88m",121477,['England'],€4.80m,West Bromwich Albion,30,"May 6, 1990",Wolverhampton Wanderers
Centre-Back,right,,"Jul 1, 2014",Craig Cathcart,"1,89m",59606,['Northern Ireland'],€4.00m,Blackpool FC,31,"Feb 6, 1989",Retired
Centre-Back,right,,"Aug 30, 2016",Adrian Mariappa,"1,79m",38145,"['Jamaica', 'England']",€1.60m,Crystal Palace,33,"Oct 3, 1986",Wealdstone FC
Centre-Back,right,,"Jul 1, 2015",Sebastian Prödl,"1,94m",37981,['Austria'],€1.20m,SV Werder Bremen,33,"Jun 21, 1987",Retired
Centre-Back,right,,,Mason Barrett,"1,90m",504966,['England'],,,20,"Sep 24, 1999",Wealdstone FC
Centre-Back,,,,Bayli Spencer-Adams,,533083,"['Guyana', 'England']",,,19,"Jun 26, 2001",Without Club
Centre-Back,right,,,Andi Janjeva,"1,86m",733495,"['Kosovo', 'England']",,,17,"Oct 11, 2002",FK Partizani
