position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2018",Rui Patrício,"1,90m",45026,['Portugal'],€16.00m,,Sporting CP,32,"Feb 15, 1988",Atalanta BC
Goalkeeper,right,,"Jul 10, 2017",John Ruddy,"1,92m",29712,['England'],€2.00m,,: Ablöse free transfer,33,"Oct 24, 1986",Newcastle United
Goalkeeper,left,,"Jul 11, 2017",Will Norris,"1,95m",285033,['England'],€250k,,Cambridge United,26,"Aug 12, 1993",Portsmouth FC
Goalkeeper,right,,,Andreas Søndergaard,"1,88m",462820,['Denmark'],,,,19,"Jan 17, 2001",Hobro IK
Centre-Back,right,,"Jul 1, 2018",Willy Boly,"1,95m",142310,"[""Cote d'Ivoire"", 'France']",€14.50m,,FC Porto,29,"Feb 3, 1991",Nottingham Forest
Centre-Back,right,,"Jul 3, 2015",Conor Coady,"1,85m",128901,['England'],€14.50m,,: Ablöse €2.80m,27,"Feb 25, 1993",Leicester City
Centre-Back,right,,"Jul 27, 2019",Jesús Vallejo,"1,84m",251896,['Spain'],€6.00m,,Real Madrid,23,"Jan 5, 1997",Real Madrid
Centre-Back,right,,"Jul 1, 2017",Ryan Bennett,"1,88m",67252,['England'],€4.00m,,: Ablöse free transfer,30,"Mar 6, 1990",Retired
Centre-Back,left,"No eligibility - until Dec 31, 2024 - Qatar Stars League","Aug 30, 2016",Romain Saïss,"1,88m",204198,"['Morocco', 'France']",€4.00m,,: Ablöse €4.00m,30,"Mar 26, 1990",Al-Sadd SC
Centre-Back,left,,"Aug 9, 2018",Maximilian Kilman,"1,94m",525247,"['England', 'Ukraine']",€800k,,: Ablöse €4.75m,23,"May 23, 1997",West Ham United
Centre-Back,right,,,Dion Sanderson,"1,88m",495993,['England'],€150k,,,20,"Dec 15, 1999",Birmingham City
Centre-Back,right,,,Christian Marques,"1,88m",539807,"['Portugal', 'Switzerland']",,,,17,"Jan 15, 2003",Yverdon Sport FC
Centre-Back,left,,,Lewis Richards,"1,82m",571827,"['Ireland', 'England']",,,,18,"Oct 15, 2001",Bradford City
Left-Back,left,,"Jul 1, 2018",Rúben Vinagre,"1,74m",357158,['Portugal'],€9.00m,,: Ablöse €2.25m,21,"Apr 9, 1999",Legia Warszawa
Left-Back,left,,"Jul 1, 2018",Ryan Giles,"1,83m",504581,['England'],,,Wolverhampton Wanderers U18,20,"Jan 26, 2000",Hull City
Right-Back,right,,"Jul 20, 2023",Matt Doherty,"1,85m",171679,['Ireland'],€16.00m,,: Ablöse free transfer,28,"Jan 16, 1992",Wolverhampton Wanderers
Right-Back,both,,"Jan 31, 2019",Jonny Otto,"1,75m",175446,['Spain'],€16.00m,,: Ablöse €21.00m,26,"Mar 3, 1994",PAOK Thessaloniki
Right-Back,right,,,Luke Matheson,"1,68m",614084,"['England', 'Scotland']",€900k,,,17,"Oct 3, 2002",Bolton Wanderers
Right-Back,right,Achilles heel problems - Return unknown,"Jul 1, 2017",Phil Ofosu-Ayeh,"1,83m",133858,"['Ghana', 'Germany']",€300k,,Eintracht Braunschweig,28,"Sep 15, 1991",PSS Sleman
Right-Back,right,,"Jan 1, 2020",Oskar Buur,"1,80m",293283,['Denmark'],€100k,,Wolverhampton Wanderers U21,22,"Mar 31, 1998",Without Club
Defensive Midfield,right,,"Jul 8, 2017",Rúben Neves,"1,80m",225161,['Portugal'],€40.00m,,FC Porto,23,"Mar 13, 1997",Al-Hilal SFC
Defensive Midfield,right,Ankle injury - Return unknown,"Jul 1, 2019",Leander Dendoncker,"1,88m",168157,['Belgium'],€22.50m,,: Ablöse €13.80m,25,"Apr 15, 1995",RSC Anderlecht
Defensive Midfield,right,,"Aug 2, 2019",Bruno Jordão,"1,80m",415646,['Portugal'],€2.30m,,: Ablöse €8.90m,21,"Oct 12, 1998",Radomiak Radom
Defensive Midfield,right,,"Aug 31, 2017",Ming-Yang Yang,"1,75m",184382,"['Switzerland', 'China']",€250k,,FC Winterthur,24,"Jul 11, 1995",Nantong Zhiyun
Defensive Midfield,right,,,Flávio Cristóvão,"1,85m",544789,"['Portugal', 'Angola']",€100k,,,23,"May 23, 1997",Without Club
Defensive Midfield,right,,,Terry Taylor,"1,85m",463758,"['Wales', 'Scotland']",,,,19,"Jun 29, 2001",Charlton Athletic
