position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2017",Ederson,"1,88m",238223,"['Brazil', 'Portugal']",€50.00m,,SL Benfica,27,"Aug 17, 1993",Manchester City
Goalkeeper,right,,"Jul 9, 2019",Zack Steffen,"1,91m",221624,['United States'],€6.00m,,: Ablöse €6.82m,26,"Apr 2, 1995",Colorado Rapids
Goalkeeper,right,,"Jul 20, 2021",Scott Carson,"1,88m",14555,['England'],€300k,,Derby County,35,"Sep 3, 1985",Manchester City
Goalkeeper,right,,,James Trafford,"1,97m",566799,['England'],,,,18,"Oct 10, 2002",Burnley FC
Centre-Back,right,,"Sep 29, 2020",Rúben Dias,"1,87m",258004,['Portugal'],€75.00m,,SL Benfica,24,"May 14, 1997",Manchester City
Centre-Back,left,,"Jan 30, 2018",Aymeric Laporte,"1,91m",176553,"['Spain', 'France']",€45.00m,,Athletic Bilbao,27,"May 27, 1994",Al-Nassr FC
Centre-Back,left,,"Aug 5, 2020",Nathan Aké,"1,80m",177476,"['Netherlands', ""Cote d'Ivoire""]",€32.00m,,AFC Bournemouth,26,"Feb 18, 1995",Manchester City
Centre-Back,right,,"Aug 9, 2016",John Stones,"1,88m",186590,['England'],€30.00m,,Everton FC,27,"May 28, 1994",Manchester City
Centre-Back,right,"Pubalgia - Return expected on Nov 15, 2024","Jul 1, 2019",Eric García,"1,82m",466794,['Spain'],€20.00m,,Manchester City U23,20,"Jan 9, 2001",FC Barcelona
Centre-Back,right,,"Aug 20, 2015",Nicolás Otamendi,"1,83m",54781,['Argentina'],€8.00m,,Valencia CF,33,"Feb 12, 1988",SL Benfica
Centre-Back,right,,"Jan 1, 2021",Taylor Harwood-Bellis,"1,88m",503977,['England'],€3.00m,,Manchester City U23,19,"Jan 30, 2002",Southampton FC
Centre-Back,right,,"Jul 31, 2018",Philippe Sandler,"1,90m",340460,"['Netherlands', 'United States']",€2.50m,,PEC Zwolle,24,"Feb 10, 1997",NEC Nijmegen
Centre-Back,left,"Hamstring injury - Return expected on Jan 31, 2025",,Luke Mbete,"1,85m",609883,"['England', 'DR Congo']",,,,17,"Sep 18, 2003",Northampton Town
Left-Back,left,,"Jul 4, 2016",Oleksandr Zinchenko,"1,75m",203853,['Ukraine'],€25.00m,,: Ablöse €2.25m,24,"Dec 15, 1996",Arsenal FC
Left-Back,left,,"Jul 24, 2017",Benjamin Mendy,"1,85m",157495,"['France', 'Senegal']",€20.00m,,: Ablöse €57.50m,26,"Jul 17, 1994",FC Lorient
Right-Back,right,,"Aug 7, 2019",João Cancelo,"1,82m",182712,['Portugal'],€55.00m,"Returned after loan spell with FC Barcelona; date: Jun 30, 2024; fee: End of loan",: Ablöse €65.00m,27,"May 27, 1994",Al-Hilal SFC
Right-Back,right,Team captain,"Jul 14, 2017",Kyle Walker,"1,78m",95424,['England'],€28.00m,,Tottenham Hotspur,31,"May 28, 1990",Manchester City
Defensive Midfield,right,Cruciate ligament tear - Return unknown,"Jul 4, 2019",Rodri,"1,91m",357565,['Spain'],€70.00m,,: Ablöse €70.00m,25,"Jun 22, 1996",Manchester City
Defensive Midfield,right,Knock - Return unknown,"Jul 1, 2013",Fernandinho,"1,79m",26267,['Brazil'],€2.00m,,Shakhtar Donetsk,36,"May 4, 1985",Club Athletico Paranaense
Defensive Midfield,right,,,Claudio Gomes,"1,71m",395239,"['France', 'Guinea-Bissau']",€450k,,,20,"Jul 23, 2000",Palermo FC
Central Midfield,right,,"Aug 23, 2024",İlkay Gündoğan,"1,80m",53622,['Germany'],€40.00m,"Joined from FC Barcelona; date: Aug 23, 2024; fee: free transfer",FC Barcelona,30,"Oct 24, 1990",Manchester City
Central Midfield,left,"Hamstring injury - Return expected on Jan 25, 2025",,Adrián Bernabé,"1,70m",466802,['Spain'],€2.30m,,,20,"May 26, 2001",Parma Calcio 1913
Central Midfield,right,,"Jul 1, 2023",Tommy Doyle,"1,72m",433183,['England'],€1.00m,,Manchester City U21,19,"Oct 17, 2001",Wolverhampton Wanderers
Central Midfield,right,,,Felix Nmecha,"1,90m",406640,"['Germany', 'England']",€450k,,,20,"Oct 10, 2000",Borussia Dortmund
Attacking Midfield,right,,"Aug 30, 2015",Kevin De Bruyne,"1,81m",88755,['Belgium'],€100.00m,,VfL Wolfsburg,30,"Jun 28, 1991",Manchester City
Attacking Midfield,left,,"Jul 1, 2017",Bernardo Silva,"1,73m",241641,['Portugal'],€70.00m,,: Ablöse €50.00m,26,"Aug 10, 1994",Manchester City
Attacking Midfield,left,"No eligibility - until Dec 31, 2024 - UEFA Conference League","Jul 1, 2021",Cole Palmer,"1,85m",568177,['England'],€500k,,Manchester City U23,19,"May 6, 2002",Chelsea FC
Left Winger,right,,"Jul 14, 2015",Raheem Sterling,"1,70m",134425,"['England', 'Jamaica']",€90.00m,,: Ablöse €63.70m,26,"Dec 8, 1994",Arsenal FC
Right Winger,left,,"Jul 1, 2017",Phil Foden,"1,71m",406635,['England'],€80.00m,,Manchester City U18,21,"May 28, 2000",Manchester City
Right Winger,right,"Hamstring injury - Return expected on Dec 2, 2024","Aug 4, 2020",Ferran Torres,"1,84m",398184,['Spain'],€50.00m,,Valencia CF,21,"Feb 29, 2000",FC Barcelona
Right Winger,left,,"Jul 10, 2018",Riyad Mahrez,"1,79m",171424,"['Algeria', 'France']",€42.00m,,Leicester City,30,"Feb 21, 1991",Al-Ahli SFC
Right Winger,left,,"Jan 30, 2018",Jack Harrison,"1,75m",417346,['England'],€15.00m,,: Ablöse €4.00m,24,"Nov 20, 1996",Everton FC
Right Winger,left,,"Jul 19, 2015",Patrick Roberts,"1,67m",225452,['England'],€2.00m,,Fulham FC,24,"Feb 5, 1997",Sunderland AFC
Centre-Forward,right,,"Jan 1, 2017",Gabriel Jesus,"1,75m",363205,['Brazil'],€60.00m,,Sociedade Esportiva Palmeiras,24,"Apr 3, 1997",Arsenal FC
Centre-Forward,right,,"Jul 28, 2011",Sergio Agüero,"1,73m",26399,"['Argentina', 'Spain']",€18.00m,,: Ablöse €40.00m,33,"Jun 2, 1988",Retired
Centre-Forward,right,,,Liam Delap,"1,86m",610849,"['England', 'Ireland']",€1.00m,,,18,"Feb 8, 2003",Ipswich Town
