position,foot,status,joinedOn,name,height,id,nationality,marketValue,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 19, 2020",Aaron Ramsdale,"1,90m",427568,['England'],€12.00m,AFC Bournemouth,23,"May 14, 1998",Southampton FC
Goalkeeper,right,,"Aug 8, 2019",Michael Verrips,"1,96m",288259,['Netherlands'],€900k,KV Mechelen,24,"Dec 3, 1996",FCV Dender EH
Goalkeeper,left,,"Jul 27, 2020",Wes Foderingham,"1,85m",61697,['England'],€400k,: Ablöse free transfer,30,"Jan 14, 1991",West Ham United
Goalkeeper,right,,"Aug 19, 2016",Simon Moore,"1,91m",123536,['England'],€400k,Cardiff City,31,"May 19, 1990",Sunderland AFC
Goalkeeper,right,,"Jul 1, 2017",Jake Eastwood,"1,93m",526873,['England'],€100k,Sheffield United U21,24,"Oct 3, 1996",Grimsby Town
Centre-Back,right,,"Jul 19, 2018",John Egan,"1,85m",121324,['Ireland'],€9.00m,Brentford FC,28,"Oct 20, 1992",Burnley FC
Centre-Back,left,,"Jul 8, 2016",Jack O'Connell,"1,90m",212829,['England'],€5.00m,: Ablöse ?,27,"Mar 29, 1994",Retired
Centre-Back,right,,"Jul 1, 2014",Chris Basham,"1,90m",52495,['England'],€2.00m,Blackpool FC,32,"Jul 20, 1988",Retired
Centre-Back,left,Team captain,"Jan 21, 2020",Jack Robinson,"1,80m",128909,['England'],€2.00m,Nottingham Forest,27,"Sep 1, 1993",Sheffield United
Centre-Back,left,Cruciate ligament surgery - Return unknown,"Aug 2, 2018",Kean Bryan,"1,85m",214928,"['England', 'Jamaica']",€2.00m,Manchester City U23,24,"Nov 1, 1996",Retired
Centre-Back,right,,"Jan 3, 2020",Jack Rodwell,"1,88m",57079,['England'],€800k,Without Club,30,"Mar 11, 1991",Without Club
Centre-Back,right,,"Jul 4, 2019",Phil Jagielka,"1,80m",13520,"['England', 'Poland']",€250k,Everton FC,38,"Aug 17, 1982",Retired
Centre-Back,right,,"Jul 1, 2022",Kyron Gordon,"1,84m",746734,['England'],€250k,Sheffield United U21,19,"May 24, 2002",Rochdale AFC
Left-Back,left,,"Jul 1, 2017",Enda Stevens,"1,83m",85706,['Ireland'],€3.50m,: Ablöse free transfer,30,"Jul 9, 1990",Stoke City
Left-Back,left,,"Sep 7, 2020",Max Lowe,"1,75m",258885,['England'],€3.00m,Derby County,24,"May 11, 1997",Sheffield Wednesday
Left-Back,left,,"Jul 1, 2019",Rhys Norrington-Davies,"1,81m",543164,"['Wales', 'Saudi Arabia']",€1.50m,Sheffield United U21,22,"Apr 22, 1999",Sheffield United
Left-Back,left,,,Harry Boyes,"1,80m",746778,['England'],,,19,"Nov 2, 2001",Sheffield United U21
Right-Back,right,,"Sep 7, 2020",Jayden Bogle,"1,78m",465717,['England'],€7.00m,Derby County,20,"Jul 27, 2000",Leeds United
Right-Back,right,,"Jul 1, 2017",George Baldock,"1,78m",146690,"['Greece', 'England']",€5.00m,Milton Keynes Dons,28,"Mar 9, 1993",---
Right-Back,right,,"Jul 1, 2023",Femi Seriki,"1,83m",638649,"['England', 'Nigeria']",€200k,Sheffield United U21,19,"Apr 28, 2002",Sheffield United
Defensive Midfield,right,,"Jan 30, 2020",Sander Berge,"1,95m",333014,['Norway'],€18.00m,KRC Genk,23,"Feb 14, 1998",Fulham FC
Defensive Midfield,right,"Knee injury - Return expected on Dec 31, 2024","Sep 7, 2020",Ethan Ampadu,"1,82m",392771,"['Wales', 'England']",€15.00m,Chelsea FC,20,"Sep 14, 2000",Leeds United
Defensive Midfield,right,,"Jul 25, 2017",John Lundstram,"1,81m",156941,['England'],€7.00m,: Ablöse €560k,27,"Feb 18, 1994",Trabzonspor
Central Midfield,left,Shin injury - Return unknown,"Jul 8, 2016",John Fleck,"1,69m",54383,['Scotland'],€5.00m,Coventry City,29,"Aug 24, 1991",Chesterfield FC
Central Midfield,right,,"Jan 4, 2019",Oliver Norwood,"1,75m",73547,"['Northern Ireland', 'England']",€5.00m,Brighton & Hove Albion,30,"Apr 12, 1991",Stockport County
Central Midfield,left,,"Jul 26, 2019",Ben Osborn,"1,76m",218087,['England'],€2.00m,Nottingham Forest,26,"Aug 5, 1994",Derby County
Central Midfield,right,,,Regan Slater,"1,71m",473080,['England'],,,21,"Sep 11, 1999",Hull City
Central Midfield,right,,,Frankie Maguire,"1,75m",746753,['England'],,,17,"Jul 29, 2003",Boston United
Attacking Midfield,left,,"Jul 3, 2019",Luke Freeman,"1,76m",66923,['England'],€2.00m,Queens Park Rangers,29,"Mar 22, 1992",Barnet FC
Left Winger,right,,,Zak Brunt,"1,76m",746777,['England'],€250k,,19,"Nov 17, 2001",Barnet FC
Right Winger,right,,"Sep 9, 2020",Oliver Burke,"1,88m",341317,['Scotland'],€6.00m,West Bromwich Albion,24,"Apr 7, 1997",SV Werder Bremen
Centre-Forward,right,,"Oct 2, 2020",Rhian Brewster,"1,80m",406560,"['England', 'Barbados']",€12.00m,: Ablöse €26.00m,21,"Apr 1, 2000",Sheffield United
Centre-Forward,right,,"Aug 2, 2019",Oli McBurnie,"1,88m",298477,"['Scotland', 'England']",€10.00m,: Ablöse €19.10m,25,"Jun 4, 1996",UD Las Palmas
Centre-Forward,right,,"Jul 21, 2019",Lys Mousset,"1,86m",291422,"['France', 'Senegal']",€9.00m,AFC Bournemouth,25,"Feb 8, 1996",Without Club
Centre-Forward,right,,"Jul 24, 2018",David McGoldrick,"1,84m",35416,"['Ireland', 'England']",€1.50m,Ipswich Town,33,"Nov 29, 1987",Notts County
Centre-Forward,right,,"Jul 1, 2021",Daniel Jebbison,"1,90m",746740,"['Canada', 'England']",€1.00m,Sheffield United U18,17,"Jul 11, 2003",Watford FC
Centre-Forward,right,,"Jul 25, 2015",Billy Sharp,"1,75m",49542,['England'],€500k,Leeds United,35,"Feb 5, 1986",Doncaster Rovers
Centre-Forward,right,,"Jul 1, 2021",Iliman Ndiaye,"1,80m",623570,"['Senegal', 'France']",€200k,Sheffield United U21,21,"Mar 6, 2000",Everton FC
Centre-Forward,right,,,Antwoine Hackford,"1,77m",670859,"['England', 'Trinidad and Tobago']",€100k,,17,"Mar 20, 2004",Port Vale FC
Centre-Forward,right,,"Jul 1, 2022",William Osula,"1,86m",609556,"['Denmark', 'England']",,Sheffield United U21,17,"Aug 4, 2003",Newcastle United
