position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 1, 2017",Jordan Pickford,"1,85m",130164,['England'],€20.00m,,Sunderland AFC,28,"Mar 7, 1994",Everton FC
Goalkeeper,right,,"Aug 23, 2024",Asmir Begovic,"1,99m",33873,"['Bosnia-Herzegovina', 'Canada']",€1.00m,"Joined from Queens Park Rangers; date: Aug 23, 2024; fee: free transfer",Queens Park Rangers,35,"Jun 20, 1987",Everton FC
Goalkeeper,left,,"Aug 20, 2021",Andy Lonergan,"1,93m",14044,['England'],€250k,,West Bromwich Albion,38,"Oct 19, 1983",Wigan Athletic
Goalkeeper,right,,,Harry Tyrer,"1,94m",574448,['England'],,,,20,"Dec 6, 2001",Blackpool FC
Centre-Back,right,,"Jul 3, 2017",Michael Keane,"1,88m",118534,"['England', 'Ireland']",€20.00m,,: Ablöse €28.50m,29,"Jan 11, 1993",Everton FC
Centre-Back,right,,"Aug 9, 2018",Yerry Mina,"1,95m",289446,['Colombia'],€20.00m,,FC Barcelona,27,"Sep 23, 1994",Cagliari Calcio
Centre-Back,right,,"Oct 5, 2020",Ben Godfrey,"1,84m",343475,"['England', 'Jamaica']",€20.00m,,: Ablöse €27.50m,24,"Jan 15, 1998",Atalanta BC
Centre-Back,right,,"Aug 13, 2015",Mason Holgate,"1,87m",348623,"['Jamaica', 'England']",€18.00m,,Barnsley FC,25,"Oct 22, 1996",West Bromwich Albion
Centre-Back,left,,"Jan 13, 2020",Jarrad Branthwaite,"1,95m",661053,['England'],€3.00m,,Carlisle United,20,"Jun 27, 2002",Everton FC
Centre-Back,right,,,Ryan Astley,"1,84m",511552,['Wales'],,,,20,"Oct 4, 2001",Dundee FC
Centre-Back,,,,Reece Welch,,655986,"['England', 'Jamaica']",,,,18,"Sep 19, 2003",KMSK Deinze
Left-Back,left,,"Aug 1, 2018",Lucas Digne,"1,78m",126664,['France'],€25.00m,,FC Barcelona,28,"Jul 20, 1993",Aston Villa
Left-Back,left,,"Jan 1, 2022",Vitaliy Mykolenko,"1,80m",404842,['Ukraine'],€18.00m,,Dynamo Kyiv,23,"May 29, 1999",Everton FC
Left-Back,left,,"Jul 2, 2020",Niels Nkounkou,"1,80m",591193,"['France', 'Congo']",€2.20m,,Olympique de Marseille B,21,"Nov 1, 2000",Eintracht Frankfurt
Right-Back,right,,"Jan 4, 2022",Nathan Patterson,"1,89m",424015,['Scotland'],€8.00m,,: Ablöse €14.00m,20,"Oct 16, 2001",Everton FC
Right-Back,right,,"Jul 1, 2017",Jonjoe Kenny,"1,76m",258883,"['England', 'Ireland']",€4.00m,,Everton FC U23,25,"Mar 15, 1997",Hertha BSC
