position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 19, 2018",Alisson,"1,93m",105470,['Brazil'],€50.00m,,AS Roma,29,"Oct 2, 1992",Liverpool FC
Goalkeeper,right,,"Jul 1, 2019",Caoimhín Kelleher,"1,88m",340918,['Ireland'],€8.00m,,: Ablöse -,23,"Nov 23, 1998",Liverpool FC
Goalkeeper,right,,"Jul 1, 2016",Loris Karius,"1,91m",85864,['Germany'],€1.50m,,: Ablöse €6.20m,29,"Jun 22, 1993",Without Club
Goalkeeper,right,,"Aug 5, 2019",Adrián,"1,90m",71271,['Spain'],€1.00m,,West Ham United,35,"Jan 3, 1987",Real Betis Balompié
Goalkeeper,right,,"Sep 29, 2020",Marcelo Pitaluga,"1,93m",662334,"['Brazil', 'Germany']",€100k,,Fluminense FC U20,19,"Dec 20, 2002",Livingston FC
Goalkeeper,right,,,Liam Hughes,"1,93m",494284,['Northern Ireland'],,,,20,"Aug 19, 2001",FC Haka
Goalkeeper,left,,,Harvey Davies,"1,90m",706815,['England'],,,,18,"Sep 3, 2003",Liverpool FC U21
Centre-Back,right,Team captain,"Jan 1, 2018",Virgil van Dijk,"1,95m",139208,"['Netherlands', 'Suriname']",€55.00m,,Southampton FC,30,"Jul 8, 1991",Liverpool FC
Centre-Back,right,,"Jul 1, 2021",Ibrahima Konaté,"1,94m",357119,"['France', 'Mali']",€40.00m,,RB Leipzig,23,"May 25, 1999",Liverpool FC
Centre-Back,right,,"Jul 1, 2015",Joe Gomez,"1,88m",256178,"['England', 'The Gambia']",€18.00m,,Charlton Athletic,25,"May 23, 1997",Liverpool FC
Centre-Back,right,,"Jul 1, 2016",Joel Matip,"1,95m",82105,"['Cameroon', 'Germany']",€18.00m,,FC Schalke 04,30,"Aug 8, 1991",Retired
Centre-Back,right,,"Jul 1, 2019",Nat Phillips,"1,90m",371814,['England'],€8.00m,,: Ablöse -,25,"Mar 21, 1997",Derby County
Centre-Back,right,,"Jul 1, 2019",Sepp van den Berg,"1,92m",541231,['Netherlands'],€5.00m,"Returned after loan spell with 1.FSV Mainz 05; date: Jun 30, 2024; fee: End of loan",PEC Zwolle,20,"Dec 20, 2001",Brentford FC
Centre-Back,right,,"Jul 1, 2020",Rhys Williams,"1,95m",503679,"['England', 'Jamaica']",€4.00m,,: Ablöse -,21,"Feb 3, 2001",Morecambe FC
Centre-Back,left,,"Feb 1, 2021",Ben Davies,"1,85m",257097,['England'],€2.50m,,Preston North End,26,"Aug 11, 1995",Birmingham City
Centre-Back,left,,,Billy Koumetio,"1,95m",696324,"['France', 'Cameroon']",€800k,,,19,"Nov 14, 2002",Dundee FC
Centre-Back,right,,"Jul 1, 2023",Jarell Quansah,"1,90m",632349,"['England', 'Scotland']",,,: Ablöse -,19,"Jan 29, 2003",Liverpool FC
Left-Back,left,,"Jul 21, 2017",Andrew Robertson,"1,78m",234803,['Scotland'],€65.00m,,: Ablöse €9.00m,28,"Mar 11, 1994",Liverpool FC
Left-Back,left,,"Aug 10, 2020",Konstantinos Tsimikas,"1,79m",338070,['Greece'],€15.00m,,: Ablöse €13.00m,26,"May 12, 1996",Liverpool FC
Left-Back,left,,,Owen Beck,"1,77m",551001,['Wales'],€400k,,,19,"Aug 9, 2002",Blackburn Rovers
Left-Back,left,,,James Norris,"1,72m",618495,['England'],,,,19,"Apr 4, 2003",Liverpool FC U21
Right-Back,right,,"Jul 1, 2016",Trent Alexander-Arnold,"1,75m",314353,['England'],€80.00m,,: Ablöse -,23,"Oct 7, 1998",Liverpool FC
Right-Back,right,,"Jan 1, 2020",Neco Williams,"1,83m",503680,['Wales'],€8.00m,,: Ablöse -,21,"Apr 13, 2001",Nottingham Forest
Right-Back,right,,"Jul 1, 2023",Conor Bradley,"1,81m",624258,['Northern Ireland'],€1.00m,,: Ablöse -,18,"Jul 9, 2003",Liverpool FC
Right-Back,right,,,Isaac Mabaya,,670843,"['Zimbabwe', 'England']",,,,17,"Sep 22, 2004",Liverpool FC U21
Defensive Midfield,right,,"Jul 1, 2018",Fabinho,"1,88m",225693,['Brazil'],€60.00m,,: Ablöse €45.00m,28,"Oct 23, 1993",Al-Ittihad Club
Defensive Midfield,right,,"Jul 1, 2024",Tyler Morton,"1,85m",618494,['England'],€3.00m,"Internal transfer: Liverpool FC U21; date: Jul 1, 2024",Liverpool FC U21,19,"Oct 31, 2002",Liverpool FC
Central Midfield,right,,"Jul 1, 2020",Curtis Jones,"1,85m",433188,['England'],€28.00m,,: Ablöse -,21,"Jan 30, 2001",Liverpool FC
Central Midfield,right,Suspended -  - cross-competition,"Jul 1, 2018",Naby Keïta,"1,72m",302215,['Guinea'],€25.00m,,: Ablöse €60.00m,27,"Feb 10, 1995",SV Werder Bremen
Central Midfield,left,Broken foot - Return unknown,"Jul 1, 2021",Harvey Elliott,"1,70m",565822,['England'],€22.00m,,: Ablöse -,19,"Apr 4, 2003",Liverpool FC
Central Midfield,right,,"Sep 18, 2020",Thiago Alcántara,"1,74m",60444,"['Spain', 'Brazil']",€20.00m,,: Ablöse €22.00m,31,"Apr 11, 1991",Retired
Central Midfield,right,"No eligibility - until Jan 31, 2025 - UEFA Europa League - 8 matchdays","Aug 31, 2017",Alex Oxlade-Chamberlain,"1,80m",143424,['England'],€16.00m,,Arsenal FC,28,"Aug 15, 1993",Besiktas JK
Central Midfield,right,,"Jul 1, 2011",Jordan Henderson,"1,82m",61651,['England'],€15.00m,,Sunderland AFC,32,"Jun 17, 1990",Ajax Amsterdam
Central Midfield,right,,"Jul 1, 2015",James Milner,"1,75m",3333,['England'],€2.00m,,: Ablöse free transfer,36,"Jan 4, 1986",Brighton & Hove Albion
Central Midfield,right,,,Elijah Dixon-Bonner,,433180,['England'],€300k,,,21,"Jan 1, 2001",Queens Park Rangers
Central Midfield,right,,,James Balagizi,"1,89m",655987,"['England', 'DR Congo']",,,,18,"Sep 20, 2003",Liverpool FC U21
Attacking Midfield,right,,"Jan 1, 2017",Ben Woodburn,"1,74m",344015,"['Wales', 'England']",€1.20m,,: Ablöse -,22,"Oct 15, 1999",Salford City
Left Winger,right,,"Jul 1, 2016",Sadio Mané,"1,74m",200512,['Senegal'],€70.00m,,Southampton FC,30,"Apr 10, 1992",Al-Nassr FC
Left Winger,right,,"Jan 30, 2022",Luis Díaz,"1,80m",480692,['Colombia'],€65.00m,,FC Porto,25,"Jan 13, 1997",Liverpool FC
Left Winger,right,,"Jan 1, 2020",Takumi Minamino,"1,72m",165793,['Japan'],€12.00m,,Red Bull Salzburg,27,"Jan 16, 1995",AS Monaco
Right Winger,left,,"Jul 1, 2017",Mohamed Salah,"1,75m",148455,['Egypt'],€90.00m,,AS Roma,30,"Jun 15, 1992",Liverpool FC
Right Winger,left,,"Jul 7, 2015",Sheyi Ojo,"1,79m",236510,"['England', 'Nigeria']",€2.00m,,: Ablöse -,25,"Jun 19, 1997",NK Maribor
Right Winger,left,,,Kaide Gordon,"1,73m",732119,"['England', 'Jamaica']",€1.50m,,,17,"Oct 5, 2004",Norwich City
Right Winger,right,,,Harvey Blair,,707164,"['England', 'Jamaica']",€300k,,,18,"Sep 14, 2003",Portsmouth FC
Right Winger,right,,,Melkamu Frauendorf,"1,80m",594721,"['Germany', 'Ethiopia']",,,,18,"Jan 12, 2004",Hannover 96 II
Centre-Forward,right,,"Sep 19, 2020",Diogo Jota,"1,78m",340950,['Portugal'],€60.00m,,Wolverhampton Wanderers,25,"Dec 4, 1996",Liverpool FC
Centre-Forward,right,,"Jul 1, 2015",Roberto Firmino,"1,81m",131789,['Brazil'],€32.00m,,TSG 1899 Hoffenheim,30,"Oct 2, 1991",Al-Ahli SFC
Centre-Forward,right,,"Jul 29, 2014",Divock Origi,"1,89m",148368,"['Belgium', 'Kenya']",€12.00m,,: Ablöse €12.63m,27,"Apr 18, 1995",Milan Futuro
Centre-Forward,,,,Max Woltman,,696326,['England'],€300k,,,18,"Aug 20, 2003",Oxford United
