position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,left,,"Jul 27, 2020",Illan Meslier,"1,97m",542586,['France'],€20.00m,,FC Lorient,23,"Mar 2, 2000",Leeds United
Goalkeeper,left,,"Jul 31, 2021",Kristoffer Klaesson,"1,89m",418561,['Norway'],€1.80m,,Vålerenga Fotball Elite,22,"Nov 27, 2000",Aarhus GF
Goalkeeper,right,,"Aug 9, 2022",Joel Robles,"1,94m",101118,['Spain'],€1.00m,,Real Betis Balompié,33,"Jun 17, 1990",Estoril Praia
Goalkeeper,right,,,Dani van den Heuvel,"1,88m",559320,['Netherlands'],,,,20,"May 28, 2003",Club Brugge KV
Centre-Back,right,,"Aug 29, 2020",Robin Koch,"1,91m",328784,['Germany'],€18.00m,"Returned after loan spell with Eintracht Frankfurt; date: Jun 30, 2024; fee: End of loan",SC Freiburg,26,"Jul 17, 1996",Eintracht Frankfurt
Centre-Back,left,,"Jan 1, 2020",Pascal Struijk,"1,90m",410708,"['Netherlands', 'Belgium']",€18.00m,,Leeds United U21,23,"Aug 11, 1999",Leeds United
Centre-Back,left,,"Jan 3, 2023",Maximilian Wöber,"1,88m",263361,['Austria'],€14.00m,"Returned after loan spell with Borussia Mönchengladbach; date: Jun 30, 2024; fee: End of loan",Red Bull Salzburg,25,"Feb 4, 1998",Leeds United
Centre-Back,right,,"Sep 24, 2020",Diego Llorente,"1,86m",246291,['Spain'],€12.00m,"Returned after loan spell with AS Roma; date: Jun 30, 2024; fee: End of loan",Real Sociedad,29,"Aug 16, 1993",Real Betis Balompié
Centre-Back,right,,"Jul 1, 2021",Charlie Cresswell,"1,90m",597659,['England'],€5.00m,,Leeds United U21,20,"Aug 17, 2002",FC Toulouse
Centre-Back,left,,"Aug 13, 2014",Liam Cooper,"1,86m",75067,"['Scotland', 'England']",€3.00m,,Chesterfield FC,31,"Aug 30, 1991",CSKA-Sofia
Centre-Back,right,,,Diogo Monteiro,"1,86m",670713,"['Portugal', 'Switzerland']",€500k,,,18,"Jan 28, 2005",Leeds United U21
Centre-Back,,,,Jeremiah Chilokoa-Mullen,,719681,['Scotland'],,,,19,"Jun 17, 2004",Leeds United U21
Centre-Back,right,,,Kris Moore,,746067,['England'],,,,19,"Nov 13, 2003",Leeds United U21
Centre-Back,,,,James Debayo,,906891,"['England', 'Nigeria']",,,,17,"Jul 11, 2005",Leeds United U21
Left-Back,left,,"Jul 6, 2021",Junior Firpo,"1,84m",374139,"['Dominican Republic', 'Spain']",€10.00m,,FC Barcelona,26,"Aug 22, 1996",Leeds United
Left-Back,left,,"Aug 27, 2021",Leo Fuhr Hjelde,"1,90m",661208,"['Norway', 'England']",€1.50m,,Celtic FC B,19,"Aug 26, 2003",Sunderland AFC
Right-Back,right,"Hamstring injury - Return expected on Nov 24, 2024","Jul 1, 2022",Rasmus Kristensen,"1,87m",369684,['Denmark'],€13.00m,,Red Bull Salzburg,25,"Jul 11, 1997",Eintracht Frankfurt
Right-Back,right,,"Jul 1, 2021",Cody Drameh,"1,81m",531957,"['England', 'The Gambia']",€3.50m,,Leeds United U21,21,"Dec 8, 2001",Hull City
Right-Back,right,,"Jul 1, 2018",Jamie Shackleton,"1,68m",534700,['England'],€2.00m,,Leeds United U21,23,"Oct 8, 1999",Sheffield United
