position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Aug 1, 2020",Dean Henderson,"1,88m",258919,['England'],€18.00m,,Manchester United U23,26,"Mar 12, 1997",Crystal Palace
Goalkeeper,right,,"Jul 1, 2011",David de Gea,"1,92m",59377,['Spain'],€13.00m,,: Ablöse €25.00m,32,"Nov 7, 1990",ACF Fiorentina
Goalkeeper,right,,"Jul 1, 2022",Matej Kovar,"1,96m",550829,['Czech Republic'],€1.80m,,Manchester United U21,23,"May 17, 2000",Bayer 04 Leverkusen
Goalkeeper,right,,"Sep 1, 2022",Martin Dúbravka,"1,91m",74960,['Slovakia'],€1.50m,,Newcastle United,34,"Jan 15, 1989",Newcastle United
Goalkeeper,right,,"Jan 6, 2023",Jack Butland,"1,96m",128899,['England'],€1.50m,,Crystal Palace,30,"Mar 10, 1993",Rangers FC
Goalkeeper,right,,"Jul 2, 2021",Tom Heaton,"1,88m",34130,['England'],€500k,,: Ablöse free transfer,37,"Apr 15, 1986",Manchester United
Goalkeeper,right,,,Nathan Bishop,"1,85m",495033,['England'],€300k,,,23,"Oct 15, 1999",Wycombe Wanderers
Goalkeeper,right,,,Radek Vítek,"1,98m",622236,['Czech Republic'],€150k,,,19,"Oct 24, 2003",FC Blau-Weiss Linz
Centre-Back,left,,"Jul 27, 2022",Lisandro Martínez,"1,75m",480762,['Argentina'],€50.00m,,Ajax Amsterdam,25,"Jan 18, 1998",Manchester United
Centre-Back,right,"Knee problems - Return expected on Jan 1, 2025","Aug 14, 2021",Raphaël Varane,"1,91m",164770,"['France', 'Martinique']",€35.00m,,Real Madrid,30,"Apr 25, 1993",Retired
Centre-Back,right,,"Aug 5, 2019",Harry Maguire,"1,94m",177907,['England'],€20.00m,,Leicester City,30,"Mar 5, 1993",Manchester United
Centre-Back,right,,"Jul 1, 2017",Victor Lindelöf,"1,87m",184573,['Sweden'],€18.00m,,SL Benfica,28,"Jul 17, 1994",Manchester United
Centre-Back,right,Thumb injury - Return unknown,"Jan 1, 2017",Axel Tuanzebe,"1,85m",342046,"['DR Congo', 'England']",€4.50m,,Manchester United U18,25,"Nov 14, 1997",Ipswich Town
Centre-Back,right,,"Jul 1, 2020",Teden Mengi,"1,86m",548470,"['England', 'Angola']",€2.00m,,Manchester United U23,21,"Apr 30, 2002",Luton Town
Centre-Back,right,,"Jul 1, 2011",Phil Jones,"1,85m",117996,['England'],€1.50m,,Blackburn Rovers,31,"Feb 21, 1992",Retired
Centre-Back,right,,,Tyler Fredricson,,911424,['England'],€250k,,,18,"Feb 23, 2005",Manchester United U21
Centre-Back,right,,,Rhys Bennett,"1,87m",794816,['England'],,,,19,"Oct 30, 2003",Fleetwood Town
Left-Back,left,,"Jul 1, 2014",Luke Shaw,"1,78m",183288,['England'],€42.00m,,Southampton FC,27,"Jul 12, 1995",Manchester United
Left-Back,left,Knee injury - Return unknown,"Jul 5, 2022",Tyrell Malacia,"1,69m",339340,"['Netherlands', 'Curacao']",€22.00m,,: Ablöse €15.00m,23,"Aug 17, 1999",Manchester United
Left-Back,right,,"Jul 1, 2019",Brandon Williams,"1,80m",507700,['England'],€7.00m,,Manchester United U18,22,"Sep 3, 2000",Without Club
Left-Back,left,,"Jul 1, 2022",Álvaro Carreras,"1,86m",811778,['Spain'],€7.00m,"Returned after loan spell with SL Benfica; date: Jun 30, 2024; fee: End of loan",Manchester United U21,20,"Mar 23, 2003",SL Benfica
Right-Back,right,,"Jul 1, 2018",Diogo Dalot,"1,83m",357147,['Portugal'],€40.00m,,FC Porto,24,"Mar 18, 1999",Manchester United
Right-Back,right,,"Jul 1, 2019",Aaron Wan-Bissaka,"1,83m",477758,"['England', 'DR Congo']",€25.00m,,Crystal Palace,25,"Nov 26, 1997",West Ham United
Right-Back,right,,,Marc Jurado,"1,78m",709960,['Spain'],,,,19,"Apr 13, 2004",RCD Espanyol B
Defensive Midfield,right,,"Aug 22, 2022",Casemiro,"1,85m",16306,"['Brazil', 'Spain']",€40.00m,,Real Madrid,31,"Feb 23, 1992",Manchester United
Defensive Midfield,right,,"Jul 1, 2020",James Garner,"1,82m",505219,['England'],€14.00m,,Manchester United U23,22,"Mar 13, 2001",Everton FC
Central Midfield,right,,"Jul 1, 2017",Scott McTominay,"1,91m",315969,"['Scotland', 'England']",€25.00m,,Manchester United U23,26,"Dec 8, 1996",SSC Napoli
Central Midfield,right,,"Jul 15, 2022",Christian Eriksen,"1,82m",69633,['Denmark'],€22.00m,,Brentford FC,31,"Feb 14, 1992",Manchester United
Central Midfield,right,,"Jan 31, 2023",Marcel Sabitzer,"1,78m",106987,['Austria'],€20.00m,,: Ablöse ?,29,"Mar 17, 1994",Borussia Dortmund
