position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 2, 2022",Dean Henderson,"1,88m",258919,['England'],€18.00m,,Manchester United,26,"Mar 12, 1997",Crystal Palace
Goalkeeper,right,,"Jan 31, 2023",Keylor Navas,"1,85m",79422,"['Costa Rica', 'Spain']",€4.00m,,: Ablöse ?,36,"Dec 15, 1986",Without Club
Goalkeeper,right,,"Jul 15, 2022",Wayne Hennessey,"1,98m",45494,['Wales'],€400k,,: Ablöse free transfer,36,"Jan 24, 1987",Without Club
Goalkeeper,left,,"Jul 1, 2016",Jordan Smith,"1,83m",452707,['England'],€250k,,Nottingham Forest U21,28,"Dec 8, 1994",Hibernian FC
Goalkeeper,right,,"Sep 20, 2022",Adnan Kanuric,"1,94m",354017,"['Bosnia-Herzegovina', 'Austria']",€150k,,FK Sarajevo,22,"Aug 8, 2000",SV Lafnitz
Goalkeeper,right,,,George Shelvey,"1,89m",565684,['England'],,,,22,"Apr 22, 2001",Without Club
Centre-Back,left,,"Jul 6, 2022",Moussa Niakhaté,"1,90m",291200,"['Senegal', 'France']",€18.00m,,1.FSV Mainz 05,27,"Mar 8, 1996",Olympique Lyon
Centre-Back,right,Muscle injury - Return unknown,"Sep 1, 2022",Loïc Badé,"1,91m",730581,"['France', ""Cote d'Ivoire""]",€12.00m,,Stade Rennais FC,23,"Apr 11, 2000",Sevilla FC
Centre-Back,right,,"Jul 1, 2015",Joe Worrall,"1,90m",415970,['England'],€12.00m,"Returned after loan spell with Besiktas JK; date: Jun 30, 2024; fee: End of loan",Nottingham Forest U18,26,"Jan 10, 1997",Burnley FC
Centre-Back,left,,"Sep 23, 2020",Scott McKenna,"1,89m",255906,['Scotland'],€10.00m,"Returned after loan spell with FC Copenhagen; date: Jun 30, 2024; fee: End of loan",Aberdeen FC,26,"Nov 12, 1996",UD Las Palmas
Centre-Back,right,,"Jul 3, 2022",Giulian Biancone,"1,87m",536507,['France'],€6.00m,,ESTAC Troyes,23,"Mar 31, 2000",Olympiacos Piraeus
Centre-Back,left,,"Jan 31, 2022",Jonathan Panzo,"1,88m",392777,"['England', ""Cote d'Ivoire""]",€3.00m,,Dijon FCO,22,"Oct 25, 2000",Rio Ave FC
Centre-Back,right,,"Sep 1, 2022",Willy Boly,"1,95m",142310,"[""Cote d'Ivoire"", 'France']",€2.50m,,Wolverhampton Wanderers,32,"Feb 3, 1991",Nottingham Forest
Centre-Back,right,,"Sep 11, 2020",Loïc Mbe Soh,"1,87m",463610,"['France', 'Cameroon']",€2.00m,"Returned after loan spell with Almere City FC; date: Jun 30, 2024; fee: End of loan",Paris Saint-Germain B,22,"Jun 13, 2001",Beerschot VA
Centre-Back,right,,"Jan 31, 2023",Felipe,"1,90m",156501,['Brazil'],€2.00m,,: Ablöse €2.30m,34,"May 16, 1989",Retired
Centre-Back,right,,"Jan 4, 2022",Steve Cook,"1,85m",90836,['England'],€1.80m,,AFC Bournemouth,32,"Apr 19, 1991",Queens Park Rangers
Centre-Back,left,,,Aaron Donnelly,"1,85m",624243,"['Northern Ireland', 'Ireland']",€400k,,,20,"Jun 8, 2003",Colchester United
Centre-Back,right,,"Jul 1, 2024",Zach Abbott,,933017,['England'],€250k,"Internal transfer: Nottingham Forest U21; date: Jul 1, 2024",Nottingham Forest U21,17,"May 13, 2006",Nottingham Forest
Left-Back,left,,"Aug 29, 2022",Renan Lodi,"1,73m",476352,"['Brazil', 'Italy']",€20.00m,,: Ablöse €5.00m,25,"Apr 8, 1998",Al-Hilal SFC
Left-Back,left,,"Jul 10, 2022",Omar Richards,"1,74m",424881,"['England', 'Jamaica']",€5.00m,,: Ablöse €8.50m,25,"Feb 15, 1998",Rio Ave FC
Left-Back,left,,"Jul 20, 2022",Harry Toffolo,"1,83m",198516,"['England', 'Italy']",€3.50m,,Huddersfield Town,27,"Aug 19, 1995",Nottingham Forest
Right-Back,right,,"Jul 10, 2022",Neco Williams,"1,83m",503680,['Wales'],€20.00m,,: Ablöse €20.00m,22,"Apr 13, 2001",Nottingham Forest
Right-Back,right,,"Sep 7, 2022",Serge Aurier,"1,76m",127032,"[""Cote d'Ivoire""]",€8.00m,,Without Club,30,"Dec 24, 1992",Without Club
Defensive Midfield,left,Foot injury - Return unknown,"Jan 16, 2023",Danilo,"1,77m",808509,['Brazil'],€28.00m,,Sociedade Esportiva Palmeiras,22,"Apr 29, 2001",Nottingham Forest
Defensive Midfield,right,,"Jul 31, 2022",Orel Mangala,"1,78m",289592,"['Belgium', 'DR Congo']",€16.00m,"Returned after loan spell with Olympique Lyon; date: Jun 30, 2024; fee: End of loan",VfB Stuttgart,25,"Mar 18, 1998",Everton FC
Defensive Midfield,right,,"Aug 13, 2022",Cheikhou Kouyaté,"1,89m",66934,"['Senegal', 'Belgium']",€2.00m,,Crystal Palace,33,"Dec 21, 1989",Without Club
Defensive Midfield,left,,"Aug 11, 2020",Jack Colback,"1,77m",61644,['England'],€600k,,Newcastle United,33,"Oct 24, 1989",Queens Park Rangers
Central Midfield,right,,"Jul 1, 2016",Ryan Yates,"1,90m",425902,['England'],€11.00m,,Nottingham Forest U18,25,"Nov 21, 1997",Nottingham Forest
Central Midfield,left,,"Jul 20, 2022",Lewis O'Brien,"1,73m",560694,['England'],€8.00m,,Huddersfield Town,24,"Oct 14, 1998",Los Angeles FC
Central Midfield,right,,"Aug 14, 2022",Remo Freuler,"1,80m",148252,['Switzerland'],€8.00m,"Returned after loan spell with Bologna FC 1909; date: Jun 30, 2024; fee: End of loan",Atalanta BC,31,"Apr 15, 1992",Bologna FC 1909
