position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2020",Mark Travers,"1,91m",357658,['Ireland'],€3.50m,,AFC Bournemouth U21,25,"May 18, 1999",AFC Bournemouth
Goalkeeper,right,,"Jul 27, 2023",Andrei Radu,"1,88m",303657,['Romania'],€3.00m,,Inter Milan,27,"May 28, 1997",Inter Milan
Goalkeeper,right,,"Aug 7, 2022",Neto,"1,90m",111819,"['Brazil', 'Italy']",€2.50m,,FC Barcelona,34,"Jul 19, 1989",Arsenal FC
Goalkeeper,right,,"Aug 1, 2021",Will Dennis,"1,88m",582078,['England'],€350k,,AFC Bournemouth U21,23,"Jul 10, 2000",AFC Bournemouth
Goalkeeper,right,,"Jan 26, 2023",Darren Randolph,"1,87m",51321,"['Ireland', 'United States']",€300k,,West Ham United,37,"May 12, 1987",Retired
Goalkeeper,right,,,Cameron Plain,"1,87m",655136,['England'],€100k,,,22,"Sep 24, 2001",Poole Town FC
Goalkeeper,,,,Callan McKenna,,983248,['Scotland'],€100k,,,17,"Dec 22, 2006",AFC Bournemouth U21
Centre-Back,right,,"Jan 31, 2023",Ilya Zabarnyi,"1,89m",659089,['Ukraine'],€32.00m,,Dynamo Kyiv,21,"Sep 1, 2002",AFC Bournemouth
Centre-Back,left,,"Aug 8, 2022",Marcos Senesi,"1,85m",469781,"['Argentina', 'Italy']",€22.00m,,: Ablöse €15.00m,27,"May 10, 1997",AFC Bournemouth
Centre-Back,left,,"Jul 1, 2019",Lloyd Kelly,"1,90m",480116,['England'],€18.00m,,Bristol City,25,"Oct 6, 1998",Newcastle United
Centre-Back,right,,"Jan 22, 2019",Chris Mepham,"1,90m",480987,"['Wales', 'England']",€6.00m,,Brentford FC,26,"Nov 5, 1997",Sunderland AFC
Centre-Back,right,,"Jan 5, 2022",James Hill,"1,84m",611793,['England'],€2.00m,,Fleetwood Town,22,"Jan 10, 2002",AFC Bournemouth
Centre-Back,right,,,Max Kinsey,"1,84m",939615,['England'],€150k,,,19,"Feb 2, 2005",AFC Bournemouth U21
Left-Back,left,,"Jul 20, 2023",Milos Kerkez,"1,80m",730861,"['Hungary', 'Serbia']",€20.00m,,AZ Alkmaar,20,"Nov 7, 2003",AFC Bournemouth
