position,foot,status,joinedOn,name,height,id,nationality,marketValue,joined,signedFrom,age,dateOfBirth,currentClub
Goalkeeper,right,,"Jul 1, 2022",Nick Pope,"1,98m",192080,['England'],€16.00m,,: Ablöse €11.50m,32,"Apr 19, 1992",Newcastle United
Goalkeeper,right,,"Jul 1, 2018",Martin Dúbravka,"1,91m",74960,['Slovakia'],€1.00m,,: Ablöse €4.00m,35,"Jan 15, 1989",Newcastle United
Goalkeeper,right,,"Sep 12, 2022",Loris Karius,"1,91m",85864,['Germany'],€1.00m,,Without Club,31,"Jun 22, 1993",Without Club
Goalkeeper,right,,"Jul 3, 2020",Mark Gillespie,"1,91m",142389,['England'],€300k,,Motherwell FC,32,"Mar 27, 1992",Newcastle United
Goalkeeper,left,,,Aidan Harris,,1019170,['England'],€200k,,,17,"Dec 16, 2006",Newcastle United U21
Goalkeeper,,,,Adam Harrison,,1019169,['England'],€100k,,,17,"Oct 20, 2006",Newcastle United U21
Centre-Back,left,"Cruciate ligament surgery - Return expected on Dec 2, 2024","Jul 1, 2022",Sven Botman,"1,95m",361093,['Netherlands'],€45.00m,,LOSC Lille,24,"Jan 12, 2000",Newcastle United
Centre-Back,right,,"Jul 26, 2018",Fabian Schär,"1,86m",135343,['Switzerland'],€10.00m,,Deportivo de La Coruña,32,"Dec 20, 1991",Newcastle United
Centre-Back,left,"Yellow card suspension - until Nov 26, 2024 - Premier League - 1 matchday","Jan 31, 2022",Dan Burn,"2,01m",134270,['England'],€8.00m,,Brighton & Hove Albion,32,"May 9, 1992",Newcastle United
Centre-Back,right,Team captain,"Aug 9, 2014",Jamaal Lascelles,"1,88m",183318,"['England', 'Barbados']",€7.00m,,: Ablöse €5.00m,30,"Nov 11, 1993",Newcastle United
Centre-Back,left,,"Jul 1, 2012",Paul Dummett,"1,83m",170321,"['Wales', 'England']",€900k,,Newcastle United U21,32,"Sep 26, 1991",Wigan Athletic
Centre-Back,left,,"Jul 1, 2022",Kell Watts,"1,92m",484389,['England'],€250k,,Newcastle United U21,24,"Nov 3, 1999",Cambridge United
Left-Back,left,,"Jul 1, 2024",Lewis Hall,"1,79m",670858,['England'],€18.00m,"Joined from Chelsea FC; date: Jul 1, 2024; fee: €33.00m",Chelsea FC,19,"Sep 8, 2004",Newcastle United
Left-Back,left,,"Jul 1, 2022",Matt Targett,"1,83m",250478,"['England', 'Scotland']",€10.00m,,: Ablöse €17.50m,28,"Sep 18, 1995",Newcastle United
Left-Back,left,,"Sep 8, 2020",Jamal Lewis,"1,78m",346018,"['Northern Ireland', 'England']",€3.50m,,: Ablöse €16.50m,26,"Jan 25, 1998",São Paulo Futebol Clube
Left-Back,left,,"Jul 1, 2024",Alex Murphy,"1,88m",900601,['Ireland'],€250k,"Internal transfer: Newcastle United U21; date: Jul 1, 2024",Newcastle United U21,20,"Jun 25, 2004",Newcastle United
Right-Back,right,,"Aug 8, 2023",Tino Livramento,"1,82m",503981,"['England', 'Scotland']",€35.00m,,Southampton FC,21,"Nov 12, 2002",Newcastle United
Right-Back,right,Hamstring injury - Return unknown,"Jan 7, 2022",Kieran Trippier,"1,73m",95810,['England'],€10.00m,,: Ablöse €14.00m,33,"Sep 19, 1990",Newcastle United
Right-Back,right,unknown injury - Return unknown,"Aug 8, 2019",Emil Krafth,"1,84m",184528,['Sweden'],€2.50m,,: Ablöse €5.40m,29,"Aug 2, 1994",Newcastle United
Right-Back,right,,"Jul 21, 2017",Javier Manquillo,"1,78m",162029,['Spain'],€1.80m,,: Ablöse €5.00m,30,"May 5, 1994",Celta de Vigo
