position,foot,status,joinedOn,name,height,id,nationality,contract,joined,marketValue,age,dateOfBirth,signedFrom
Goalkeeper,right,,"Aug 29, 2024",Kepa Arrizabalaga,"1,88m",192279,['Spain'],"May 31, 2025","On loan from Chelsea FC until May 31, 2025",€12.00m,30,"Oct 3, 1994",Chelsea FC
Goalkeeper,right,,"Jul 1, 2020",Mark Travers,"1,91m",357658,['Ireland'],"Jun 30, 2027",,€3.50m,25,"May 18, 1999",AFC Bournemouth U21
Goalkeeper,right,,"Aug 1, 2021",Will Dennis,"1,88m",582078,['England'],"Jun 30, 2026",,€350k,24,"Jul 10, 2000",AFC Bournemouth U21
Centre-Back,right,,"Jan 31, 2023",Ilya Zabarnyi,"1,89m",659089,['Ukraine'],"Jun 30, 2029",,€32.00m,22,"Sep 1, 2002",Dynamo Kyiv
Centre-Back,left,,"Aug 8, 2022",Marcos Senesi,"1,85m",469781,"['Argentina', 'Italy']","Jun 30, 2026",,€22.00m,27,"May 10, 1997",: Ablöse €15.00m
Centre-Back,both,,"Jul 30, 2024",Dean Huijsen,"1,97m",890290,"['Spain', 'Netherlands']","Jun 30, 2030","Joined from Juventus FC; date: Jul 30, 2024; fee: €15.20m",€12.00m,19,"Apr 14, 2005",Juventus FC
Centre-Back,right,,"Jan 5, 2022",James Hill,"1,84m",611793,['England'],"Jun 30, 2026",,€2.00m,22,"Jan 10, 2002",Fleetwood Town
Left-Back,left,,"Jul 20, 2023",Milos Kerkez,"1,80m",730861,"['Hungary', 'Serbia']",,,€20.00m,21,"Nov 7, 2003",AZ Alkmaar
Right-Back,right,,"Aug 10, 2023",Max Aarons,"1,77m",471690,"['England', 'Jamaica']",,,€16.00m,24,"Jan 4, 2000",Norwich City
Right-Back,right,,"Aug 13, 2024",Julián Araujo,"1,76m",513970,"['Mexico', 'United States']","Jun 30, 2029","Joined from FC Barcelona; date: Aug 13, 2024; fee: €10.00m",€8.00m,23,"Aug 13, 2001",FC Barcelona
Right-Back,right,,"Jan 28, 2014",Adam Smith,"1,74m",61841,['England'],"Jun 30, 2026",,€1.00m,33,"Apr 29, 1991",Tottenham Hotspur
Defensive Midfield,right,Back injury - Return unknown,"Aug 20, 2023",Tyler Adams,"1,75m",332705,['United States'],"Jun 30, 2028",,€15.00m,25,"Feb 14, 1999",Leeds United
Central Midfield,right,,"Aug 10, 2023",Alex Scott,"1,78m",855256,"['England', 'Guernsey']","Jun 30, 2028",,€20.00m,21,"Aug 21, 2003",Bristol City
Central Midfield,left,,"Jul 29, 2019",Philip Billing,"1,93m",320411,"['Denmark', 'Nigeria']","Jun 30, 2027",,€18.00m,28,"Jun 11, 1996",Huddersfield Town
Central Midfield,right,,"Jul 8, 2016",Lewis Cook,"1,75m",249089,['England'],"Jun 30, 2028",,€12.00m,27,"Feb 3, 1997",Leeds United
Central Midfield,left,,"Aug 31, 2021",Ryan Christie,"1,78m",188077,['Scotland'],"Jun 30, 2027",,€12.00m,29,"Feb 22, 1995",Celtic FC
Left Midfield,left,,"Aug 1, 2022",Marcus Tavernier,"1,78m",399434,['England'],"Jun 30, 2028",,€20.00m,25,"Mar 22, 1999",Middlesbrough FC
Left Winger,left,,"Jan 19, 2023",Dango Ouattara,"1,77m",823231,['Burkina Faso'],"Jun 30, 2028",,€20.00m,22,"Feb 11, 2002",FC Lorient
Left Winger,right,,"Jul 1, 2024",Luis Sinisterra,"1,72m",512385,['Colombia'],,"Joined from Leeds United; date: Jul 1, 2024; fee: €23.40m",€17.00m,25,"Jun 17, 1999",Leeds United
Left Winger,both,,"Jul 1, 2023",Justin Kluivert,"1,72m",330659,"['Netherlands', 'Suriname']","Jun 30, 2028",,€14.00m,25,"May 5, 1999",AS Roma
Right Winger,right,,"Jan 27, 2023",Antoine Semenyo,"1,85m",583255,"['Ghana', 'England']","Jun 30, 2029",,€20.00m,24,"Jan 7, 2000",Bristol City
Right Winger,left,,"Jul 1, 2018",David Brooks,"1,73m",277033,"['Wales', 'England']","Jun 30, 2026",,€8.00m,27,"Jul 8, 1997",Sheffield United
Centre-Forward,both,,"Aug 16, 2024",Evanilson,"1,83m",711337,['Brazil'],,"Joined from FC Porto; date: Aug 16, 2024; fee: €37.00m",€35.00m,25,"Oct 6, 1999",FC Porto
Centre-Forward,right,,"Jul 1, 2024",Enes Ünal,"1,87m",251106,['Türkiye'],"Jun 30, 2028","Joined from Getafe CF; date: Jul 1, 2024; fee: €16.50m",€15.00m,27,"May 10, 1997",Getafe CF
