position,foot,status,joinedOn,name,height,id,nationality,contract,joined,marketValue,age,dateOfBirth,signedFrom
Goalkeeper,right,,"Jul 4, 2024",David Raya,"1,83m",262749,['Spain'],"Jun 30, 2028","Joined from Brentford FC; date: Jul 4, 2024; fee: €31.90m",€35.00m,29,"Sep 15, 1995",Brentford FC
Goalkeeper,right,,"Aug 30, 2024",Neto,"1,90m",111819,"['Brazil', 'Italy']","Jun 30, 2025","On loan from AFC Bournemouth until Jun 30, 2025",€2.50m,35,"Jul 19, 1989",AFC Bournemouth
Centre-Back,right,,"Jul 25, 2019",William Saliba,"1,92m",495666,"['France', 'Cameroon']","Jun 30, 2027",,€80.00m,23,"Mar 24, 2001",: Ablöse €30.00m
Centre-Back,left,,"Sep 1, 2020",Gabriel Magalhães,"1,90m",435338,['Brazil'],"Jun 30, 2027",,€75.00m,26,"Dec 19, 1997",LOSC Lille
Centre-Back,right,,"Jul 14, 2023",Jurrien Timber,"1,79m",420243,"['Netherlands', 'Curacao']","Jun 30, 2028",,€38.00m,23,"Jun 17, 2001",Ajax Amsterdam
Centre-Back,left,,"Jan 23, 2023",Jakub Kiwior,"1,89m",425918,['Poland'],"Jun 30, 2028",,€30.00m,24,"Feb 15, 2000",: Ablöse €19.50m
Left-Back,left,,"Jul 29, 2024",Riccardo Calafiori,"1,88m",502821,['Italy'],"Jun 30, 2029","Joined from Bologna FC 1909; date: Jul 29, 2024; fee: €45.00m",€45.00m,22,"May 19, 2002",Bologna FC 1909
Left-Back,left,,"Jul 22, 2022",Oleksandr Zinchenko,"1,75m",203853,['Ukraine'],"Jun 30, 2026",,€35.00m,27,"Dec 15, 1996",Manchester City
Left-Back,left,Hamstring injury - Return unknown,"Aug 8, 2019",Kieran Tierney,"1,80m",300716,"['Scotland', 'Isle of Man']","Jun 30, 2026","Returned after loan spell with Real Sociedad; date: Jun 30, 2024; fee: End of loan",€10.00m,27,"Jun 5, 1997",Celtic FC
Right-Back,right,,"Jul 30, 2021",Ben White,"1,86m",335721,['England'],"Jun 30, 2028",,€55.00m,27,"Oct 8, 1997",Brighton & Hove Albion
Right-Back,right,Knee injury - Return unknown,"Aug 31, 2021",Takehiro Tomiyasu,"1,88m",331560,['Japan'],"Jun 30, 2026",,€35.00m,26,"Nov 5, 1998",Bologna FC 1909
Defensive Midfield,right,,"Jul 15, 2023",Declan Rice,"1,88m",357662,"['England', 'Ireland']","Jun 30, 2028",,€120.00m,25,"Jan 14, 1999",West Ham United
Defensive Midfield,right,,"Oct 5, 2020",Thomas Partey,"1,85m",230784,['Ghana'],"Jun 30, 2025",,€18.00m,31,"Jun 13, 1993",: Ablöse €50.00m
Defensive Midfield,right,,"Jan 31, 2023",Jorginho,"1,78m",102017,"['Italy', 'Brazil']","Jun 30, 2025",,€12.00m,32,"Dec 20, 1991",Chelsea FC
Central Midfield,left,,"Aug 27, 2024",Mikel Merino,"1,89m",338424,['Spain'],"Jun 30, 2028","Joined from Real Sociedad; date: Aug 27, 2024; fee: €32.00m",€50.00m,28,"Jun 22, 1996",Real Sociedad
Attacking Midfield,left,Team captain; Ankle sprain - Return unknown,"Aug 20, 2021",Martin Ødegaard,"1,78m",316264,['Norway'],"Jun 30, 2028",,€110.00m,25,"Dec 17, 1998",Real Madrid
Attacking Midfield,left,,"Jul 1, 2024",Ethan Nwaneri,"1,76m",890719,"['England', 'Nigeria']",,"Internal transfer: Arsenal FC U21; date: Jul 1, 2024",€12.00m,17,"Mar 21, 2007",Arsenal FC U21
Left Winger,right,,"Jul 2, 2019",Gabriel Martinelli,"1,78m",655488,"['Brazil', 'Italy']","Jun 30, 2027",,€60.00m,23,"Jun 18, 2001",Ituano Futebol Clube (SP)
Left Winger,right,,"Jan 20, 2023",Leandro Trossard,"1,72m",144028,['Belgium'],"Jun 30, 2026",,€35.00m,29,"Dec 4, 1994",Brighton & Hove Albion
Left Winger,right,,"Aug 30, 2024",Raheem Sterling,"1,70m",134425,"['England', 'Jamaica']","May 31, 2025","On loan from Chelsea FC until May 31, 2025",€35.00m,29,"Dec 8, 1994",Chelsea FC
Right Winger,left,"Leg injury - Return expected on Nov 18, 2024","Jul 1, 2019",Bukayo Saka,"1,78m",433177,"['England', 'Nigeria']","Jun 30, 2027",,€140.00m,23,"Sep 5, 2001",Arsenal FC U23
Centre-Forward,left,,"Jul 1, 2023",Kai Havertz,"1,93m",309400,['Germany'],"Jun 30, 2028",,€75.00m,25,"Jun 11, 1999",Chelsea FC
Centre-Forward,right,,"Jul 4, 2022",Gabriel Jesus,"1,75m",363205,['Brazil'],"Jun 30, 2027",,€55.00m,27,"Apr 3, 1997",Manchester City
