position,foot,status,joinedOn,name,height,id,nationality,contract,marketValue,joined,age,dateOfBirth,signedFrom
Goalkeeper,right,,"Jul 19, 2018",Alisson,"1,93m",105470,['Brazil'],"Jun 30, 2027",€28.00m,,32,"Oct 2, 1992",AS Roma
Goalkeeper,right,,"Jul 1, 2019",Caoimhín Kelleher,"1,88m",340918,['Ireland'],"Jun 30, 2026",€20.00m,,25,"Nov 23, 1998",: Ablöse -
Goalkeeper,right,,"Jul 1, 2024",Vitezslav Jaros,"1,90m",486604,['Czech Republic'],"Jun 30, 2025",€5.00m,"Internal transfer: Liverpool FC U21; date: Jul 1, 2024",23,"Jul 23, 2001",Liverpool FC U21
Centre-Back,right,,"Jul 1, 2021",Ibrahima Konaté,"1,94m",357119,"['France', 'Mali']","Jun 30, 2026",€45.00m,,25,"May 25, 1999",RB Leipzig
Centre-Back,right,Team captain,"Jan 1, 2018",Virgil van Dijk,"1,95m",139208,"['Netherlands', 'Suriname']","Jun 30, 2025",€30.00m,,33,"Jul 8, 1991",Southampton FC
Centre-Back,right,,"Jul 1, 2015",Joe Gomez,"1,88m",256178,"['England', 'The Gambia']","Jun 30, 2027",€28.00m,,27,"May 23, 1997",Charlton Athletic
Centre-Back,right,,"Jul 1, 2023",Jarell Quansah,"1,90m",632349,"['England', 'Scotland']",,€22.00m,,21,"Jan 29, 2003",: Ablöse -
Left-Back,left,,"Jul 21, 2017",Andrew Robertson,"1,78m",234803,['Scotland'],"Jun 30, 2026",€30.00m,,30,"Mar 11, 1994",: Ablöse €9.00m
Left-Back,left,,"Aug 10, 2020",Konstantinos Tsimikas,"1,79m",338070,['Greece'],"Jun 30, 2027",€22.00m,,28,"May 12, 1996",: Ablöse €13.00m
Right-Back,right,,"Jul 1, 2016",Trent Alexander-Arnold,"1,75m",314353,['England'],"Jun 30, 2025",€70.00m,,26,"Oct 7, 1998",: Ablöse -
Right-Back,right,,"Jul 1, 2023",Conor Bradley,"1,81m",624258,['Northern Ireland'],"Jun 30, 2027",€15.00m,,21,"Jul 9, 2003",: Ablöse -
Defensive Midfield,right,,"Aug 18, 2023",Wataru Endo,"1,78m",146310,['Japan'],"Jun 30, 2027",€13.00m,,31,"Feb 9, 1993",VfB Stuttgart
Defensive Midfield,right,,"Jul 1, 2024",Tyler Morton,"1,85m",618494,['England'],,€8.00m,"Internal transfer: Liverpool FC U21; date: Jul 1, 2024",22,"Oct 31, 2002",Liverpool FC U21
Central Midfield,right,,"Jul 2, 2023",Dominik Szoboszlai,"1,87m",451276,['Hungary'],"Jun 30, 2028",€75.00m,,24,"Oct 25, 2000",RB Leipzig
Central Midfield,right,,"Jul 1, 2023",Alexis Mac Allister,"1,76m",534033,"['Argentina', 'Italy']","Jun 30, 2028",€75.00m,,25,"Dec 24, 1998",Brighton & Hove Albion
Central Midfield,right,,"Sep 1, 2023",Ryan Gravenberch,"1,90m",478573,"['Netherlands', 'Suriname']","Jun 30, 2028",€40.00m,,22,"May 16, 2002",: Ablöse €40.00m
Central Midfield,right,,"Jul 1, 2020",Curtis Jones,"1,85m",433188,['England'],"Jun 30, 2027",€35.00m,,23,"Jan 30, 2001",: Ablöse -
Central Midfield,left,Broken foot - Return unknown,"Jul 1, 2021",Harvey Elliott,"1,70m",565822,['England'],"Jun 30, 2027",€35.00m,,21,"Apr 4, 2003",: Ablöse -
Left Winger,right,,"Jan 30, 2022",Luis Díaz,"1,80m",480692,['Colombia'],"Jun 30, 2027",€80.00m,,27,"Jan 13, 1997",FC Porto
Left Winger,right,,"Jan 1, 2023",Cody Gakpo,"1,93m",434675,"['Netherlands', 'Togo']","Jun 30, 2028",€55.00m,,25,"May 7, 1999",PSV Eindhoven
Right Winger,left,,"Jul 1, 2017",Mohamed Salah,"1,75m",148455,['Egypt'],"Jun 30, 2025",€55.00m,,32,"Jun 15, 1992",AS Roma
Right Winger,right,,"Aug 29, 2024",Federico Chiesa,"1,75m",341092,['Italy'],"Jun 30, 2028",€30.00m,"Joined from Juventus FC; date: Aug 29, 2024; fee: €12.00m",27,"Oct 25, 1997",Juventus FC
Centre-Forward,right,,"Jul 1, 2022",Darwin Núñez,"1,87m",546543,['Uruguay'],"Jun 30, 2028",€65.00m,,25,"Jun 24, 1999",SL Benfica
Centre-Forward,right,,"Sep 19, 2020",Diogo Jota,"1,78m",340950,['Portugal'],"Jun 30, 2027",€50.00m,,27,"Dec 4, 1996",Wolverhampton Wanderers
