position,foot,status,joinedOn,name,height,id,nationality,contract,marketValue,joined,age,dateOfBirth,signedFrom
Goalkeeper,right,,"Jul 20, 2023",André Onana,"1,90m",234509,['Cameroon'],"Jun 30, 2028",€35.00m,,28,"Apr 2, 1996",Inter Milan
Goalkeeper,right,,"Sep 1, 2023",Altay Bayindir,"1,98m",336077,['Türkiye'],"Jun 30, 2027",€10.00m,,26,"Apr 14, 1998",Fenerbahce
Goalkeeper,right,,"Jul 2, 2021",Tom Heaton,"1,88m",34130,['England'],"Jun 30, 2025",€250k,,38,"Apr 15, 1986",: Ablöse free transfer
Centre-Back,right,,"Aug 13, 2024",Matthijs de Ligt,"1,89m",326031,['Netherlands'],"Jun 30, 2029",€55.00m,"Joined from Bayern Munich; date: Aug 13, 2024; fee: €45.00m",25,"Aug 12, 1999",Bayern Munich
Centre-Back,right,,"Jul 18, 2024",Leny Yoro,"1,90m",923831,"['France', ""Cote d'Ivoire""]","Jun 30, 2029",€55.00m,"Joined from LOSC Lille; date: Jul 18, 2024; fee: €62.00m",18,"Nov 13, 2005",LOSC Lille
Centre-Back,left,,"Jul 27, 2022",Lisandro Martínez,"1,75m",480762,['Argentina'],"Jun 30, 2027",€50.00m,,26,"Jan 18, 1998",Ajax Amsterdam
Centre-Back,right,,"Aug 5, 2019",Harry Maguire,"1,94m",177907,['England'],"Jun 30, 2025",€18.00m,,31,"Mar 5, 1993",Leicester City
Centre-Back,right,,"Jul 1, 2017",Victor Lindelöf,"1,87m",184573,['Sweden'],"Jun 30, 2025",€15.00m,,30,"Jul 17, 1994",SL Benfica
Centre-Back,both,,"Jul 18, 2023",Jonny Evans,"1,88m",42412,['Northern Ireland'],"Jun 30, 2025",€2.00m,,36,"Jan 3, 1988",Leicester City
Left-Back,left,,"Jul 1, 2014",Luke Shaw,"1,78m",183288,['England'],"Jun 30, 2027",€28.00m,,29,"Jul 12, 1995",Southampton FC
Left-Back,left,Knee injury - Return unknown,"Jul 5, 2022",Tyrell Malacia,"1,69m",339340,"['Netherlands', 'Curacao']","Jun 30, 2026",€18.00m,,25,"Aug 17, 1999",: Ablöse €15.00m
Right-Back,right,,"Jul 1, 2018",Diogo Dalot,"1,83m",357147,['Portugal'],"Jun 30, 2028",€40.00m,,25,"Mar 18, 1999",FC Porto
Right-Back,right,,"Aug 13, 2024",Noussair Mazraoui,"1,83m",340456,"['Morocco', 'Netherlands']","Jun 30, 2028",€30.00m,"Joined from Bayern Munich; date: Aug 13, 2024; fee: €15.00m",26,"Nov 14, 1997",Bayern Munich
Defensive Midfield,right,,"Aug 30, 2024",Manuel Ugarte,"1,82m",476701,['Uruguay'],"Jun 30, 2029",€50.00m,"Joined from Paris Saint-Germain; date: Aug 30, 2024; fee: €50.00m",23,"Apr 11, 2001",Paris Saint-Germain
Defensive Midfield,right,,"Aug 22, 2022",Casemiro,"1,85m",16306,"['Brazil', 'Spain']","Jun 30, 2026",€15.00m,,32,"Feb 23, 1992",Real Madrid
Defensive Midfield,right,,"Jul 1, 2024",Toby Collyer,"1,80m",654253,['England'],"Jun 30, 2027",€2.00m,"Internal transfer: Manchester United U21; date: Jul 1, 2024",20,"Jan 3, 2004",Manchester United U21
Central Midfield,right,,"Jan 1, 2023",Kobbie Mainoo,"1,80m",820374,"['England', 'Ghana']","Jun 30, 2027",€55.00m,,19,"Apr 19, 2005",Manchester United U21
Central Midfield,right,,"Jul 15, 2022",Christian Eriksen,"1,82m",69633,['Denmark'],"Jun 30, 2025",€8.00m,,32,"Feb 14, 1992",Brentford FC
Central Midfield,right,Shoulder injury - Return unknown,"Jul 1, 2023",Daniel Gore,,747153,['England'],"Jun 30, 2026",€900k,,20,"Sep 26, 2004",Manchester United U21
Attacking Midfield,right,Team captain,"Jan 29, 2020",Bruno Fernandes,"1,79m",240306,['Portugal'],"Jun 30, 2027",€65.00m,,30,"Sep 8, 1994",Sporting CP
Attacking Midfield,right,,"Jul 5, 2023",Mason Mount,"1,81m",346483,['England'],"Jun 30, 2028",€35.00m,,25,"Jan 10, 1999",Chelsea FC
Left Winger,right,,"Jan 1, 2016",Marcus Rashford,"1,85m",258923,"['England', 'St. Kitts & Nevis']","Jun 30, 2028",€60.00m,,27,"Oct 31, 1997",Manchester United U18
Left Winger,right,,"Jul 1, 2022",Alejandro Garnacho,"1,80m",811779,"['Argentina', 'Spain']","Jun 30, 2028",€50.00m,,20,"Jul 1, 2004",Manchester United U21
Right Winger,left,,"Jan 2, 2021",Amad Diallo,"1,73m",536835,"[""Cote d'Ivoire"", 'Italy']","Jun 30, 2025",€22.00m,,22,"Jul 11, 2002",Atalanta BC
Right Winger,left,,"Aug 30, 2022",Antony,"1,72m",602105,['Brazil'],"Jun 30, 2027",€20.00m,,24,"Feb 24, 2000",Ajax Amsterdam
Centre-Forward,left,,"Aug 5, 2023",Rasmus Højlund,"1,91m",610442,['Denmark'],"Jun 30, 2028",€65.00m,,21,"Feb 4, 2003",Atalanta BC
Centre-Forward,right,,"Jul 14, 2024",Joshua Zirkzee,"1,93m",435648,"['Netherlands', 'Nigeria']","Jun 30, 2029",€50.00m,"Joined from Bologna FC 1909; date: Jul 14, 2024; fee: €42.50m",23,"May 22, 2001",Bologna FC 1909
Centre-Forward,,,,Ethan Wheatley,"1,87m",888639,['England'],"Jun 30, 2026",,,18,"Jan 20, 2006",
